                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 1  *
   2.25  0.376  4.03E+02 5.10E+02 4.86E+03 1.75E+01 4.89E+01 7.10E+01 8.08E+01 7.88E+01 6.82E+01 5.32E+01 3.79E+01 2.47E+01 1.48E+01 8.21E+00 4.21E+00 2.00E+00 8.79E-01 3.59E-01 1.36E-01 4.80E-02 1.57E-02 4.80E-03 1.36E-03 3.59E-04 8.84E-05 2.02E-05 4.32E-06 8.58E-07 1.59E-07 2.74E-08 4.40E-09 6.60E-10 9.22E-11
   2.50  0.396  5.86E+02 7.33E+02 7.12E+03 2.42E+01 6.80E+01 9.91E+01 1.14E+02 1.12E+02 9.81E+01 7.78E+01 5.63E+01 3.75E+01 2.30E+01 1.31E+01 6.88E+00 3.36E+00 1.53E+00 6.47E-01 2.55E-01 9.34E-02 3.20E-02 1.02E-02 3.03E-03 8.42E-04 2.18E-04 5.28E-05 1.19E-05 2.52E-06 4.96E-07 9.13E-08 1.57E-08 2.52E-09 3.79E-10
   2.75  0.415  8.50E+02 1.05E+03 1.04E+04 3.36E+01 9.46E+01 1.39E+02 1.60E+02 1.59E+02 1.41E+02 1.13E+02 8.34E+01 5.65E+01 3.54E+01 2.06E+01 1.11E+01 5.60E+00 2.62E+00 1.15E+00 4.67E-01 1.78E-01 6.33E-02 2.11E-02 6.55E-03 1.90E-03 5.18E-04 1.32E-04 3.14E-05 7.01E-06 1.46E-06 2.86E-07 5.24E-08 8.99E-09 1.44E-09
   3.00  0.434  1.23E+03 1.52E+03 1.53E+04 4.67E+01 1.32E+02 1.94E+02 2.25E+02 2.26E+02 2.03E+02 1.65E+02 1.23E+02 8.50E+01 5.43E+01 3.23E+01 1.79E+01 9.21E+00 4.44E+00 2.00E+00 8.42E-01 3.32E-01 1.23E-01 4.24E-02 1.37E-02 4.17E-03 1.19E-03 3.17E-04 7.94E-05 1.87E-05 4.12E-06 8.51E-07 1.65E-07 3.01E-08 5.15E-09
   3.25  0.452  1.77E+03 2.18E+03 2.23E+04 6.50E+01 1.84E+02 2.71E+02 3.17E+02 3.21E+02 2.90E+02 2.39E+02 1.81E+02 1.27E+02 8.28E+01 5.02E+01 2.84E+01 1.50E+01 7.43E+00 3.44E+00 1.49E+00 6.09E-01 2.32E-01 8.34E-02 2.81E-02 8.88E-03 2.64E-03 7.37E-04 1.93E-04 4.77E-05 1.11E-05 2.41E-06 4.94E-07 9.54E-08 1.73E-08
   3.50  0.469  2.56E+03 3.14E+03 3.26E+04 9.06E+01 2.56E+02 3.80E+02 4.47E+02 4.56E+02 4.16E+02 3.47E+02 2.67E+02 1.90E+02 1.26E+02 7.76E+01 4.48E+01 2.42E+01 1.23E+01 5.85E+00 2.61E+00 1.10E+00 4.33E-01 1.61E-01 5.61E-02 1.84E-02 5.70E-03 1.66E-03 4.55E-04 1.17E-04 2.85E-05 6.54E-06 1.41E-06 2.87E-07 5.50E-08
   3.75  0.485  3.69E+03 4.51E+03 4.76E+04 1.26E+02 3.58E+02 5.33E+02 6.30E+02 6.47E+02 5.96E+02 5.02E+02 3.91E+02 2.82E+02 1.90E+02 1.19E+02 7.03E+01 3.88E+01 2.02E+01 9.83E+00 4.51E+00 1.95E+00 7.93E-01 3.04E-01 1.10E-01 3.73E-02 1.20E-02 3.63E-03 1.04E-03 2.79E-04 7.10E-05 1.70E-05 3.86E-06 8.24E-07 1.66E-07
   4.00  0.501  5.31E+03 6.49E+03 6.95E+04 1.76E+02 5.01E+02 7.48E+02 8.88E+02 9.18E+02 8.53E+02 7.26E+02 5.71E+02 4.18E+02 2.86E+02 1.83E+02 1.10E+02 6.18E+01 3.28E+01 1.64E+01 7.70E+00 3.42E+00 1.43E+00 5.65E-01 2.10E-01 7.41E-02 2.46E-02 7.74E-03 2.30E-03 6.44E-04 1.71E-04 4.28E-05 1.01E-05 2.27E-06 4.81E-07
   4.25  0.517  7.64E+03 9.33E+03 1.01E+05 2.46E+02 7.00E+02 1.05E+03 1.25E+03 1.30E+03 1.22E+03 1.05E+03 8.34E+02 6.18E+02 4.28E+02 2.78E+02 1.70E+02 9.76E+01 5.28E+01 2.70E+01 1.30E+01 5.91E+00 2.54E+00 1.03E+00 3.97E-01 1.44E-01 4.95E-02 1.61E-02 4.96E-03 1.44E-03 3.98E-04 1.04E-04 2.57E-05 6.02E-06 1.34E-06
   4.50  0.531  1.10E+04 1.34E+04 1.48E+05 3.44E+02 9.80E+02 1.47E+03 1.77E+03 1.85E+03 1.74E+03 1.51E+03 1.22E+03 9.12E+02 6.40E+02 4.22E+02 2.62E+02 1.53E+02 8.46E+01 4.41E+01 2.17E+01 1.01E+01 4.46E+00 1.86E+00 7.36E-01 2.76E-01 9.77E-02 3.28E-02 1.05E-02 3.16E-03 9.04E-04 2.45E-04 6.32E-05 1.54E-05 3.57E-06
   4.75  0.546  1.58E+04 1.93E+04 2.16E+05 4.81E+02 1.37E+03 2.07E+03 2.49E+03 2.62E+03 2.49E+03 2.18E+03 1.77E+03 1.34E+03 9.54E+02 6.38E+02 4.02E+02 2.39E+02 1.35E+02 7.15E+01 3.60E+01 1.72E+01 7.75E+00 3.32E+00 1.35E+00 5.18E-01 1.89E-01 6.56E-02 2.16E-02 6.74E-03 2.00E-03 5.63E-04 1.50E-04 3.82E-05 9.22E-06
   5.00  0.560  2.27E+04 2.77E+04 3.14E+05 6.74E+02 1.93E+03 2.91E+03 3.52E+03 3.72E+03 3.56E+03 3.13E+03 2.57E+03 1.97E+03 1.41E+03 9.57E+02 6.12E+02 3.69E+02 2.11E+02 1.14E+02 5.86E+01 2.85E+01 1.31E+01 5.75E+00 2.39E+00 9.44E-01 3.54E-01 1.26E-01 4.27E-02 1.37E-02 4.20E-03 1.22E-03 3.38E-04 8.89E-05 2.22E-05
   5.50  0.588  5.06E+04 5.57E+04 6.46E+05 1.30E+03 3.71E+03 5.63E+03 6.85E+03 7.31E+03 7.07E+03 6.31E+03 5.24E+03 4.09E+03 3.00E+03 2.08E+03 1.36E+03 8.43E+02 4.95E+02 2.76E+02 1.46E+02 7.37E+01 3.53E+01 1.61E+01 6.97E+00 2.87E+00 1.13E+00 4.22E-01 1.50E-01 5.09E-02 1.65E-02 5.07E-03 1.49E-03 4.16E-04 1.11E-04
   6.00  0.614  1.05E+05 1.09E+05 1.29E+06 2.43E+03 6.97E+03 1.06E+04 1.30E+04 1.40E+04 1.36E+04 1.23E+04 1.04E+04 8.21E+03 6.13E+03 4.32E+03 2.89E+03 1.83E+03 1.11E+03 6.33E+02 3.45E+02 1.79E+02 8.86E+01 4.18E+01 1.88E+01 8.04E+00 3.29E+00 1.28E+00 4.77E-01 1.69E-01 5.74E-02 1.86E-02 5.73E-03 1.69E-03 4.76E-04
   6.50  0.639  2.09E+05 2.08E+05 2.50E+06 4.46E+03 1.28E+04 1.96E+04 2.41E+04 2.61E+04 2.57E+04 2.34E+04 2.00E+04 1.60E+04 1.21E+04 8.70E+03 5.93E+03 3.84E+03 2.36E+03 1.39E+03 7.75E+02 4.13E+02 2.10E+02 1.02E+02 4.74E+01 2.10E+01 8.89E+00 3.60E+00 1.39E+00 5.14E-01 1.82E-01 6.14E-02 1.99E-02 6.14E-03 1.82E-03
   7.00  0.663  4.02E+05 3.86E+05 4.74E+06 8.02E+03 2.31E+04 3.54E+04 4.37E+04 4.75E+04 4.72E+04 4.34E+04 3.74E+04 3.04E+04 2.33E+04 1.70E+04 1.18E+04 7.75E+03 4.87E+03 2.91E+03 1.67E+03 9.10E+02 4.75E+02 2.37E+02 1.13E+02 5.17E+01 2.26E+01 9.44E+00 3.78E+00 1.45E+00 5.31E-01 1.87E-01 6.28E-02 2.03E-02 6.25E-03
   7.50  0.686  7.54E+05 7.04E+05 8.79E+06 1.41E+04 4.08E+04 6.27E+04 7.77E+04 8.50E+04 8.49E+04 7.88E+04 6.85E+04 5.62E+04 4.37E+04 3.23E+04 2.27E+04 1.52E+04 9.70E+03 5.92E+03 3.46E+03 1.93E+03 1.03E+03 5.27E+02 2.58E+02 1.21E+02 5.43E+01 2.34E+01 9.66E+00 3.82E+00 1.45E+00 5.28E-01 1.84E-01 6.17E-02 1.98E-02
   8.00  0.709  1.38E+06 1.26E+06 1.60E+07 2.45E+04 7.08E+04 1.09E+05 1.36E+05 1.49E+05 1.50E+05 1.40E+05 1.23E+05 1.02E+05 8.01E+04 5.98E+04 4.26E+04 2.90E+04 1.88E+04 1.17E+04 6.94E+03 3.95E+03 2.15E+03 1.12E+03 5.63E+02 2.71E+02 1.25E+02 5.52E+01 2.34E+01 9.54E+00 3.73E+00 1.40E+00 5.06E-01 1.75E-01 5.83E-02
   8.50  0.730  2.49E+06 2.21E+06 2.85E+07 4.19E+04 1.21E+05 1.87E+05 2.34E+05 2.58E+05 2.61E+05 2.45E+05 2.17E+05 1.81E+05 1.44E+05 1.09E+05 7.83E+04 5.39E+04 3.55E+04 2.24E+04 1.35E+04 7.83E+03 4.35E+03 2.32E+03 1.19E+03 5.83E+02 2.75E+02 1.25E+02 5.43E+01 2.27E+01 9.13E+00 3.53E+00 1.31E+00 4.69E-01 1.61E-01
   9.00  0.752  4.41E+06 3.83E+06 4.99E+07 7.06E+04 2.04E+05 3.16E+05 3.96E+05 4.39E+05 4.45E+05 4.22E+05 3.75E+05 3.16E+05 2.53E+05 1.93E+05 1.41E+05 9.82E+04 6.55E+04 4.19E+04 2.57E+04 1.51E+04 8.55E+03 4.64E+03 2.42E+03 1.21E+03 5.85E+02 2.71E+02 1.21E+02 5.18E+01 2.14E+01 8.48E+00 3.24E+00 1.19E+00 4.21E-01
   9.50  0.772  7.67E+06 6.52E+06 8.61E+07 1.17E+05 3.39E+05 5.26E+05 6.61E+05 7.35E+05 7.50E+05 7.14E+05 6.40E+05 5.43E+05 4.39E+05 3.38E+05 2.49E+05 1.75E+05 1.19E+05 7.68E+04 4.78E+04 2.85E+04 1.64E+04 9.04E+03 4.80E+03 2.45E+03 1.20E+03 5.70E+02 2.59E+02 1.14E+02 4.80E+01 1.95E+01 7.64E+00 2.88E+00 1.05E+00
  10.00  0.792  1.32E+07 1.10E+07 1.46E+08 1.92E+05 5.57E+05 8.65E+05 1.09E+06 1.22E+06 1.25E+06 1.19E+06 1.08E+06 9.20E+05 7.48E+05 5.82E+05 4.32E+05 3.08E+05 2.10E+05 1.38E+05 8.69E+04 5.26E+04 3.07E+04 1.72E+04 9.28E+03 4.82E+03 2.41E+03 1.16E+03 5.40E+02 2.42E+02 1.04E+02 4.33E+01 1.74E+01 6.71E+00 2.50E+00
  11.00  0.831  4.30E+07 2.98E+07 4.07E+08 5.01E+05 1.45E+06 2.26E+06 2.86E+06 3.22E+06 3.32E+06 3.21E+06 2.92E+06 2.53E+06 2.09E+06 1.65E+06 1.25E+06 9.03E+05 6.29E+05 4.22E+05 2.72E+05 1.69E+05 1.01E+05 5.82E+04 3.23E+04 1.73E+04 8.96E+03 4.47E+03 2.15E+03 9.98E+02 4.47E+02 1.93E+02 8.08E+01 3.26E+01 1.27E+01
  12.00  0.868  1.21E+08 7.76E+07 1.08E+09 1.25E+06 3.63E+06 5.68E+06 7.21E+06 8.14E+06 8.47E+06 8.24E+06 7.58E+06 6.63E+06 5.54E+06 4.43E+06 3.40E+06 2.51E+06 1.78E+06 1.21E+06 7.98E+05 5.06E+05 3.10E+05 1.83E+05 1.04E+05 5.74E+04 3.05E+04 1.57E+04 7.78E+03 3.73E+03 1.73E+03 7.75E+02 3.36E+02 1.41E+02 5.69E+01
  13.00  0.903  3.15E+08 1.94E+08 2.76E+09 3.01E+06 8.77E+06 1.37E+07 1.75E+07 1.99E+07 2.08E+07 2.04E+07 1.89E+07 1.67E+07 1.41E+07 1.14E+07 8.86E+06 6.63E+06 4.77E+06 3.31E+06 2.22E+06 1.43E+06 8.96E+05 5.40E+05 3.15E+05 1.77E+05 9.67E+04 5.10E+04 2.60E+04 1.28E+04 6.13E+03 2.83E+03 1.27E+03 5.48E+02 2.30E+02
  14.00  0.937  7.84E+08 4.69E+08 6.78E+09 7.04E+06 2.05E+07 3.21E+07 4.11E+07 4.69E+07 4.93E+07 4.86E+07 4.54E+07 4.05E+07 3.45E+07 2.82E+07 2.22E+07 1.68E+07 1.23E+07 8.64E+06 5.88E+06 3.87E+06 2.46E+06 1.51E+06 8.99E+05 5.17E+05 2.88E+05 1.56E+05 8.13E+04 4.11E+04 2.02E+04 9.57E+03 4.41E+03 1.97E+03 8.49E+02
  15.00  0.970  1.88E+09 1.10E+09 1.61E+10 1.60E+07 4.65E+07 7.31E+07 9.38E+07 1.07E+08 1.13E+08 1.12E+08 1.06E+08 9.50E+07 8.16E+07 6.74E+07 5.36E+07 4.10E+07 3.03E+07 2.17E+07 1.49E+07 9.98E+06 6.45E+06 4.03E+06 2.44E+06 1.43E+06 8.14E+05 4.49E+05 2.40E+05 1.24E+05 6.23E+04 3.03E+04 1.43E+04 6.56E+03 2.91E+03
  16.00  1.002  4.38E+09 2.50E+09 3.73E+10 3.53E+07 1.03E+08 1.62E+08 2.08E+08 2.39E+08 2.54E+08 2.53E+08 2.40E+08 2.16E+08 1.88E+08 1.56E+08 1.25E+08 9.70E+07 7.25E+07 5.24E+07 3.66E+07 2.48E+07 1.63E+07 1.03E+07 6.35E+06 3.79E+06 2.20E+06 1.23E+06 6.71E+05 3.55E+05 1.82E+05 9.06E+04 4.38E+04 2.05E+04 9.36E+03
  17.00  1.033  9.94E+09 5.55E+09 8.39E+10 7.62E+07 2.22E+08 3.51E+08 4.52E+08 5.20E+08 5.54E+08 5.55E+08 5.29E+08 4.81E+08 4.19E+08 3.52E+08 2.85E+08 2.23E+08 1.68E+08 1.23E+08 8.69E+07 5.95E+07 3.96E+07 2.55E+07 1.59E+07 9.65E+06 5.68E+06 3.24E+06 1.80E+06 9.69E+05 5.07E+05 2.58E+05 1.27E+05 6.10E+04 2.84E+04
  18.00  1.063  2.20E+10 1.20E+10 1.84E+11 1.61E+08 4.70E+08 7.42E+08 9.59E+08 1.11E+09 1.18E+09 1.19E+09 1.14E+09 1.04E+09 9.15E+08 7.74E+08 6.31E+08 4.97E+08 3.79E+08 2.80E+08 2.00E+08 1.39E+08 9.33E+07 6.09E+07 3.86E+07 2.37E+07 1.42E+07 8.22E+06 4.64E+06 2.54E+06 1.35E+06 7.00E+05 3.53E+05 1.73E+05 8.21E+04
  19.00  1.092  4.76E+10 2.56E+10 3.97E+11 3.33E+08 9.74E+08 1.54E+09 1.99E+09 2.31E+09 2.48E+09 2.50E+09 2.40E+09 2.21E+09 1.95E+09 1.66E+09 1.37E+09 1.08E+09 8.34E+08 6.21E+08 4.49E+08 3.14E+08 2.14E+08 1.41E+08 9.06E+07 5.65E+07 3.42E+07 2.01E+07 1.15E+07 6.42E+06 3.48E+06 1.83E+06 9.38E+05 4.68E+05 2.27E+05
  20.00  1.120  1.01E+11 5.33E+10 8.36E+11 6.78E+08 1.98E+09 3.14E+09 4.07E+09 4.73E+09 5.08E+09 5.16E+09 4.98E+09 4.60E+09 4.08E+09 3.50E+09 2.89E+09 2.31E+09 1.79E+09 1.35E+09 9.82E+08 6.95E+08 4.78E+08 3.19E+08 2.07E+08 1.31E+08 8.01E+07 4.78E+07 2.78E+07 1.57E+07 8.63E+06 4.62E+06 2.41E+06 1.22E+06 6.02E+05
  22.50  1.188  8.74E+11 3.09E+11 4.99E+12 3.73E+09 1.09E+10 1.73E+10 2.26E+10 2.63E+10 2.85E+10 2.92E+10 2.84E+10 2.65E+10 2.39E+10 2.07E+10 1.74E+10 1.41E+10 1.12E+10 8.54E+09 6.35E+09 4.59E+09 3.23E+09 2.21E+09 1.47E+09 9.54E+08 6.02E+08 3.70E+08 2.22E+08 1.30E+08 7.37E+07 4.08E+07 2.21E+07 1.16E+07 5.97E+06
  25.00  1.253  4.96E+12 1.64E+12 2.70E+13 1.88E+10 5.50E+10 8.76E+10 1.14E+11 1.34E+11 1.46E+11 1.51E+11 1.48E+11 1.39E+11 1.27E+11 1.11E+11 9.45E+10 7.79E+10 6.24E+10 4.86E+10 3.67E+10 2.71E+10 1.94E+10 1.36E+10 9.23E+09 6.12E+09 3.96E+09 2.50E+09 1.54E+09 9.21E+08 5.39E+08 3.08E+08 1.72E+08 9.34E+07 4.96E+07
  30.00  1.372  1.88E+14 3.65E+13 6.30E+14 3.85E+11 1.13E+12 1.81E+12 2.38E+12 2.81E+12 3.09E+12 3.21E+12 3.20E+12 3.06E+12 2.83E+12 2.53E+12 2.19E+12 1.85E+12 1.52E+12 1.21E+12 9.44E+11 7.16E+11 5.30E+11 3.83E+11 2.70E+11 1.86E+11 1.25E+11 8.22E+10 5.28E+10 3.31E+10 2.03E+10 1.22E+10 7.14E+09 4.09E+09 2.29E+09
  40.00  1.585  9.46E+16 9.44E+15 1.74E+17 8.71E+13 2.56E+14 4.12E+14 5.45E+14 6.51E+14 7.26E+14 7.68E+14 7.78E+14 7.61E+14 7.20E+14 6.61E+14 5.91E+14 5.14E+14 4.37E+14 3.62E+14 2.93E+14 2.32E+14 1.80E+14 1.36E+14 1.01E+14 7.34E+13 5.22E+13 3.64E+13 2.48E+13 1.66E+13 1.09E+13 6.99E+12 4.40E+12 2.72E+12 1.65E+12
  50.00  1.772  1.33E+19 1.32E+18 2.57E+19 1.10E+16 3.24E+16 5.23E+16 6.96E+16 8.37E+16 9.42E+16 1.01E+17 1.03E+17 1.03E+17 9.87E+16 9.24E+16 8.42E+16 7.50E+16 6.52E+16 5.55E+16 4.62E+16 3.77E+16 3.01E+16 2.36E+16 1.81E+16 1.36E+16 1.01E+16 7.32E+15 5.21E+15 3.64E+15 2.50E+15 1.69E+15 1.12E+15 7.26E+14 4.63E+14
  60.00  1.941  1.22E+21 1.20E+20 2.44E+21 9.16E+17 2.71E+18 4.38E+18 5.85E+18 7.08E+18 8.02E+18 8.65E+18 8.96E+18 8.99E+18 8.76E+18 8.31E+18 7.69E+18 6.96E+18 6.17E+18 5.35E+18 4.55E+18 3.79E+18 3.10E+18 2.49E+18 1.96E+18 1.52E+18 1.16E+18 8.66E+17 6.36E+17 4.60E+17 3.27E+17 2.28E+17 1.57E+17 1.06E+17 7.05E+16
  70.00  2.096  7.98E+22 7.86E+21 1.65E+23 5.56E+19 1.65E+20 2.67E+20 3.58E+20 4.34E+20 4.95E+20 5.37E+20 5.61E+20 5.67E+20 5.58E+20 5.35E+20 5.02E+20 4.60E+20 4.13E+20 3.64E+20 3.14E+20 2.67E+20 2.22E+20 1.82E+20 1.46E+20 1.16E+20 9.03E+19 6.91E+19 5.21E+19 3.87E+19 2.82E+19 2.03E+19 1.43E+19 1.00E+19 6.86E+18
  80.00  2.241  4.02E+24 3.94E+23 8.56E+24 2.62E+21 7.75E+21 1.26E+22 1.69E+22 2.06E+22 2.36E+22 2.57E+22 2.70E+22 2.76E+22 2.73E+22 2.64E+22 2.50E+22 2.32E+22 2.11E+22 1.88E+22 1.64E+22 1.41E+22 1.20E+22 9.95E+21 8.15E+21 6.56E+21 5.21E+21 4.07E+21 3.13E+21 2.37E+21 1.77E+21 1.30E+21 9.42E+20 6.73E+20 4.73E+20
  90.00  2.377  1.63E+26 1.59E+25 3.55E+26 9.96E+22 2.95E+23 4.80E+23 6.47E+23 7.91E+23 9.08E+23 9.95E+23 1.05E+24 1.08E+24 1.08E+24 1.05E+24 1.00E+24 9.34E+23 8.57E+23 7.72E+23 6.83E+23 5.95E+23 5.10E+23 4.30E+23 3.57E+23 2.92E+23 2.35E+23 1.86E+23 1.46E+23 1.12E+23 8.55E+22 6.41E+22 4.74E+22 3.45E+22 2.48E+22
 100.00  2.505  5.48E+27 5.32E+26 1.22E+28 3.17E+24 9.40E+24 1.53E+25 2.07E+25 2.53E+25 2.92E+25 3.21E+25 3.40E+25 3.51E+25 3.52E+25 3.45E+25 3.32E+25 3.12E+25 2.89E+25 2.62E+25 2.34E+25 2.06E+25 1.78E+25 1.52E+25 1.28E+25 1.06E+25 8.64E+24 6.95E+24 5.52E+24 4.32E+24 3.33E+24 2.54E+24 1.91E+24 1.42E+24 1.04E+24
 110.00  2.628  1.57E+29 1.52E+28 3.56E+29 8.64E+25 2.56E+26 4.18E+26 5.65E+26 6.94E+26 8.01E+26 8.84E+26 9.42E+26 9.75E+26 9.83E+26 9.70E+26 9.37E+26 8.88E+26 8.27E+26 7.57E+26 6.82E+26 6.05E+26 5.29E+26 4.55E+26 3.86E+26 3.23E+26 2.67E+26 2.17E+26 1.75E+26 1.38E+26 1.08E+26 8.37E+25 6.39E+25 4.81E+25 3.58E+25
 120.00  2.745  3.93E+30 3.77E+29 9.04E+30 2.06E+27 6.11E+27 9.96E+27 1.35E+28 1.66E+28 1.92E+28 2.13E+28 2.27E+28 2.36E+28 2.39E+28 2.37E+28 2.30E+28 2.19E+28 2.06E+28 1.89E+28 1.72E+28 1.54E+28 1.35E+28 1.18E+28 1.01E+28 8.50E+27 7.09E+27 5.83E+27 4.74E+27 3.80E+27 3.01E+27 2.35E+27 1.82E+27 1.39E+27 1.05E+27
 130.00  2.857  8.68E+31 8.29E+30 2.02E+32 4.35E+28 1.29E+29 2.11E+29 2.86E+29 3.52E+29 4.09E+29 4.53E+29 4.86E+29 5.06E+29 5.15E+29 5.12E+29 5.00E+29 4.79E+29 4.51E+29 4.18E+29 3.82E+29 3.44E+29 3.05E+29 2.67E+29 2.30E+29 1.96E+29 1.65E+29 1.37E+29 1.12E+29 9.10E+28 7.29E+28 5.76E+28 4.50E+28 3.48E+28 2.65E+28
 140.00  2.965  1.72E+33 1.63E+32 4.06E+33 8.26E+29 2.45E+30 4.00E+30 5.44E+30 6.71E+30 7.80E+30 8.67E+30 9.32E+30 9.74E+30 9.94E+30 9.93E+30 9.73E+30 9.36E+30 8.86E+30 8.26E+30 7.58E+30 6.86E+30 6.13E+30 5.40E+30 4.69E+30 4.03E+30 3.41E+30 2.86E+30 2.37E+30 1.93E+30 1.56E+30 1.25E+30 9.84E+29 7.68E+29 5.93E+29
 150.00  3.069  3.08E+34 2.91E+33 7.36E+34 1.42E+31 4.23E+31 6.91E+31 9.40E+31 1.16E+32 1.35E+32 1.51E+32 1.62E+32 1.70E+32 1.74E+32 1.74E+32 1.71E+32 1.66E+32 1.58E+32 1.48E+32 1.36E+32 1.24E+32 1.11E+32 9.86E+31 8.63E+31 7.45E+31 6.36E+31 5.37E+31 4.48E+31 3.69E+31 3.00E+31 2.42E+31 1.93E+31 1.52E+31 1.18E+31
 160.00  3.169  5.05E+35 4.74E+34 1.22E+36 2.25E+32 6.68E+32 1.09E+33 1.49E+33 1.84E+33 2.15E+33 2.40E+33 2.59E+33 2.72E+33 2.79E+33 2.80E+33 2.76E+33 2.68E+33 2.56E+33 2.41E+33 2.23E+33 2.04E+33 1.84E+33 1.64E+33 1.44E+33 1.26E+33 1.08E+33 9.16E+32 7.69E+32 6.39E+32 5.24E+32 4.26E+32 3.42E+32 2.72E+32 2.13E+32
 170.00  3.267  7.64E+36 7.13E+35 1.86E+37 3.28E+33 9.76E+33 1.60E+34 2.17E+34 2.69E+34 3.14E+34 3.52E+34 3.80E+34 4.00E+34 4.12E+34 4.15E+34 4.11E+34 4.00E+34 3.83E+34 3.62E+34 3.37E+34 3.09E+34 2.80E+34 2.51E+34 2.22E+34 1.94E+34 1.68E+34 1.43E+34 1.21E+34 1.01E+34 8.38E+33 6.85E+33 5.54E+33 4.44E+33 3.52E+33
