                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 5  *
   4.25  0.687  8.04E+02 1.89E+03 2.06E+04 8.49E+01 1.69E+02 2.38E+02 2.78E+02 2.76E+02 2.37E+02 1.96E+02 1.62E+02 1.03E+02 6.73E+01 4.13E+01 2.28E+01 9.19E+00 5.23E+00 3.35E+00 8.36E-01 1.44E-01 1.44E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.707  1.16E+03 2.64E+03 2.90E+04 1.17E+02 2.34E+02 3.29E+02 3.81E+02 3.82E+02 3.31E+02 2.75E+02 2.23E+02 1.50E+02 9.76E+01 6.00E+01 3.41E+01 1.58E+01 7.51E+00 4.25E+00 1.65E+00 4.81E-01 1.42E-01 6.78E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.726  1.67E+03 3.69E+03 4.09E+04 1.62E+02 3.25E+02 4.53E+02 5.24E+02 5.30E+02 4.63E+02 3.86E+02 3.06E+02 2.19E+02 1.42E+02 8.72E+01 5.08E+01 2.74E+01 1.08E+01 5.28E+00 3.26E+00 8.25E-01 1.40E-01 1.37E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.745  2.36E+03 5.04E+03 5.64E+04 2.12E+02 4.27E+02 6.08E+02 6.99E+02 7.08E+02 6.35E+02 5.33E+02 4.27E+02 3.07E+02 2.02E+02 1.27E+02 7.37E+01 3.89E+01 1.76E+01 7.43E+00 4.14E+00 1.61E+00 4.03E-01 1.39E-01 6.62E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.782  4.79E+03 9.29E+03 1.06E+05 3.84E+02 7.50E+02 1.09E+03 1.25E+03 1.27E+03 1.16E+03 9.96E+02 8.14E+02 5.94E+02 4.04E+02 2.57E+02 1.53E+02 8.06E+01 4.23E+01 1.76E+01 7.26E+00 3.99E+00 1.40E+00 2.65E-01 1.35E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.816  9.47E+03 1.71E+04 1.99E+05 7.05E+02 1.35E+03 1.94E+03 2.25E+03 2.31E+03 2.10E+03 1.83E+03 1.51E+03 1.13E+03 7.88E+02 5.08E+02 3.11E+02 1.75E+02 9.06E+01 4.29E+01 1.72E+01 6.99E+00 3.62E+00 1.09E+00 1.95E-01 6.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.850  1.83E+04 3.06E+04 3.63E+05 1.21E+03 2.35E+03 3.32E+03 3.89E+03 4.06E+03 3.75E+03 3.30E+03 2.79E+03 2.10E+03 1.48E+03 9.96E+02 6.20E+02 3.62E+02 1.92E+02 9.07E+01 4.18E+01 1.65E+01 5.90E+00 2.65E+00 7.53E-01 1.29E-01 6.18E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.882  3.50E+04 5.35E+04 6.49E+05 2.05E+03 3.95E+03 5.60E+03 6.60E+03 6.93E+03 6.49E+03 5.78E+03 4.99E+03 3.84E+03 2.75E+03 1.88E+03 1.21E+03 7.11E+02 3.91E+02 1.95E+02 8.87E+01 3.91E+01 1.40E+01 5.47E+00 1.92E+00 4.29E-01 1.27E-01 6.05E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.913  6.51E+04 9.29E+04 1.15E+06 3.42E+03 6.58E+03 9.42E+03 1.12E+04 1.18E+04 1.12E+04 1.00E+04 8.66E+03 6.81E+03 5.05E+03 3.49E+03 2.29E+03 1.37E+03 7.83E+02 4.04E+02 1.92E+02 8.25E+01 3.43E+01 1.22E+01 4.06E+00 1.44E+00 2.43E-01 1.24E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.943  1.19E+05 1.56E+05 1.96E+06 5.42E+03 1.05E+04 1.51E+04 1.80E+04 1.92E+04 1.85E+04 1.69E+04 1.48E+04 1.18E+04 8.90E+03 6.29E+03 4.22E+03 2.59E+03 1.52E+03 8.13E+02 3.98E+02 1.78E+02 7.21E+01 2.82E+01 9.31E+00 3.64E+00 1.00E+00 1.80E-01 5.81E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.972  2.14E+05 2.57E+05 3.31E+06 8.61E+03 1.69E+04 2.42E+04 2.88E+04 3.10E+04 3.00E+04 2.77E+04 2.48E+04 2.01E+04 1.54E+04 1.11E+04 7.61E+03 4.83E+03 2.90E+03 1.59E+03 8.02E+02 3.75E+02 1.59E+02 6.00E+01 2.28E+01 6.40E+00 2.44E+00 6.38E-01 1.19E-01 5.70E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  1.000  3.76E+05 4.20E+05 5.52E+06 1.36E+04 2.66E+04 3.83E+04 4.59E+04 4.97E+04 4.84E+04 4.50E+04 4.04E+04 3.32E+04 2.61E+04 1.93E+04 1.34E+04 8.70E+03 5.39E+03 3.02E+03 1.58E+03 7.59E+02 3.36E+02 1.32E+02 4.75E+01 1.52E+01 5.05E+00 1.65E+00 2.29E-01 1.17E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.027  6.49E+05 6.63E+05 8.89E+06 2.07E+04 4.03E+04 5.82E+04 7.01E+04 7.66E+04 7.56E+04 7.12E+04 6.45E+04 5.33E+04 4.25E+04 3.21E+04 2.29E+04 1.51E+04 9.60E+03 5.58E+03 2.98E+03 1.49E+03 6.69E+02 2.83E+02 1.01E+02 3.77E+01 1.07E+01 3.87E+00 1.11E+00 2.52E-01 2.74E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  10.00  1.054  1.10E+06 1.03E+06 1.41E+07 3.10E+04 6.08E+04 8.79E+04 1.06E+05 1.16E+05 1.15E+05 1.09E+05 1.00E+05 8.48E+04 6.87E+04 5.25E+04 3.80E+04 2.58E+04 1.69E+04 1.01E+04 5.57E+03 2.86E+03 1.32E+03 5.83E+02 2.18E+02 8.03E+01 2.48E+01 8.41E+00 2.67E+00 5.29E-01 8.34E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
  11.00  1.106  3.07E+06 2.37E+06 3.37E+07 6.54E+04 1.28E+05 1.86E+05 2.27E+05 2.52E+05 2.54E+05 2.46E+05 2.31E+05 2.00E+05 1.66E+05 1.30E+05 9.86E+04 7.00E+04 4.75E+04 3.01E+04 1.78E+04 9.62E+03 4.80E+03 2.28E+03 9.35E+02 3.66E+02 1.26E+02 3.94E+01 1.15E+01 2.66E+00 9.94E-01 8.06E-02 1.00E-30 1.00E-30 1.00E-30
  12.00  1.155  7.76E+06 5.06E+06 7.47E+07 1.29E+05 2.54E+05 3.70E+05 4.53E+05 5.09E+05 5.22E+05 5.13E+05 4.87E+05 4.31E+05 3.67E+05 2.99E+05 2.34E+05 1.71E+05 1.21E+05 8.09E+04 5.02E+04 2.90E+04 1.56E+04 7.88E+03 3.54E+03 1.50E+03 5.54E+02 1.83E+02 5.44E+01 1.57E+01 3.89E+00 1.35E+00 7.79E-02 7.79E-02 1.00E-30
  13.00  1.202  1.81E+07 1.00E+07 1.54E+08 2.38E+05 4.69E+05 6.82E+05 8.44E+05 9.54E+05 9.90E+05 9.86E+05 9.53E+05 8.63E+05 7.53E+05 6.28E+05 5.06E+05 3.85E+05 2.85E+05 1.97E+05 1.28E+05 7.89E+04 4.48E+04 2.44E+04 1.18E+04 5.49E+03 2.19E+03 8.04E+02 2.55E+02 7.66E+01 2.04E+01 4.56E+00 1.84E+00 1.02E-01 7.55E-02
  14.00  1.247  3.95E+07 1.88E+07 2.99E+08 4.15E+05 8.18E+05 1.19E+06 1.48E+06 1.69E+06 1.77E+06 1.79E+06 1.75E+06 1.61E+06 1.43E+06 1.22E+06 1.01E+06 7.94E+05 6.04E+05 4.38E+05 2.99E+05 1.92E+05 1.16E+05 6.73E+04 3.47E+04 1.76E+04 7.61E+03 3.07E+03 1.08E+03 3.54E+02 1.05E+02 2.31E+01 5.68E+00 1.78E+00 1.72E-01
  15.00  1.291  8.09E+07 3.32E+07 5.48E+08 6.92E+05 1.36E+06 1.99E+06 2.49E+06 2.84E+06 3.00E+06 3.06E+06 3.02E+06 2.82E+06 2.55E+06 2.22E+06 1.88E+06 1.52E+06 1.19E+06 8.92E+05 6.35E+05 4.28E+05 2.73E+05 1.67E+05 9.24E+04 4.97E+04 2.36E+04 1.03E+04 4.00E+03 1.44E+03 4.67E+02 1.20E+02 2.85E+01 6.52E+00 1.69E+00
  16.00  1.333  1.57E+08 5.63E+07 9.58E+08 1.11E+06 2.18E+06 3.19E+06 4.00E+06 4.58E+06 4.90E+06 5.02E+06 5.01E+06 4.73E+06 4.32E+06 3.81E+06 3.29E+06 2.71E+06 2.19E+06 1.68E+06 1.24E+06 8.76E+05 5.82E+05 3.77E+05 2.22E+05 1.27E+05 6.49E+04 3.05E+04 1.31E+04 5.21E+03 1.84E+03 5.34E+02 1.44E+02 3.14E+01 6.96E+00
  17.00  1.374  2.90E+08 9.22E+07 1.61E+09 1.74E+06 3.42E+06 5.01E+06 6.30E+06 7.24E+06 7.75E+06 7.98E+06 8.00E+06 7.62E+06 7.04E+06 6.29E+06 5.49E+06 4.62E+06 3.79E+06 2.99E+06 2.27E+06 1.66E+06 1.15E+06 7.79E+05 4.83E+05 2.94E+05 1.60E+05 8.20E+04 3.81E+04 1.67E+04 6.43E+03 2.10E+03 6.29E+02 1.53E+02 3.34E+01
  18.00  1.414  5.14E+08 1.47E+08 2.63E+09 2.66E+06 5.23E+06 7.69E+06 9.65E+06 1.11E+07 1.20E+07 1.24E+07 1.25E+07 1.19E+07 1.11E+07 1.00E+07 8.83E+06 7.52E+06 6.28E+06 5.05E+06 3.92E+06 2.95E+06 2.12E+06 1.49E+06 9.72E+05 6.22E+05 3.62E+05 1.98E+05 9.95E+04 4.71E+04 2.02E+04 7.25E+03 2.43E+03 6.71E+02 1.59E+02
  19.00  1.453  8.83E+08 2.29E+08 4.18E+09 4.05E+06 7.97E+06 1.17E+07 1.47E+07 1.70E+07 1.83E+07 1.90E+07 1.91E+07 1.84E+07 1.72E+07 1.56E+07 1.39E+07 1.19E+07 1.00E+07 8.20E+06 6.49E+06 4.98E+06 3.68E+06 2.67E+06 1.82E+06 1.21E+06 7.47E+05 4.37E+05 2.35E+05 1.20E+05 5.59E+04 2.23E+04 8.24E+03 2.58E+03 6.94E+02
  20.00  1.491  1.48E+09 3.52E+08 6.50E+09 6.08E+06 1.20E+07 1.75E+07 2.20E+07 2.56E+07 2.76E+07 2.86E+07 2.89E+07 2.78E+07 2.61E+07 2.38E+07 2.13E+07 1.84E+07 1.56E+07 1.28E+07 1.03E+07 8.00E+06 6.03E+06 4.46E+06 3.13E+06 2.16E+06 1.39E+06 8.51E+05 4.86E+05 2.65E+05 1.33E+05 5.79E+04 2.35E+04 8.20E+03 2.49E+03
  22.50  1.581  5.17E+09 1.00E+09 1.91E+10 1.65E+07 3.26E+07 4.77E+07 6.02E+07 7.00E+07 7.58E+07 7.90E+07 8.04E+07 7.78E+07 7.34E+07 6.73E+07 6.06E+07 5.30E+07 4.55E+07 3.80E+07 3.10E+07 2.47E+07 1.92E+07 1.48E+07 1.09E+07 7.98E+06 5.57E+06 3.76E+06 2.42E+06 1.52E+06 8.94E+05 4.74E+05 2.38E+05 1.06E+05 4.24E+04
  25.00  1.667  1.62E+10 2.82E+09 5.45E+10 4.53E+07 8.93E+07 1.31E+08 1.66E+08 1.93E+08 2.09E+08 2.18E+08 2.22E+08 2.16E+08 2.04E+08 1.88E+08 1.70E+08 1.49E+08 1.29E+08 1.09E+08 8.90E+07 7.16E+07 5.63E+07 4.40E+07 3.29E+07 2.48E+07 1.78E+07 1.27E+07 8.69E+06 5.87E+06 3.82E+06 2.29E+06 1.34E+06 7.11E+05 3.47E+05
  30.00  1.826  1.82E+11 2.29E+10 4.51E+11 3.58E+08 7.07E+08 1.05E+09 1.32E+09 1.54E+09 1.67E+09 1.75E+09 1.79E+09 1.74E+09 1.66E+09 1.53E+09 1.39E+09 1.22E+09 1.06E+09 8.99E+08 7.39E+08 5.97E+08 4.70E+08 3.70E+08 2.81E+08 2.14E+08 1.57E+08 1.14E+08 8.12E+07 5.76E+07 4.02E+07 2.67E+07 1.78E+07 1.14E+07 7.03E+06
  40.00  2.108  2.65E+13 1.59E+12 3.23E+13 2.28E+10 4.53E+10 6.67E+10 8.51E+10 9.97E+10 1.09E+11 1.16E+11 1.20E+11 1.18E+11 1.14E+11 1.07E+11 9.81E+10 8.76E+10 7.74E+10 6.65E+10 5.57E+10 4.56E+10 3.65E+10 2.92E+10 2.23E+10 1.72E+10 1.27E+10 9.25E+09 6.60E+09 4.71E+09 3.28E+09 2.19E+09 1.47E+09 9.59E+08 6.17E+08
  50.00  2.357  1.48E+15 7.68E+13 1.64E+15 9.97E+11 1.98E+12 2.94E+12 3.74E+12 4.44E+12 4.91E+12 5.25E+12 5.50E+12 5.49E+12 5.36E+12 5.12E+12 4.76E+12 4.34E+12 3.91E+12 3.43E+12 2.95E+12 2.47E+12 2.02E+12 1.66E+12 1.31E+12 1.04E+12 7.93E+11 5.94E+11 4.41E+11 3.23E+11 2.33E+11 1.61E+11 1.11E+11 7.45E+10 4.91E+10
  60.00  2.582  1.58E+17 6.56E+15 1.49E+17 6.95E+13 1.38E+14 2.04E+14 2.68E+14 3.29E+14 3.83E+14 4.34E+14 4.61E+14 4.43E+14 4.45E+14 4.47E+14 4.06E+14 3.81E+14 3.43E+14 3.08E+14 2.72E+14 2.36E+14 1.93E+14 1.70E+14 1.36E+14 1.10E+14 8.82E+13 6.52E+13 5.20E+13 4.00E+13 3.04E+13 2.19E+13 1.54E+13 1.05E+13 7.33E+12
  70.00  2.789  5.54E+18 1.89E+17 4.44E+18 1.87E+15 3.72E+15 5.52E+15 7.25E+15 8.87E+15 1.04E+16 1.18E+16 1.26E+16 1.22E+16 1.24E+16 1.25E+16 1.15E+16 1.09E+16 9.93E+15 9.02E+15 8.08E+15 7.12E+15 5.92E+15 5.28E+15 4.32E+15 3.55E+15 2.90E+15 2.20E+15 1.80E+15 1.41E+15 1.10E+15 8.13E+14 5.91E+14 4.17E+14 3.01E+14
  80.00  2.981  1.52E+20 4.40E+18 1.07E+20 4.13E+16 8.21E+16 1.22E+17 1.60E+17 1.96E+17 2.30E+17 2.62E+17 2.81E+17 2.75E+17 2.80E+17 2.84E+17 2.63E+17 2.52E+17 2.32E+17 2.13E+17 1.93E+17 1.71E+17 1.45E+17 1.31E+17 1.09E+17 9.07E+16 7.53E+16 5.85E+16 4.83E+16 3.86E+16 3.07E+16 2.32E+16 1.73E+16 1.25E+16 9.28E+15
  90.00  3.162  3.48E+21 8.65E+19 2.16E+21 7.74E+17 1.54E+18 2.28E+18 3.00E+18 3.68E+18 4.34E+18 4.93E+18 5.29E+18 5.22E+18 5.35E+18 5.44E+18 5.10E+18 4.91E+18 4.55E+18 4.22E+18 3.85E+18 3.46E+18 2.97E+18 2.69E+18 2.26E+18 1.91E+18 1.61E+18 1.27E+18 1.06E+18 8.64E+17 6.97E+17 5.37E+17 4.08E+17 3.02E+17 2.28E+17
 100.00  3.333  6.84E+22 1.48E+21 3.76E+22 1.26E+19 2.51E+19 3.72E+19 4.90E+19 6.02E+19 7.09E+19 8.07E+19 8.68E+19 8.64E+19 8.85E+19 9.05E+19 8.54E+19 8.27E+19 7.73E+19 7.20E+19 6.63E+19 6.00E+19 5.20E+19 4.74E+19 4.04E+19 3.45E+19 2.94E+19 2.35E+19 1.99E+19 1.63E+19 1.34E+19 1.05E+19 8.07E+18 6.09E+18 4.68E+18
 110.00  3.496  1.18E+24 2.22E+22 5.78E+23 1.82E+20 3.62E+20 5.39E+20 7.10E+20 8.72E+20 1.03E+21 1.17E+21 1.26E+21 1.26E+21 1.29E+21 1.34E+21 1.26E+21 1.23E+21 1.16E+21 1.09E+21 1.00E+21 9.17E+20 8.01E+20 7.35E+20 6.32E+20 5.45E+20 4.68E+20 3.79E+20 3.24E+20 2.69E+20 2.22E+20 1.77E+20 1.38E+20 1.06E+20 8.23E+19
 120.00  3.651  1.82E+25 3.00E+23 7.96E+24 2.37E+21 4.73E+21 7.02E+21 9.28E+21 1.14E+22 1.34E+22 1.54E+22 1.66E+22 1.66E+22 1.72E+22 1.77E+22 1.68E+22 1.65E+22 1.56E+22 1.47E+22 1.36E+22 1.25E+22 1.11E+22 1.02E+22 8.83E+21 7.68E+21 6.65E+21 5.43E+21 4.68E+21 3.93E+21 3.28E+21 2.63E+21 2.08E+21 1.62E+21 1.27E+21
 130.00  3.801  2.54E+26 3.71E+24 9.97E+25 2.83E+22 5.63E+22 8.37E+22 1.10E+23 1.36E+23 1.60E+23 1.83E+23 1.98E+23 2.00E+23 2.06E+23 2.13E+23 2.04E+23 2.01E+23 1.90E+23 1.80E+23 1.69E+23 1.56E+23 1.38E+23 1.28E+23 1.11E+23 9.81E+22 8.50E+22 7.04E+22 6.11E+22 5.17E+22 4.34E+22 3.52E+22 2.82E+22 2.21E+22 1.76E+22
 140.00  3.944  3.24E+27 4.20E+25 1.15E+27 3.10E+23 6.17E+23 9.14E+23 1.21E+24 1.49E+24 1.76E+24 2.01E+24 2.18E+24 2.21E+24 2.29E+24 2.37E+24 2.28E+24 2.24E+24 2.13E+24 2.03E+24 1.91E+24 1.77E+24 1.58E+24 1.47E+24 1.29E+24 1.14E+24 9.99E+23 8.30E+23 7.27E+23 6.19E+23 5.24E+23 4.29E+23 3.47E+23 2.74E+23 2.21E+23
 150.00  4.082  3.82E+28 4.42E+26 1.22E+28 3.16E+24 6.28E+24 9.37E+24 1.24E+25 1.52E+25 1.79E+25 2.05E+25 2.23E+25 2.27E+25 2.35E+25 2.44E+25 2.36E+25 2.33E+25 2.23E+25 2.12E+25 2.00E+25 1.86E+25 1.67E+25 1.57E+25 1.39E+25 1.23E+25 1.08E+25 9.08E+24 7.95E+24 6.81E+24 5.83E+24 4.81E+24 3.91E+24 3.13E+24 2.54E+24
 160.00  4.216  4.20E+29 4.34E+27 1.21E+29 3.01E+25 6.00E+25 8.95E+25 1.18E+26 1.45E+26 1.71E+26 1.96E+26 2.13E+26 2.18E+26 2.27E+26 2.35E+26 2.28E+26 2.26E+26 2.17E+26 2.08E+26 1.96E+26 1.84E+26 1.66E+26 1.55E+26 1.38E+26 1.23E+26 1.09E+26 9.23E+25 8.15E+25 7.00E+25 6.02E+25 5.00E+25 4.10E+25 3.30E+25 2.70E+25
