                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
   2.25  0.497  1.86E+02 7.97E+02 7.93E+03 4.10E+01 4.27E+01 1.07E+02 1.07E+02 1.33E+02 1.07E+02 1.01E+02 6.22E+01 4.63E+01 2.40E+01 1.76E+01 5.98E+00 3.13E+00 8.03E-01 4.10E-01 3.46E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.524  2.92E+02 1.16E+03 1.17E+04 5.48E+01 6.03E+01 1.59E+02 1.51E+02 1.86E+02 1.51E+02 1.45E+02 9.99E+01 7.41E+01 3.44E+01 2.73E+01 1.02E+01 6.12E+00 1.06E+00 6.45E-01 3.85E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.550  4.67E+02 1.63E+03 1.69E+04 7.18E+01 8.46E+01 2.14E+02 1.92E+02 2.58E+02 2.15E+02 1.99E+02 1.46E+02 1.14E+02 5.66E+01 4.16E+01 1.61E+01 1.15E+01 2.82E+00 1.37E+00 4.11E-01 3.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.574  7.31E+02 2.42E+03 2.51E+04 1.17E+02 1.25E+02 3.23E+02 3.00E+02 3.67E+02 3.09E+02 2.92E+02 2.08E+02 1.71E+02 9.29E+01 6.52E+01 2.43E+01 1.65E+01 5.65E+00 2.18E+00 7.58E-01 3.71E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.598  1.12E+03 3.64E+03 3.78E+04 1.69E+02 1.86E+02 4.90E+02 4.55E+02 5.58E+02 4.75E+02 4.15E+02 3.08E+02 2.52E+02 1.39E+02 1.09E+02 4.00E+01 2.49E+01 9.70E+00 4.42E+00 9.51E-01 3.96E-01 1.60E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.620  1.69E+03 5.15E+03 5.46E+04 2.30E+02 2.43E+02 6.52E+02 6.19E+02 7.91E+02 6.81E+02 6.34E+02 4.45E+02 3.61E+02 2.04E+02 1.61E+02 6.54E+01 3.76E+01 1.52E+01 7.85E+00 1.55E+00 7.54E-01 1.95E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.642  2.52E+03 7.23E+03 7.81E+04 3.12E+02 3.34E+02 8.81E+02 8.57E+02 1.08E+03 9.27E+02 9.31E+02 6.56E+02 5.25E+02 3.02E+02 2.34E+02 1.01E+02 6.10E+01 2.26E+01 1.26E+01 3.77E+00 1.29E+00 3.68E-01 1.55E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.663  3.79E+03 1.01E+04 1.11E+05 4.09E+02 4.60E+02 1.21E+03 1.15E+03 1.47E+03 1.28E+03 1.26E+03 9.34E+02 7.86E+02 4.36E+02 3.44E+02 1.53E+02 1.06E+02 3.61E+01 1.92E+01 7.73E+00 2.23E+00 5.50E-01 1.88E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.684  5.67E+03 1.39E+04 1.55E+05 5.40E+02 6.22E+02 1.64E+03 1.54E+03 2.01E+03 1.77E+03 1.74E+03 1.30E+03 1.13E+03 6.52E+02 4.95E+02 2.24E+02 1.60E+02 6.29E+01 2.92E+01 1.17E+01 4.66E+00 9.02E-01 3.71E-01 1.50E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.704  8.38E+03 1.97E+04 2.21E+05 7.64E+02 8.65E+02 2.30E+03 2.17E+03 2.81E+03 2.49E+03 2.41E+03 1.82E+03 1.59E+03 9.40E+02 7.52E+02 3.38E+02 2.36E+02 9.78E+01 4.70E+01 1.80E+01 7.94E+00 1.64E+00 7.00E-01 1.83E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.75  0.723  1.22E+04 2.77E+04 3.13E+05 1.08E+03 1.20E+03 3.21E+03 3.05E+03 3.93E+03 3.51E+03 3.35E+03 2.55E+03 2.23E+03 1.35E+03 1.13E+03 5.10E+02 3.49E+02 1.52E+02 7.55E+01 2.79E+01 1.34E+01 2.96E+00 1.04E+00 3.45E-01 7.28E-03 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.00  0.742  1.76E+04 3.78E+04 4.33E+05 1.44E+03 1.59E+03 4.27E+03 4.09E+03 5.26E+03 4.71E+03 4.64E+03 3.53E+03 3.10E+03 1.90E+03 1.59E+03 7.53E+02 5.17E+02 2.25E+02 1.18E+02 4.63E+01 2.01E+01 5.35E+00 1.88E+00 5.04E-01 8.86E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   5.50  0.778  3.69E+04 6.92E+04 8.14E+05 2.52E+03 2.77E+03 7.46E+03 7.21E+03 9.32E+03 8.37E+03 8.61E+03 6.60E+03 5.93E+03 3.75E+03 3.10E+03 1.56E+03 1.11E+03 5.01E+02 2.72E+02 1.16E+02 4.99E+01 1.49E+01 5.91E+00 9.86E-01 3.31E-01 8.62E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.00  0.812  7.48E+04 1.25E+05 1.50E+06 4.33E+03 4.76E+03 1.29E+04 1.25E+04 1.65E+04 1.49E+04 1.54E+04 1.20E+04 1.10E+04 7.13E+03 6.04E+03 3.12E+03 2.28E+03 1.10E+03 6.16E+02 2.63E+02 1.24E+02 3.84E+01 1.52E+01 3.41E+00 9.65E-01 2.38E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   6.50  0.846  1.46E+05 2.20E+05 2.71E+06 7.26E+03 8.00E+03 2.18E+04 2.11E+04 2.85E+04 2.59E+04 2.69E+04 2.13E+04 1.98E+04 1.30E+04 1.14E+04 6.13E+03 4.57E+03 2.29E+03 1.34E+03 6.12E+02 2.85E+02 9.69E+01 3.66E+01 1.13E+01 2.83E+00 4.64E-01 1.63E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.00  0.877  2.78E+05 3.78E+05 4.75E+06 1.20E+04 1.31E+04 3.59E+04 3.49E+04 4.71E+04 4.30E+04 4.56E+04 3.67E+04 3.46E+04 2.35E+04 2.07E+04 1.15E+04 8.84E+03 4.61E+03 2.75E+03 1.34E+03 6.55E+02 2.28E+02 9.44E+01 2.72E+01 8.87E+00 1.55E+00 6.10E-01 7.96E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   7.50  0.908  5.16E+05 6.33E+05 8.14E+06 1.93E+04 2.11E+04 5.79E+04 5.64E+04 7.67E+04 7.04E+04 7.55E+04 6.15E+04 5.88E+04 4.09E+04 3.67E+04 2.10E+04 1.63E+04 8.89E+03 5.53E+03 2.74E+03 1.43E+03 5.29E+02 2.25E+02 7.06E+01 2.20E+01 6.23E+00 1.41E+00 2.98E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.00  0.938  9.33E+05 1.03E+06 1.36E+07 3.02E+04 3.30E+04 9.10E+04 8.86E+04 1.22E+05 1.13E+05 1.22E+05 1.00E+05 9.75E+04 6.87E+04 6.28E+04 3.70E+04 2.96E+04 1.65E+04 1.06E+04 5.53E+03 2.93E+03 1.17E+03 5.16E+02 1.77E+02 5.58E+01 1.59E+01 4.40E+00 5.71E-01 1.52E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.967  1.65E+06 1.65E+06 2.22E+07 4.64E+04 5.03E+04 1.39E+05 1.36E+05 1.89E+05 1.75E+05 1.93E+05 1.60E+05 1.57E+05 1.13E+05 1.04E+05 6.34E+04 5.19E+04 2.99E+04 1.97E+04 1.08E+04 5.94E+03 2.46E+03 1.15E+03 4.13E+02 1.39E+02 4.12E+01 1.24E+01 1.77E+00 5.68E-01 7.41E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.995  2.84E+06 2.57E+06 3.54E+07 6.97E+04 7.55E+04 2.09E+05 2.04E+05 2.86E+05 2.65E+05 2.96E+05 2.48E+05 2.47E+05 1.81E+05 1.69E+05 1.06E+05 8.76E+04 5.23E+04 3.56E+04 2.00E+04 1.16E+04 5.02E+03 2.42E+03 9.23E+02 3.22E+02 1.08E+02 2.87E+01 6.80E+00 1.54E+00 2.05E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  1.022  4.79E+06 3.90E+06 5.48E+07 1.01E+05 1.10E+05 3.04E+05 2.98E+05 4.20E+05 3.92E+05 4.42E+05 3.73E+05 3.77E+05 2.79E+05 2.66E+05 1.69E+05 1.43E+05 8.77E+04 6.14E+04 3.55E+04 2.12E+04 9.72E+03 4.88E+03 1.97E+03 7.29E+02 2.56E+02 7.09E+01 1.80E+01 4.45E+00 1.04E+00 2.12E-01 1.00E-30 1.00E-30 1.00E-30
  10.00  1.049  7.89E+06 5.83E+06 8.37E+07 1.45E+05 1.56E+05 4.34E+05 4.26E+05 6.08E+05 5.68E+05 6.48E+05 5.52E+05 5.65E+05 4.25E+05 4.09E+05 2.67E+05 2.30E+05 1.44E+05 1.03E+05 6.17E+04 3.81E+04 1.83E+04 9.59E+03 4.10E+03 1.60E+03 5.98E+02 1.78E+02 4.61E+01 1.16E+01 2.42E+00 5.89E-01 1.00E-30 1.00E-30 1.00E-30
  11.00  1.100  2.05E+07 1.22E+07 1.83E+08 2.79E+05 2.98E+05 8.36E+05 8.21E+05 1.19E+06 1.12E+06 1.30E+06 1.13E+06 1.18E+06 9.13E+05 9.02E+05 6.12E+05 5.45E+05 3.57E+05 2.70E+05 1.70E+05 1.12E+05 5.79E+04 3.31E+04 1.54E+04 6.80E+03 2.78E+03 9.62E+02 2.73E+02 7.99E+01 1.33E+01 4.28E+00 3.79E-01 9.43E-02 1.00E-30
  12.00  1.149  4.82E+07 2.35E+07 3.69E+08 4.97E+05 5.30E+05 1.49E+06 1.47E+06 2.15E+06 2.03E+06 2.41E+06 2.11E+06 2.26E+06 1.79E+06 1.81E+06 1.27E+06 1.17E+06 7.99E+05 6.32E+05 4.16E+05 2.89E+05 1.61E+05 9.86E+04 5.00E+04 2.43E+04 1.10E+04 4.31E+03 1.39E+03 4.55E+02 9.36E+01 2.61E+01 3.36E+00 7.51E-01 9.07E-02
  13.00  1.196  1.04E+08 4.25E+07 6.94E+08 8.36E+05 8.86E+05 2.51E+06 2.47E+06 3.65E+06 3.46E+06 4.17E+06 3.67E+06 4.02E+06 3.23E+06 3.32E+06 2.42E+06 2.29E+06 1.62E+06 1.34E+06 9.15E+05 6.73E+05 3.97E+05 2.59E+05 1.41E+05 7.47E+04 3.70E+04 1.61E+04 5.99E+03 2.18E+03 5.53E+02 1.62E+02 2.56E+01 5.65E+00 4.63E-01
  14.00  1.241  2.11E+08 7.27E+07 1.23E+09 1.34E+06 1.42E+06 4.02E+06 3.96E+06 5.90E+06 5.60E+06 6.82E+06 6.05E+06 6.71E+06 5.48E+06 5.73E+06 4.29E+06 4.13E+06 3.01E+06 2.58E+06 1.83E+06 1.41E+06 8.78E+05 6.11E+05 3.54E+05 2.03E+05 1.08E+05 5.19E+04 2.16E+04 8.80E+03 2.58E+03 8.80E+02 1.58E+02 4.15E+01 4.73E+00
  15.00  1.285  4.00E+08 1.19E+08 2.08E+09 2.07E+06 2.19E+06 6.22E+06 6.13E+06 9.20E+06 8.72E+06 1.07E+07 9.56E+06 1.07E+07 8.84E+06 9.35E+06 7.15E+06 7.00E+06 5.23E+06 4.62E+06 3.37E+06 2.71E+06 1.76E+06 1.30E+06 7.91E+05 4.89E+05 2.78E+05 1.46E+05 6.67E+04 3.05E+04 1.02E+04 3.96E+03 8.57E+02 2.37E+02 3.87E+01
  16.00  1.327  7.24E+08 1.88E+08 3.40E+09 3.16E+06 3.31E+06 9.45E+06 9.28E+06 1.40E+07 1.33E+07 1.64E+07 1.47E+07 1.65E+07 1.38E+07 1.47E+07 1.14E+07 1.13E+07 8.59E+06 7.74E+06 5.79E+06 4.83E+06 3.25E+06 2.50E+06 1.60E+06 1.06E+06 6.38E+05 3.64E+05 1.80E+05 9.06E+04 3.43E+04 1.47E+04 3.87E+03 1.22E+03 2.32E+02
  17.00  1.367  1.26E+09 2.91E+08 5.38E+09 4.74E+06 4.98E+06 1.42E+07 1.39E+07 2.11E+07 2.01E+07 2.48E+07 2.23E+07 2.51E+07 2.10E+07 2.25E+07 1.75E+07 1.76E+07 1.36E+07 1.24E+07 9.45E+06 8.09E+06 5.62E+06 4.48E+06 2.98E+06 2.10E+06 1.32E+06 8.17E+05 4.35E+05 2.38E+05 9.96E+04 4.77E+04 1.44E+04 5.28E+03 1.19E+03
  18.00  1.407  2.11E+09 4.45E+08 8.37E+09 7.07E+06 7.42E+06 2.12E+07 2.08E+07 3.15E+07 2.99E+07 3.72E+07 3.34E+07 3.77E+07 3.17E+07 3.39E+07 2.67E+07 2.69E+07 2.09E+07 1.93E+07 1.48E+07 1.29E+07 9.19E+06 7.55E+06 5.20E+06 3.83E+06 2.51E+06 1.66E+06 9.40E+05 5.58E+05 2.56E+05 1.34E+05 4.61E+04 1.90E+04 5.14E+03
  19.00  1.446  3.47E+09 6.75E+08 1.28E+10 1.05E+07 1.10E+07 3.14E+07 3.09E+07 4.70E+07 4.47E+07 5.54E+07 4.99E+07 5.64E+07 4.75E+07 5.11E+07 4.02E+07 4.06E+07 3.15E+07 2.94E+07 2.28E+07 2.01E+07 1.45E+07 1.22E+07 8.54E+06 6.53E+06 4.44E+06 3.09E+06 1.85E+06 1.18E+06 5.89E+05 3.34E+05 1.29E+05 5.90E+04 1.85E+04
  20.00  1.483  5.59E+09 1.01E+09 1.95E+10 1.56E+07 1.63E+07 4.66E+07 4.58E+07 6.98E+07 6.64E+07 8.24E+07 7.43E+07 8.41E+07 7.09E+07 7.64E+07 6.01E+07 6.10E+07 4.75E+07 4.44E+07 3.45E+07 3.05E+07 2.22E+07 1.88E+07 1.33E+07 1.04E+07 7.24E+06 5.24E+06 3.25E+06 2.19E+06 1.16E+06 7.10E+05 3.01E+05 1.51E+05 5.31E+04
  22.50  1.573  1.84E+10 2.80E+09 5.47E+10 4.20E+07 4.38E+07 1.26E+08 1.24E+08 1.88E+08 1.80E+08 2.23E+08 2.02E+08 2.28E+08 1.94E+08 2.09E+08 1.65E+08 1.68E+08 1.32E+08 1.23E+08 9.63E+07 8.58E+07 6.30E+07 5.40E+07 3.91E+07 3.16E+07 2.26E+07 1.74E+07 1.16E+07 8.65E+06 5.20E+06 3.67E+06 1.89E+06 1.16E+06 5.27E+05
  25.00  1.658  5.66E+10 7.83E+09 1.54E+11 1.17E+08 1.21E+08 3.51E+08 3.44E+08 5.22E+08 4.98E+08 6.21E+08 5.60E+08 6.35E+08 5.40E+08 5.81E+08 4.61E+08 4.68E+08 3.69E+08 3.45E+08 2.71E+08 2.41E+08 1.78E+08 1.53E+08 1.11E+08 9.00E+07 6.52E+07 5.08E+07 3.45E+07 2.68E+07 1.69E+07 1.28E+07 7.38E+06 5.12E+06 2.73E+06
  30.00  1.817  6.54E+11 6.47E+10 1.29E+12 9.56E+08 9.86E+08 2.86E+09 2.81E+09 4.28E+09 4.10E+09 5.09E+09 4.62E+09 5.25E+09 4.48E+09 4.81E+09 3.83E+09 3.89E+09 3.09E+09 2.87E+09 2.27E+09 2.01E+09 1.48E+09 1.27E+09 9.32E+08 7.47E+08 5.45E+08 4.24E+08 2.91E+08 2.25E+08 1.46E+08 1.13E+08 6.87E+07 5.13E+07 3.11E+07
  40.00  2.098  9.73E+13 4.35E+12 8.99E+13 5.91E+10 6.07E+10 1.77E+11 1.75E+11 2.69E+11 2.58E+11 3.23E+11 2.99E+11 3.42E+11 2.95E+11 3.22E+11 2.61E+11 2.68E+11 2.18E+11 2.05E+11 1.66E+11 1.49E+11 1.13E+11 9.72E+10 7.32E+10 5.89E+10 4.39E+10 3.39E+10 2.37E+10 1.82E+10 1.19E+10 9.02E+09 5.55E+09 4.05E+09 2.46E+09
  50.00  2.345  5.29E+15 1.91E+14 4.14E+15 2.35E+12 2.41E+12 7.04E+12 6.95E+12 1.08E+13 1.04E+13 1.33E+13 1.23E+13 1.42E+13 1.25E+13 1.38E+13 1.14E+13 1.18E+13 9.84E+12 9.41E+12 7.79E+12 7.10E+12 5.56E+12 4.90E+12 3.81E+12 3.14E+12 2.41E+12 1.93E+12 1.40E+12 1.10E+12 7.53E+11 5.87E+11 3.77E+11 2.82E+11 1.79E+11
  60.00  2.569  3.25E+17 9.31E+15 2.14E+17 9.50E+13 9.71E+13 2.84E+14 2.81E+14 4.60E+14 4.47E+14 6.16E+14 5.89E+14 6.60E+14 5.74E+14 6.63E+14 5.60E+14 5.70E+14 5.09E+14 4.64E+14 4.08E+14 3.66E+14 3.04E+14 2.71E+14 2.24E+14 1.82E+14 1.44E+14 1.23E+14 8.81E+13 7.14E+13 5.12E+13 4.26E+13 2.85E+13 2.12E+13 1.41E+13
  70.00  2.775  1.12E+19 2.59E+17 6.16E+18 2.48E+15 2.53E+15 7.43E+15 7.35E+15 1.21E+16 1.17E+16 1.62E+16 1.55E+16 1.76E+16 1.54E+16 1.78E+16 1.53E+16 1.57E+16 1.41E+16 1.30E+16 1.16E+16 1.06E+16 8.93E+15 8.02E+15 6.74E+15 5.62E+15 4.51E+15 3.92E+15 2.88E+15 2.38E+15 1.75E+15 1.49E+15 1.03E+15 7.84E+14 5.40E+14
  80.00  2.966  3.08E+20 5.90E+18 1.45E+20 5.35E+16 5.45E+16 1.60E+17 1.58E+17 2.60E+17 2.53E+17 3.50E+17 3.37E+17 3.83E+17 3.39E+17 3.95E+17 3.40E+17 3.53E+17 3.19E+17 2.99E+17 2.68E+17 2.47E+17 2.11E+17 1.92E+17 1.63E+17 1.38E+17 1.13E+17 9.91E+16 7.42E+16 6.25E+16 4.69E+16 4.03E+16 2.86E+16 2.23E+16 1.58E+16
  90.00  3.146  7.10E+21 1.14E+20 2.86E+21 9.88E+17 1.00E+18 2.95E+18 2.92E+18 4.79E+18 4.68E+18 6.46E+18 6.23E+18 7.14E+18 6.35E+18 7.41E+18 6.44E+18 6.72E+18 6.12E+18 5.79E+18 5.22E+18 4.86E+18 4.19E+18 3.85E+18 3.30E+18 2.84E+18 2.34E+18 2.08E+18 1.59E+18 1.35E+18 1.03E+18 8.96E+17 6.50E+17 5.17E+17 3.73E+17
 100.00  3.317  1.41E+23 1.92E+21 4.92E+22 1.58E+19 1.61E+19 4.74E+19 4.70E+19 7.72E+19 7.57E+19 1.04E+20 1.01E+20 1.16E+20 1.04E+20 1.21E+20 1.06E+20 1.11E+20 1.02E+20 9.74E+19 8.78E+19 8.27E+19 7.18E+19 6.68E+19 5.76E+19 5.01E+19 4.17E+19 3.75E+19 2.89E+19 2.50E+19 1.93E+19 1.70E+19 1.25E+19 1.01E+19 7.41E+18
 110.00  3.479  2.47E+24 2.86E+22 7.50E+23 2.27E+20 2.30E+20 6.79E+20 6.73E+20 1.11E+21 1.09E+21 1.50E+21 1.45E+21 1.68E+21 1.51E+21 1.77E+21 1.55E+21 1.64E+21 1.50E+21 1.45E+21 1.32E+21 1.25E+21 1.09E+21 1.02E+21 8.87E+20 7.79E+20 6.52E+20 5.92E+20 4.62E+20 4.04E+20 3.16E+20 2.80E+20 2.09E+20 1.71E+20 1.27E+20
 120.00  3.633  3.87E+25 3.86E+23 1.03E+25 2.95E+21 2.99E+21 8.83E+21 8.72E+21 1.44E+22 1.41E+22 1.95E+22 1.89E+22 2.19E+22 1.98E+22 2.32E+22 2.05E+22 2.18E+22 2.00E+22 1.94E+22 1.77E+22 1.69E+22 1.48E+22 1.40E+22 1.22E+22 1.09E+22 9.15E+21 8.38E+21 6.61E+21 5.83E+21 4.59E+21 4.11E+21 3.10E+21 2.56E+21 1.93E+21
 130.00  3.782  5.49E+26 4.74E+24 1.28E+26 3.49E+22 3.55E+22 1.05E+23 1.04E+23 1.71E+23 1.67E+23 2.32E+23 2.25E+23 2.62E+23 2.37E+23 2.79E+23 2.47E+23 2.63E+23 2.43E+23 2.37E+23 2.17E+23 2.09E+23 1.84E+23 1.74E+23 1.53E+23 1.37E+23 1.16E+23 1.07E+23 8.50E+22 7.57E+22 6.02E+22 5.44E+22 4.14E+22 3.45E+22 2.63E+22
 140.00  3.924  7.14E+27 5.35E+25 1.47E+27 3.83E+23 3.88E+23 1.15E+24 1.14E+24 1.87E+24 1.84E+24 2.54E+24 2.47E+24 2.89E+24 2.62E+24 3.09E+24 2.75E+24 2.94E+24 2.72E+24 2.66E+24 2.45E+24 2.36E+24 2.09E+24 2.00E+24 1.76E+24 1.58E+24 1.35E+24 1.25E+24 1.01E+24 9.00E+23 7.22E+23 6.53E+23 5.04E+23 4.24E+23 3.27E+23
 150.00  4.062  8.59E+28 5.63E+26 1.56E+28 3.90E+24 3.97E+24 1.17E+25 1.16E+25 1.91E+25 1.88E+25 2.60E+25 2.53E+25 2.96E+25 2.70E+25 3.18E+25 2.84E+25 3.04E+25 2.83E+25 2.79E+25 2.56E+25 2.49E+25 2.21E+25 2.12E+25 1.88E+25 1.70E+25 1.46E+25 1.36E+25 1.10E+25 9.87E+24 7.99E+24 7.28E+24 5.66E+24 4.79E+24 3.73E+24
 160.00  4.195  9.62E+29 5.56E+27 1.56E+29 3.72E+25 3.79E+25 1.12E+26 1.11E+26 1.83E+26 1.80E+26 2.49E+26 2.42E+26 2.84E+26 2.60E+26 3.07E+26 2.75E+26 2.95E+26 2.75E+26 2.72E+26 2.51E+26 2.45E+26 2.18E+26 2.10E+26 1.87E+26 1.70E+26 1.47E+26 1.37E+26 1.12E+26 1.01E+26 8.22E+25 7.52E+25 5.89E+25 5.02E+25 3.95E+25
 170.00  4.324  1.01E+31 5.15E+28 1.45E+30 3.35E+26 3.41E+26 1.01E+27 9.99E+26 1.65E+27 1.62E+27 2.24E+27 2.18E+27 2.57E+27 2.36E+27 2.78E+27 2.50E+27 2.70E+27 2.51E+27 2.50E+27 2.31E+27 2.26E+27 2.02E+27 1.96E+27 1.75E+27 1.60E+27 1.39E+27 1.30E+27 1.06E+27 9.67E+26 7.92E+26 7.27E+26 5.75E+26 4.95E+26 3.91E+26
