# Reference Number = 2408 Incident Particle: neutron  imodel=1 Target: Z= 90 A= 232 Ef = -5.612
# En(MeV)     RealPot   RVolPot   RSurPot    VSOPot   DVolPot    DVolNonL  DVolSym    ImPot    ImVolPot   ImSurPot   WSOPot
  7.800     404.7     383.9      20.8    -4.104    20.044     1.912    18.132    45.041     3.005    42.037     0.016
  8.000     403.9     383.4      20.5    -4.097    20.329     1.941    18.388    45.545     3.092    42.453     0.017
  8.200     403.1     382.9      20.1    -4.090    20.613     1.970    18.643    46.038     3.181    42.857     0.017
  8.400     402.3     382.5      19.8    -4.083    20.896     1.999    18.897    46.519     3.271    43.248     0.018
  8.600     401.5     382.0      19.4    -4.075    21.178     2.028    19.151    46.990     3.363    43.627     0.019
  8.800     400.6     381.5      19.1    -4.068    21.460     2.056    19.404    47.449     3.455    43.994     0.019
  9.000     399.8     381.1      18.7    -4.061    21.741     2.085    19.656    47.898     3.549    44.349     0.020
  9.200     399.0     380.6      18.4    -4.054    22.022     2.114    19.908    48.336     3.643    44.693     0.020
  9.400     398.2     380.2      18.0    -4.047    22.302     2.143    20.159    48.765     3.739    45.026     0.021
  9.600     397.4     379.7      17.7    -4.040    22.581     2.172    20.409    49.183     3.836    45.347     0.021
  9.800     396.6     379.2      17.3    -4.033    22.860     2.201    20.659    49.592     3.934    45.658     0.022
 10.000     395.8     378.8      17.0    -4.025    23.137     2.230    20.908    49.991     4.033    45.958     0.022
 10.500     393.7     377.6      16.1    -4.008    23.829     2.302    21.527    50.949     4.285    46.663     0.024
 11.000     391.7     376.5      15.2    -3.990    24.516     2.374    22.142    51.852     4.544    47.308     0.025
 11.500     389.6     375.3      14.3    -3.972    25.199     2.446    22.752    52.705     4.810    47.895     0.027
 12.000     387.6     374.2      13.4    -3.954    25.877     2.519    23.358    53.510     5.083    48.427     0.028
 12.500     385.6     373.1      12.5    -3.937    26.550     2.591    23.959    54.270     5.361    48.908     0.030
 13.000     383.6     372.0      11.6    -3.919    27.218     2.664    24.554    54.988     5.646    49.342     0.032
 13.500     381.6     370.8      10.8    -3.902    27.881     2.736    25.145    55.667     5.938    49.730     0.033
 14.000     379.7     369.7       9.9    -3.884    28.540     2.809    25.731    56.311     6.235    50.076     0.035
 14.500     377.7     368.6       9.1    -3.867    29.193     2.881    26.312    56.920     6.538    50.382     0.037
 15.000     375.8     367.5       8.3    -3.849    29.841     2.954    26.887    57.499     6.847    50.652     0.039
 15.500     373.8     366.4       7.4    -3.832    30.484     3.027    27.457    58.048     7.162    50.887     0.040
 16.000     371.9     365.3       6.6    -3.815    31.121     3.099    28.022    58.571     7.482    51.089     0.042
 16.500     370.1     364.2       5.9    -3.797    31.753     3.172    28.581    59.069     7.808    51.260     0.044
 17.000     368.2     363.1       5.1    -3.780    32.380     3.245    29.135    59.543     8.139    51.404     0.046
 17.500     366.3     362.0       4.3    -3.763    33.001     3.318    29.683    59.996     8.476    51.520     0.048
 18.000     364.5     360.9       3.6    -3.746    33.617     3.391    30.226    60.430     8.818    51.612     0.050
 18.500     362.7     359.9       2.8    -3.729    34.226     3.464    30.762    60.845     9.164    51.681     0.053
 19.000     360.9     358.8       2.1    -3.711    34.830     3.537    31.293    61.243     9.516    51.728     0.055
 19.500     359.1     357.7       1.4    -3.694    35.429     3.610    31.819    61.626     9.872    51.754     0.057
 20.000     357.4     356.6       0.8    -3.677    36.021     3.683    32.338    61.994    10.233    51.761     0.059
 20.500     355.6     355.6       0.1    -3.661    36.608     3.757    32.851    62.349    10.598    51.751     0.061
 21.000     353.9     354.5      -0.6    -3.644    37.189     3.830    33.359    62.692    10.968    51.724     0.064
 21.500     352.2     353.4      -1.2    -3.627    37.763     3.903    33.860    63.024    11.342    51.682     0.066
 22.000     350.5     352.4      -1.8    -3.610    38.332     3.977    34.356    63.345    11.720    51.624     0.068
 22.500     348.9     351.3      -2.4    -3.593    38.895     4.050    34.845    63.656    12.102    51.554     0.071
 23.000     347.2     350.2      -3.0    -3.577    39.452     4.123    35.328    63.959    12.489    51.471     0.073
 23.500     345.6     349.2      -3.6    -3.560    40.002     4.197    35.805    64.254    12.878    51.376     0.076
 24.000     343.9     348.1      -4.2    -3.543    40.547     4.271    36.276    64.541    13.272    51.269     0.078
 24.500     342.3     347.1      -4.7    -3.527    41.085     4.344    36.741    64.822    13.669    51.153     0.081
 25.000     340.7     346.0      -5.3    -3.510    41.618     4.418    37.200    65.096    14.069    51.027     0.083
 25.500     339.2     345.0      -5.8    -3.494    42.144     4.492    37.652    65.364    14.473    50.891     0.086
 26.000     337.6     343.9      -6.3    -3.477    42.664     4.565    38.098    65.628    14.880    50.748     0.089
 26.500     336.0     342.9      -6.8    -3.461    43.178     4.639    38.538    65.886    15.290    50.596     0.092
 27.000     334.5     341.8      -7.3    -3.445    43.685     4.713    38.972    66.140    15.703    50.438     0.094
 27.500     333.0     340.8      -7.8    -3.428    44.187     4.787    39.400    66.390    16.118    50.272     0.097
 28.000     331.5     339.8      -8.3    -3.412    44.682     4.861    39.821    66.637    16.537    50.100     0.100
 28.500     330.0     338.7      -8.8    -3.396    45.171     4.935    40.236    66.880    16.957    49.922     0.103
 29.000     328.5     337.7      -9.2    -3.380    45.654     5.009    40.645    67.119    17.381    49.739     0.106
 29.500     327.0     336.7      -9.6    -3.364    46.130     5.083    41.047    67.357    17.806    49.550     0.109
 30.000     325.5     335.6     -10.1    -3.348    46.601     5.157    41.443    67.591    18.234    49.357     0.112
 31.000     322.7     333.6     -10.9    -3.316    47.523     5.306    42.217    68.054    19.096    48.957     0.118
 32.000     319.8     331.5     -11.7    -3.284    48.421     5.455    42.966    68.508    19.966    48.542     0.124
