## header:
##   title: Th232(n,x) nuclear model parameters
##   source: TALYS-2.2
##   user: Arjan Koning
##   date: 2025-12-18
##   format: YANDF-0.4
## target:
##   Z: 90
##   A: 232
##   nuclide: Th232 
## residual:
##   Z: 90
##   A: 233
##   nuclide: Th233 
## parameters: 
##   level density
a                90 233  16.70415
aadjust          90 233   1.00000
gammald          90 233   0.07697
pair             90 233   0.78615
upbendeadjust    88 229 1.00000E+00 M2
upbendfadjust    88 229 1.00000E+00 M2
sgr              88 229   0.002 M2
egr              88 229   7.277 M2
ggr              88 229   4.000 M2
sgradjust        88 229   1.000 M2
egradjust        88 229   1.000 M2
ggradjust        88 229   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       88 229   1.00000
vfiscor          88 229   1.00000
rmiufiscor       88 229   1.00000
betafiscoradjust   88 229   1.00000
vfiscoradjust    88 229   1.00000
rmiufiscoradjust   88 229   1.00000
bdamp            88 229   0.01000  1
bdampadjust      88 229   1.00000  1
class2width      88 229   0.20000  1
Rtransmom        88 229   0.60000  1
Rclass2mom       88 229   1.00000  1
bdamp            88 229   0.01000  2
bdampadjust      88 229   1.00000  2
class2width      88 229   0.20000  2
Rtransmom        88 229   1.00000  2
Rclass2mom       88 229   1.00000  2
bdamp            88 229   0.01000  3
bdampadjust      88 229   1.00000  3
Rtransmom        88 229   1.00000  3
Rclass2mom       88 229   1.00000  3
## residual:
##   Z: 90
##   A: 231
##   nuclide: Th231 
## parameters: 
##   level density
a                90 231  16.35438
aadjust          90 231   1.00000
gammald          90 231   0.07719
pair             90 231   0.78954
Pshift           90 231   0.00000   0
Pshiftadjust     90 231   0.00000   0
deltaW           90 231   3.31792   0
Ntop             90 231  22   0
Nlow             90 231   4   0
s2adjust         90 231   1.00000   0
ctable           90 231   0.38205   0
ptable           90 231  -0.00560   0
ctableadjust     90 231   0.00000   0
ptableadjust     90 231   0.00000   0
Ufermi           90 231  30.00000   0
cfermi           90 231   5.00000   0
Krotconstant     90 231   1.00000   0
Pshift           90 231   0.00000   1
Pshiftadjust     90 231   0.00000   1
deltaW           90 231   1.50000   1
Ntop             90 231   1   1
Nlow             90 231   0   1
s2adjust         90 231   1.00000   1
ctable           90 231  -0.91530   1
ptable           90 231   1.25861   1
ctableadjust     90 231   0.00000   1
ptableadjust     90 231   0.00000   1
Ufermi           90 231  45.00000   1
cfermi           90 231   5.00000   1
Krotconstant     90 231   1.00000   1
Pshift           90 231   0.00000   2
Pshiftadjust     90 231   0.00000   2
deltaW           90 231   0.60000   2
Ntop             90 231   1   2
Nlow             90 231   0   2
s2adjust         90 231   1.00000   2
ctable           90 231  -1.10523   2
ptable           90 231  -0.00148   2
ctableadjust     90 231   0.00000   2
ptableadjust     90 231   0.00000   2
Ufermi           90 231  45.00000   2
cfermi           90 231   5.00000   2
Krotconstant     90 231   1.00000   2
D0               90 231 9.60000E+00
g                90 231  15.40000
gp               90 231   6.00000
gn               90 231   9.40000
gnadjust         90 231   1.00000
gpadjust         90 231   1.00000
gadjust          90 231   1.00000
Risomer          90 231   1.00000
## parameters: 
##   photon strength function
gamgam           90 231   0.00003
gamgamadjust     90 231   1.00000
etable           90 231   0.00000 E1
ftable           90 231   1.00000 E1
wtable           90 231   1.00000 E1
etableadjust     90 231   0.00000 E1
ftableadjust     90 231   1.00000 E1
wtableadjust     90 231   1.00000 E1
upbendc          90 231 3.50000E-08 M1
upbende          90 231 8.00000E-01 M1
upbendf          90 231 6.00000E+00 M1
upbendcadjust    90 231 1.00000E+00 M1
upbendeadjust    90 231 1.00000E+00 M1
upbendfadjust    90 231 1.00000E+00 M1
sgr              90 231   2.798 M1
egr              90 231   7.267 M1
ggr              90 231   4.000 M1
sgradjust        90 231   1.000 M1
egradjust        90 231   1.000 M1
ggradjust        90 231   1.000 M1
etable           90 231   0.00000 E2
ftable           90 231   1.00000 E2
wtable           90 231   1.00000 E2
etableadjust     90 231   0.00000 E2
ftableadjust     90 231   1.00000 E2
wtableadjust     90 231   1.00000 E2
upbendc          90 231 0.00000E+00 M2
upbende          90 231 0.00000E+00 M2
upbendf          90 231 0.00000E+00 M2
upbendcadjust    90 231 1.00000E+00 M2
upbendeadjust    90 231 1.00000E+00 M2
upbendfadjust    90 231 1.00000E+00 M2
sgr              90 231   0.002 M2
egr              90 231   7.267 M2
ggr              90 231   4.000 M2
sgradjust        90 231   1.000 M2
egradjust        90 231   1.000 M2
ggradjust        90 231   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 231   1.00000
vfiscor          90 231   0.94675
rmiufiscor       90 231   1.59198
betafiscoradjust   90 231   1.00000
vfiscoradjust    90 231   1.00000
rmiufiscoradjust   90 231   1.00000
bdamp            90 231   0.01000  1
bdampadjust      90 231   1.00000  1
class2width      90 231   0.20000  1
Rtransmom        90 231   0.60000  1
Rclass2mom       90 231   1.00000  1
bdamp            90 231   0.01000  2
bdampadjust      90 231   1.00000  2
Rtransmom        90 231   1.00000  2
Rclass2mom       90 231   1.00000  2
## residual:
##   Z: 89
##   A: 229
##   nuclide: Ac229 
## parameters: 
##   level density
a                89 229  16.57268
aadjust          89 229   1.00000
gammald          89 229   0.07741
pair             89 229   0.79298
Pshift           89 229   0.00000   0
Pshiftadjust     89 229   0.00000   0
deltaW           89 229   3.84308   0
Ntop             89 229  21   0
Nlow             89 229   7   0
s2adjust         89 229   1.00000   0
ctable           89 229   0.09111   0
ptable           89 229   0.16572   0
ctableadjust     89 229   0.00000   0
ptableadjust     89 229   0.00000   0
Ufermi           89 229  30.00000   0
cfermi           89 229   5.00000   0
Krotconstant     89 229   1.00000   0
Pshift           89 229   0.00000   1
Pshiftadjust     89 229   0.00000   1
deltaW           89 229   1.50000   1
Ntop             89 229   1   1
Nlow             89 229   0   1
s2adjust         89 229   1.00000   1
ctable           89 229   0.00000   1
ptable           89 229   0.00000   1
ctableadjust     89 229   0.00000   1
ptableadjust     89 229   0.00000   1
Ufermi           89 229  45.00000   1
cfermi           89 229   5.00000   1
Krotconstant     89 229   1.00000   1
Pshift           89 229   0.00000   2
Pshiftadjust     89 229   0.00000   2
deltaW           89 229   0.60000   2
Ntop             89 229   1   2
Nlow             89 229   0   2
s2adjust         89 229   1.00000   2
ctable           89 229   0.00000   2
ptable           89 229   0.00000   2
ctableadjust     89 229   0.00000   2
ptableadjust     89 229   0.00000   2
Ufermi           89 229  45.00000   2
cfermi           89 229   5.00000   2
Krotconstant     89 229   1.00000   2
Pshift           89 229   0.00000   3
Pshiftadjust     89 229   0.00000   3
deltaW           89 229   0.60000   3
Ntop             89 229   1   3
Nlow             89 229   0   3
s2adjust         89 229   1.00000   3
ctable           89 229   0.00000   3
ptable           89 229   0.00000   3
ctableadjust     89 229   0.00000   3
ptableadjust     89 229   0.00000   3
Ufermi           89 229  45.00000   3
cfermi           89 229   5.00000   3
Krotconstant     89 229   1.00000   3
g                89 229  15.26667
gp               89 229   5.93333
gn               89 229   9.33333
gnadjust         89 229   1.00000
gpadjust         89 229   1.00000
gadjust          89 229   1.00000
Risomer          89 229   1.00000
## parameters: 
##   photon strength function
gamgam           89 229   0.00000
gamgamadjust     89 229   1.00000
etable           89 229   0.00000 E1
ftable           89 229   1.00000 E1
wtable           89 229   1.00000 E1
etableadjust     89 229   0.00000 E1
ftableadjust     89 229   1.00000 E1
wtableadjust     89 229   1.00000 E1
upbendc          89 229 3.50000E-08 M1
upbende          89 229 8.00000E-01 M1
upbendf          89 229 6.00000E+00 M1
upbendcadjust    89 229 1.00000E+00 M1
upbendeadjust    89 229 1.00000E+00 M1
upbendfadjust    89 229 1.00000E+00 M1
sgr              89 229   2.777 M1
egr              89 229   7.277 M1
ggr              89 229   4.000 M1
sgradjust        89 229   1.000 M1
egradjust        89 229   1.000 M1
ggradjust        89 229   1.000 M1
etable           89 229   0.00000 E2
ftable           89 229   1.00000 E2
wtable           89 229   1.00000 E2
etableadjust     89 229   0.00000 E2
ftableadjust     89 229   1.00000 E2
wtableadjust     89 229   1.00000 E2
upbendc          89 229 0.00000E+00 M2
upbende          89 229 0.00000E+00 M2
upbendf          89 229 0.00000E+00 M2
upbendcadjust    89 229 1.00000E+00 M2
upbendeadjust    89 229 1.00000E+00 M2
upbendfadjust    89 229 1.00000E+00 M2
sgr              89 229   0.002 M2
egr              89 229   7.277 M2
ggr              89 229   4.000 M2
sgradjust        89 229   1.000 M2
egradjust        89 229   1.000 M2
ggradjust        89 229   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       89 229   1.00000
vfiscor          89 229   1.00000
rmiufiscor       89 229   1.00000
betafiscoradjust   89 229   1.00000
vfiscoradjust    89 229   1.00000
rmiufiscoradjust   89 229   1.00000
bdamp            89 229   0.01000  1
bdampadjust      89 229   1.00000  1
class2width      89 229   0.20000  1
Rtransmom        89 229   0.60000  1
Rclass2mom       89 229   1.00000  1
bdamp            89 229   0.01000  2
bdampadjust      89 229   1.00000  2
class2width      89 229   0.20000  2
Rtransmom        89 229   1.00000  2
Rclass2mom       89 229   1.00000  2
bdamp            89 229   0.01000  3
bdampadjust      89 229   1.00000  3
Rtransmom        89 229   1.00000  3
Rclass2mom       89 229   1.00000  3
## residual:
##   Z: 88
##   A: 228
##   nuclide: Ra228 
## parameters: 
##   level density
a                88 228  16.62709
aadjust          88 228   1.00000
gammald          88 228   0.07753
pair             88 228   1.58944
Pshift           88 228   0.00000   0
Pshiftadjust     88 228   0.00000   0
deltaW           88 228   3.86276   0
Ntop             88 228  22   0
Nlow             88 228   6   0
s2adjust         88 228   1.00000   0
ctable           88 228   0.38624   0
ptable           88 228   0.56639   0
ctableadjust     88 228   0.00000   0
ptableadjust     88 228   0.00000   0
Ufermi           88 228  30.00000   0
cfermi           88 228   5.00000   0
Krotconstant     88 228   1.00000   0
Pshift           88 228   0.00000   1
Pshiftadjust     88 228   0.00000   1
deltaW           88 228   1.50000   1
Ntop             88 228   1   1
Nlow             88 228   0   1
s2adjust         88 228   1.00000   1
ctable           88 228   0.00000   1
ptable           88 228   0.00000   1
ctableadjust     88 228   0.00000   1
ptableadjust     88 228   0.00000   1
Ufermi           88 228  45.00000   1
cfermi           88 228   5.00000   1
Krotconstant     88 228   1.00000   1
Pshift           88 228   0.00000   2
Pshiftadjust     88 228   0.00000   2
deltaW           88 228   0.60000   2
Ntop             88 228   1   2
Nlow             88 228   0   2
s2adjust         88 228   1.00000   2
ctable           88 228   0.00000   2
ptable           88 228   0.00000   2
ctableadjust     88 228   0.00000   2
ptableadjust     88 228   0.00000   2
Ufermi           88 228  45.00000   2
cfermi           88 228   5.00000   2
Krotconstant     88 228   1.00000   2
Pshift           88 228   0.00000   3
Pshiftadjust     88 228   0.00000   3
deltaW           88 228   0.60000   3
Ntop             88 228   1   3
Nlow             88 228   0   3
s2adjust         88 228   1.00000   3
ctable           88 228   0.00000   3
ptable           88 228   0.00000   3
ctableadjust     88 228   0.00000   3
ptableadjust     88 228   0.00000   3
Ufermi           88 228  45.00000   3
cfermi           88 228   5.00000   3
Krotconstant     88 228   1.00000   3
g                88 228  15.20000
gp               88 228   5.86667
gn               88 228   9.33333
gnadjust         88 228   1.00000
gpadjust         88 228   1.00000
gadjust          88 228   1.00000
Risomer          88 228   1.00000
## parameters: 
##   photon strength function
gamgam           88 228   0.00000
gamgamadjust     88 228   1.00000
etable           88 228   0.00000 E1
ftable           88 228   1.00000 E1
wtable           88 228   1.00000 E1
etableadjust     88 228   0.00000 E1
ftableadjust     88 228   1.00000 E1
wtableadjust     88 228   1.00000 E1
upbendc          88 228 3.50000E-08 M1
upbende          88 228 8.00000E-01 M1
upbendf          88 228 6.00000E+00 M1
upbendcadjust    88 228 1.00000E+00 M1
upbendeadjust    88 228 1.00000E+00 M1
upbendfadjust    88 228 1.00000E+00 M1
sgr              88 228   2.767 M1
egr              88 228   7.283 M1
ggr              88 228   4.000 M1
sgradjust        88 228   1.000 M1
egradjust        88 228   1.000 M1
ggradjust        88 228   1.000 M1
etable           88 228   0.00000 E2
ftable           88 228   1.00000 E2
wtable           88 228   1.00000 E2
etableadjust     88 228   0.00000 E2
ftableadjust     88 228   1.00000 E2
wtableadjust     88 228   1.00000 E2
upbendc          88 228 0.00000E+00 M2
upbende          88 228 0.00000E+00 M2
upbendf          88 228 0.00000E+00 M2
upbendcadjust    88 228 1.00000E+00 M2
upbendeadjust    88 228 1.00000E+00 M2
upbendfadjust    88 228 1.00000E+00 M2
sgr              88 228   0.002 M2
egr              88 228   7.283 M2
ggr              88 228   4.000 M2
sgradjust        88 228   1.000 M2
egradjust        88 228   1.000 M2
ggradjust        88 228   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       88 228   1.00000
vfiscor          88 228   1.00000
rmiufiscor       88 228   1.00000
betafiscoradjust   88 228   1.00000
vfiscoradjust    88 228   1.00000
rmiufiscoradjust   88 228   1.00000
bdamp            88 228   0.01000  1
bdampadjust      88 228   1.00000  1
class2width      88 228   0.20000  1
Rtransmom        88 228   0.60000  1
Rclass2mom       88 228   1.00000  1
bdamp            88 228   0.01000  2
bdampadjust      88 228   1.00000  2
class2width      88 228   0.20000  2
Rtransmom        88 228   1.00000  2
Rclass2mom       88 228   1.00000  2
bdamp            88 228   0.01000  3
bdampadjust      88 228   1.00000  3
Rtransmom        88 228   1.00000  3
Rclass2mom       88 228   1.00000  3
## residual:
##   Z: 90
##   A: 230
##   nuclide: Th230 
## parameters: 
##   level density
a                90 230  16.14256
aadjust          90 230   1.00000
gammald          90 230   0.07730
pair             90 230   1.58251
Pshift           90 230   0.00000   0
Pshiftadjust     90 230   0.00000   0
deltaW           90 230   3.23841   0
Ntop             90 230  22   0
Nlow             90 230   6   0
s2adjust         90 230   1.00000   0
ctable           90 230   0.13688   0
ptable           90 230   0.49139   0
ctableadjust     90 230   0.00000   0
ptableadjust     90 230   0.00000   0
Ufermi           90 230  30.00000   0
cfermi           90 230   5.00000   0
Krotconstant     90 230   1.00000   0
Pshift           90 230   0.00000   1
Pshiftadjust     90 230   0.00000   1
deltaW           90 230   1.50000   1
Ntop             90 230   1   1
Nlow             90 230   0   1
s2adjust         90 230   1.00000   1
ctable           90 230   0.00000   1
ptable           90 230   0.00000   1
ctableadjust     90 230   0.00000   1
ptableadjust     90 230   0.00000   1
Ufermi           90 230  45.00000   1
cfermi           90 230   5.00000   1
Krotconstant     90 230   1.00000   1
Pshift           90 230   0.00000   2
Pshiftadjust     90 230   0.00000   2
deltaW           90 230   0.60000   2
Ntop             90 230   1   2
Nlow             90 230   0   2
s2adjust         90 230   1.00000   2
ctable           90 230   0.00000   2
ptable           90 230   0.00000   2
ctableadjust     90 230   0.00000   2
ptableadjust     90 230   0.00000   2
Ufermi           90 230  45.00000   2
cfermi           90 230   5.00000   2
Krotconstant     90 230   1.00000   2
Pshift           90 230   0.00000   3
Pshiftadjust     90 230   0.00000   3
deltaW           90 230   0.60000   3
Ntop             90 230   1   3
Nlow             90 230   0   3
s2adjust         90 230   1.00000   3
ctable           90 230   0.00000   3
ptable           90 230   0.00000   3
ctableadjust     90 230   0.00000   3
ptableadjust     90 230   0.00000   3
Ufermi           90 230  45.00000   3
cfermi           90 230   5.00000   3
Krotconstant     90 230   1.00000   3
D0               90 230 6.20000E-01
g                90 230  15.33333
gp               90 230   6.00000
gn               90 230   9.33333
gnadjust         90 230   1.00000
gpadjust         90 230   1.00000
gadjust          90 230   1.00000
Risomer          90 230   1.00000
## parameters: 
##   photon strength function
gamgam           90 230   0.00004
gamgamadjust     90 230   1.00000
etable           90 230   0.00000 E1
ftable           90 230   1.00000 E1
wtable           90 230   1.00000 E1
etableadjust     90 230   0.00000 E1
ftableadjust     90 230   1.00000 E1
wtableadjust     90 230   1.00000 E1
upbendc          90 230 3.50000E-08 M1
upbende          90 230 8.00000E-01 M1
upbendf          90 230 6.00000E+00 M1
upbendcadjust    90 230 1.00000E+00 M1
upbendeadjust    90 230 1.00000E+00 M1
upbendfadjust    90 230 1.00000E+00 M1
sgr              90 230   2.788 M1
egr              90 230   7.272 M1
ggr              90 230   4.000 M1
sgradjust        90 230   1.000 M1
egradjust        90 230   1.000 M1
ggradjust        90 230   1.000 M1
etable           90 230   0.00000 E2
ftable           90 230   1.00000 E2
wtable           90 230   1.00000 E2
etableadjust     90 230   0.00000 E2
ftableadjust     90 230   1.00000 E2
wtableadjust     90 230   1.00000 E2
upbendc          90 230 0.00000E+00 M2
upbende          90 230 0.00000E+00 M2
upbendf          90 230 0.00000E+00 M2
upbendcadjust    90 230 1.00000E+00 M2
upbendeadjust    90 230 1.00000E+00 M2
upbendfadjust    90 230 1.00000E+00 M2
sgr              90 230   0.002 M2
egr              90 230   7.272 M2
ggr              90 230   4.000 M2
sgradjust        90 230   1.000 M2
egradjust        90 230   1.000 M2
ggradjust        90 230   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       90 230   1.00000
vfiscor          90 230   1.00000
rmiufiscor       90 230   1.00000
betafiscoradjust   90 230   1.00000
vfiscoradjust    90 230   1.00000
rmiufiscoradjust   90 230   1.00000
bdamp            90 230   0.01000  1
bdampadjust      90 230   1.00000  1
class2width      90 230   0.20000  1
Rtransmom        90 230   0.60000  1
Rclass2mom       90 230   1.00000  1
bdamp            90 230   0.01000  2
bdampadjust      90 230   1.00000  2
class2width      90 230   0.20000  2
Rtransmom        90 230   1.00000  2
Rclass2mom       90 230   1.00000  2
bdamp            90 230   0.01000  3
bdampadjust      90 230   1.00000  3
Rtransmom        90 230   1.00000  3
Rclass2mom       90 230   1.00000  3
## residual:
##   Z: 89
##   A: 228
##   nuclide: Ac228 
## parameters: 
##   level density
a                89 228  16.32439
aadjust          89 228   1.00000
gammald          89 228   0.07753
pair             89 228   0.00000
Pshift           89 228   0.00000   0
Pshiftadjust     89 228   0.00000   0
deltaW           89 228   3.55143   0
Ntop             89 228  30   0
Nlow             89 228   2   0
s2adjust         89 228   1.00000   0
ctable           89 228   0.00000   0
ptable           89 228   0.00000   0
ctableadjust     89 228   0.00000   0
ptableadjust     89 228   0.00000   0
Ufermi           89 228  30.00000   0
cfermi           89 228   5.00000   0
Krotconstant     89 228   1.00000   0
Pshift           89 228   0.00000   1
Pshiftadjust     89 228   0.00000   1
deltaW           89 228   1.50000   1
Ntop             89 228   1   1
Nlow             89 228   0   1
s2adjust         89 228   1.00000   1
ctable           89 228   0.00000   1
ptable           89 228   0.00000   1
ctableadjust     89 228   0.00000   1
ptableadjust     89 228   0.00000   1
Ufermi           89 228  45.00000   1
cfermi           89 228   5.00000   1
Krotconstant     89 228   1.00000   1
Pshift           89 228   0.00000   2
Pshiftadjust     89 228   0.00000   2
deltaW           89 228   0.60000   2
Ntop             89 228   1   2
Nlow             89 228   0   2
s2adjust         89 228   1.00000   2
ctable           89 228   0.00000   2
ptable           89 228   0.00000   2
ctableadjust     89 228   0.00000   2
ptableadjust     89 228   0.00000   2
Ufermi           89 228  45.00000   2
cfermi           89 228   5.00000   2
Krotconstant     89 228   1.00000   2
Pshift           89 228   0.00000   3
Pshiftadjust     89 228   0.00000   3
deltaW           89 228   0.60000   3
Ntop             89 228   1   3
Nlow             89 228   0   3
s2adjust         89 228   1.00000   3
ctable           89 228   0.00000   3
ptable           89 228   0.00000   3
ctableadjust     89 228   0.00000   3
ptableadjust     89 228   0.00000   3
Ufermi           89 228  45.00000   3
cfermi           89 228   5.00000   3
Krotconstant     89 228   1.00000   3
g                89 228  15.20000
gp               89 228   5.93333
gn               89 228   9.26667
gnadjust         89 228   1.00000
gpadjust         89 228   1.00000
gadjust          89 228   1.00000
Risomer          89 228   1.00000
## parameters: 
##   photon strength function
gamgam           89 228   0.00000
gamgamadjust     89 228   1.00000
etable           89 228   0.00000 E1
ftable           89 228   1.00000 E1
wtable           89 228   1.00000 E1
etableadjust     89 228   0.00000 E1
ftableadjust     89 228   1.00000 E1
wtableadjust     89 228   1.00000 E1
upbendc          89 228 3.50000E-08 M1
upbende          89 228 8.00000E-01 M1
upbendf          89 228 6.00000E+00 M1
upbendcadjust    89 228 1.00000E+00 M1
upbendeadjust    89 228 1.00000E+00 M1
upbendfadjust    89 228 1.00000E+00 M1
sgr              89 228   2.767 M1
egr              89 228   7.283 M1
ggr              89 228   4.000 M1
sgradjust        89 228   1.000 M1
egradjust        89 228   1.000 M1
ggradjust        89 228   1.000 M1
etable           89 228   0.00000 E2
ftable           89 228   1.00000 E2
wtable           89 228   1.00000 E2
etableadjust     89 228   0.00000 E2
ftableadjust     89 228   1.00000 E2
wtableadjust     89 228   1.00000 E2
upbendc          89 228 0.00000E+00 M2
upbende          89 228 0.00000E+00 M2
upbendf          89 228 0.00000E+00 M2
upbendcadjust    89 228 1.00000E+00 M2
upbendeadjust    89 228 1.00000E+00 M2
upbendfadjust    89 228 1.00000E+00 M2
sgr              89 228   0.002 M2
egr              89 228   7.283 M2
ggr              89 228   4.000 M2
sgradjust        89 228   1.000 M2
egradjust        89 228   1.000 M2
ggradjust        89 228   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       89 228   1.00000
vfiscor          89 228   1.00000
rmiufiscor       89 228   1.00000
betafiscoradjust   89 228   1.00000
vfiscoradjust    89 228   1.00000
rmiufiscoradjust   89 228   1.00000
bdamp            89 228   0.01000  1
bdampadjust      89 228   1.00000  1
class2width      89 228   0.20000  1
Rtransmom        89 228   0.60000  1
Rclass2mom       89 228   1.00000  1
bdamp            89 228   0.01000  2
bdampadjust      89 228   1.00000  2
class2width      89 228   0.20000  2
Rtransmom        89 228   1.00000  2
Rclass2mom       89 228   1.00000  2
bdamp            89 228   0.01000  3
bdampadjust      89 228   1.00000  3
Rtransmom        89 228   1.00000  3
Rclass2mom       89 228   1.00000  3
## residual:
##   Z: 88
##   A: 227
##   nuclide: Ra227 
## parameters: 
##   level density
a                88 227  16.65030
aadjust          88 227   1.00000
gammald          88 227   0.07764
pair             88 227   0.79647
Pshift           88 227   0.00000   0
Pshiftadjust     88 227   0.00000   0
deltaW           88 227   3.81558   0
Ntop             88 227  22   0
Nlow             88 227   7   0
s2adjust         88 227   1.00000   0
ctable           88 227   0.72527   0
ptable           88 227   0.06260   0
ctableadjust     88 227   0.00000   0
ptableadjust     88 227   0.00000   0
Ufermi           88 227  30.00000   0
cfermi           88 227   5.00000   0
Krotconstant     88 227   1.00000   0
Pshift           88 227   0.00000   1
Pshiftadjust     88 227   0.00000   1
deltaW           88 227   1.50000   1
Ntop             88 227   1   1
Nlow             88 227   0   1
s2adjust         88 227   1.00000   1
ctable           88 227   0.00000   1
ptable           88 227   0.00000   1
ctableadjust     88 227   0.00000   1
ptableadjust     88 227   0.00000   1
Ufermi           88 227  45.00000   1
cfermi           88 227   5.00000   1
Krotconstant     88 227   1.00000   1
Pshift           88 227   0.00000   2
Pshiftadjust     88 227   0.00000   2
deltaW           88 227   0.60000   2
Ntop             88 227   1   2
Nlow             88 227   0   2
s2adjust         88 227   1.00000   2
ctable           88 227   0.00000   2
ptable           88 227   0.00000   2
ctableadjust     88 227   0.00000   2
ptableadjust     88 227   0.00000   2
Ufermi           88 227  45.00000   2
cfermi           88 227   5.00000   2
Krotconstant     88 227   1.00000   2
D0               88 227 3.10000E+01
g                88 227  15.13333
gp               88 227   5.86667
gn               88 227   9.26667
gnadjust         88 227   1.00000
gpadjust         88 227   1.00000
gadjust          88 227   1.00000
Risomer          88 227   1.00000
## parameters: 
##   photon strength function
gamgam           88 227   0.00003
gamgamadjust     88 227   1.00000
etable           88 227   0.00000 E1
ftable           88 227   1.00000 E1
wtable           88 227   1.00000 E1
etableadjust     88 227   0.00000 E1
ftableadjust     88 227   1.00000 E1
wtableadjust     88 227   1.00000 E1
upbendc          88 227 3.50000E-08 M1
upbende          88 227 8.00000E-01 M1
upbendf          88 227 6.00000E+00 M1
upbendcadjust    88 227 1.00000E+00 M1
upbendeadjust    88 227 1.00000E+00 M1
upbendfadjust    88 227 1.00000E+00 M1
sgr              88 227   2.757 M1
egr              88 227   7.288 M1
ggr              88 227   4.000 M1
sgradjust        88 227   1.000 M1
egradjust        88 227   1.000 M1
ggradjust        88 227   1.000 M1
etable           88 227   0.00000 E2
ftable           88 227   1.00000 E2
wtable           88 227   1.00000 E2
etableadjust     88 227   0.00000 E2
ftableadjust     88 227   1.00000 E2
wtableadjust     88 227   1.00000 E2
upbendc          88 227 0.00000E+00 M2
upbende          88 227 0.00000E+00 M2
upbendf          88 227 0.00000E+00 M2
upbendcadjust    88 227 1.00000E+00 M2
upbendeadjust    88 227 1.00000E+00 M2
upbendfadjust    88 227 1.00000E+00 M2
sgr              88 227   0.002 M2
egr              88 227   7.288 M2
ggr              88 227   4.000 M2
sgradjust        88 227   1.000 M2
egradjust        88 227   1.000 M2
ggradjust        88 227   1.000 M2
##
## parameters: 
##   fission
##
betafiscor       88 227   1.00000
vfiscor          88 227   1.00000
rmiufiscor       88 227   1.00000
betafiscoradjust   88 227   1.00000
vfiscoradjust    88 227   1.00000
rmiufiscoradjust   88 227   1.00000
bdamp            88 227   0.01000  1
bdampadjust      88 227   1.00000  1
class2width      88 227   0.20000  1
Rtransmom        88 227   0.60000  1
Rclass2mom       88 227   1.00000  1
bdamp            88 227   0.01000  2
bdampadjust      88 227   1.00000  2
Rtransmom        88 227   1.00000  2
Rclass2mom       88 227   1.00000  2
## residual:
##   Z: 88
##   A: 231
##   nuclide: Ra231 
## parameters: 
##   level density
a                88 231  17.34135
aadjust          88 231   1.00000
gammald          88 231   0.07719
pair             88 231   0.78954
Pshift           88 231   0.00000   0
Pshiftadjust     88 231   0.00000   0
deltaW           88 231   4.31807   0
Ntop             88 231  22   0
Nlow             88 231   6   0
s2adjust         88 231   1.00000   0
ctable           88 231   0.46013   0
ptable           88 231   0.49837   0
ctableadjust     88 231   0.00000   0
ptableadjust     88 231   0.00000   0
Ufermi           88 231  30.00000   0
cfermi           88 231   5.00000   0
Krotconstant     88 231   1.00000   0
Pshift           88 231   0.00000   1
Pshiftadjust     88 231   0.00000   1
deltaW           88 231   1.50000   1
Ntop             88 231   1   1
Nlow             88 231   0   1
s2adjust         88 231   1.00000   1
ctable           88 231   0.00000   1
ptable           88 231   0.00000   1
ctableadjust     88 231   0.00000   1
ptableadjust     88 231   0.00000   1
Ufermi           88 231  45.00000   1
cfermi           88 231   5.00000   1
Krotconstant     88 231   1.00000   1
Pshift           88 231   0.00000   2
Pshiftadjust     88 231   0.00000   2
deltaW           88 231   0.60000   2
Ntop             88 231   1   2
Nlow             88 231   0   2
s2adjust         88 231   1.00000   2
ctable           88 231   0.00000   2
ptable           88 231   0.00000   2
ctableadjust     88 231   0.00000   2
ptableadjust     88 231   0.00000   2
Ufermi           88 231  45.00000   2
cfermi           88 231   5.00000   2
Krotconstant     88 231   1.00000   2
Pshift           88 231   0.00000   3
Pshiftadjust     88 231   0.00000   3
deltaW           88 231   0.60000   3
Ntop             88 231   1   3
Nlow             88 231   0   3
s2adjust         88 231   1.00000   3
ctable           88 231   0.00000   3
ptable           88 231   0.00000   3
ctableadjust     88 231   0.00000   3
ptableadjust     88 231   0.00000   3
Ufermi           88 231  45.00000   3
cfermi           88 231   5.00000   3
Krotconstant     88 231   1.00000   3
g                88 231  15.40000
gp               88 231   5.86667
gn               88 231   9.53333
gnadjust         88 231   1.00000
gpadjust         88 231   1.00000
gadjust          88 231   1.00000
Risomer          88 231   1.00000
## parameters: 
##   photon strength function
gamgam           88 231   0.00000
gamgamadjust     88 231   1.00000
etable           88 231   0.00000 E1
ftable           88 231   1.00000 E1
wtable           88 231   1.00000 E1
etableadjust     88 231   0.00000 E1
ftableadjust     88 231   1.00000 E1
wtableadjust     88 231   1.00000 E1
upbendc          88 231 3.50000E-08 M1
upbende          88 231 8.00000E-01 M1
upbendf          88 231 6.00000E+00 M1
upbendcadjust    88 231 1.00000E+00 M1
