                    ************************************************************************************************
                    *  Z= 48 A=117: Positive-Parity Spin-dependent Level Density [MeV-1] for Cd117 and ldmodel= 1  *
   4.25  0.489  2.64E+03 3.37E+03 3.76E+04 1.65E+02 3.07E+02 4.05E+02 4.53E+02 4.52E+02 4.11E+02 3.45E+02 2.71E+02 1.98E+02 1.37E+02 8.85E+01 5.41E+01 3.12E+01 1.70E+01 8.79E+00 4.29E+00 1.99E+00 8.71E-01 3.62E-01 1.43E-01 5.33E-02 1.89E-02 6.36E-03 2.03E-03 6.16E-04 1.77E-04 4.84E-05 1.26E-05 3.10E-06 7.25E-07
   4.50  0.503  3.87E+03 4.94E+03 5.61E+04 2.34E+02 4.36E+02 5.79E+02 6.51E+02 6.54E+02 6.00E+02 5.10E+02 4.05E+02 3.01E+02 2.11E+02 1.39E+02 8.66E+01 5.11E+01 2.85E+01 1.51E+01 7.57E+00 3.60E+00 1.63E+00 6.98E-01 2.84E-01 1.10E-01 4.05E-02 1.41E-02 4.70E-03 1.49E-03 4.47E-04 1.28E-04 3.47E-05 8.98E-06 2.21E-06
   4.75  0.517  5.68E+03 7.24E+03 8.36E+04 3.33E+02 6.20E+02 8.27E+02 9.35E+02 9.46E+02 8.76E+02 7.53E+02 6.04E+02 4.56E+02 3.24E+02 2.17E+02 1.38E+02 8.29E+01 4.73E+01 2.56E+01 1.32E+01 6.43E+00 2.99E+00 1.32E+00 5.54E-01 2.22E-01 8.44E-02 3.06E-02 1.06E-02 3.47E-03 1.09E-03 3.24E-04 9.20E-05 2.49E-05 6.42E-06
   5.00  0.530  8.34E+03 1.06E+04 1.25E+05 4.73E+02 8.84E+02 1.18E+03 1.34E+03 1.37E+03 1.28E+03 1.11E+03 9.00E+02 6.87E+02 4.95E+02 3.38E+02 2.18E+02 1.34E+02 7.77E+01 4.30E+01 2.26E+01 1.13E+01 5.40E+00 2.45E+00 1.06E+00 4.37E-01 1.72E-01 6.44E-02 2.30E-02 7.85E-03 2.55E-03 7.92E-04 2.34E-04 6.62E-05 1.78E-05
   5.50  0.556  1.98E+04 2.28E+04 2.76E+05 9.58E+02 1.80E+03 2.42E+03 2.78E+03 2.86E+03 2.72E+03 2.40E+03 1.99E+03 1.55E+03 1.15E+03 8.05E+02 5.36E+02 3.40E+02 2.05E+02 1.18E+02 6.48E+01 3.39E+01 1.70E+01 8.10E+00 3.69E+00 1.61E+00 6.71E-01 2.67E-01 1.02E-01 3.71E-02 1.29E-02 4.31E-03 1.38E-03 4.20E-04 1.23E-04
   6.00  0.581  4.43E+04 4.91E+04 6.12E+05 1.95E+03 3.67E+03 4.97E+03 5.75E+03 5.99E+03 5.76E+03 5.16E+03 4.36E+03 3.47E+03 2.63E+03 1.89E+03 1.29E+03 8.46E+02 5.27E+02 3.14E+02 1.79E+02 9.76E+01 5.09E+01 2.54E+01 1.21E+01 5.56E+00 2.44E+00 1.03E+00 4.14E-01 1.60E-01 5.93E-02 2.11E-02 7.18E-03 2.35E-03 7.36E-04
   6.50  0.605  9.64E+04 1.04E+05 1.33E+06 3.94E+03 7.44E+03 1.01E+04 1.18E+04 1.24E+04 1.20E+04 1.09E+04 9.34E+03 7.57E+03 5.83E+03 4.28E+03 2.99E+03 2.00E+03 1.28E+03 7.84E+02 4.59E+02 2.58E+02 1.39E+02 7.19E+01 3.57E+01 1.70E+01 7.75E+00 3.40E+00 1.43E+00 5.80E-01 2.25E-01 8.41E-02 3.02E-02 1.04E-02 3.45E-03
   7.00  0.627  2.03E+05 2.14E+05 2.78E+06 7.76E+03 1.47E+04 2.01E+04 2.35E+04 2.49E+04 2.44E+04 2.23E+04 1.94E+04 1.59E+04 1.24E+04 9.27E+03 6.61E+03 4.51E+03 2.95E+03 1.85E+03 1.11E+03 6.41E+02 3.55E+02 1.89E+02 9.68E+01 4.76E+01 2.25E+01 1.02E+01 4.48E+00 1.89E+00 7.64E-01 2.98E-01 1.12E-01 4.03E-02 1.40E-02
   7.50  0.650  4.16E+05 4.26E+05 5.67E+06 1.49E+04 2.83E+04 3.88E+04 4.56E+04 4.86E+04 4.80E+04 4.44E+04 3.89E+04 3.23E+04 2.56E+04 1.94E+04 1.41E+04 9.76E+03 6.50E+03 4.16E+03 2.56E+03 1.51E+03 8.58E+02 4.69E+02 2.47E+02 1.25E+02 6.09E+01 2.86E+01 1.29E+01 5.64E+00 2.37E+00 9.58E-01 3.73E-01 1.40E-01 5.08E-02
   8.00  0.671  8.31E+05 8.30E+05 1.12E+07 2.80E+04 5.32E+04 7.32E+04 8.66E+04 9.27E+04 9.21E+04 8.60E+04 7.60E+04 6.39E+04 5.12E+04 3.93E+04 2.89E+04 2.04E+04 1.38E+04 9.00E+03 5.64E+03 3.40E+03 1.98E+03 1.11E+03 5.96E+02 3.10E+02 1.55E+02 7.49E+01 3.49E+01 1.57E+01 6.80E+00 2.84E+00 1.15E+00 4.47E-01 1.68E-01
   8.50  0.691  1.62E+06 1.58E+06 2.17E+07 5.15E+04 9.81E+04 1.35E+05 1.61E+05 1.73E+05 1.73E+05 1.63E+05 1.45E+05 1.23E+05 9.97E+04 7.74E+04 5.77E+04 4.13E+04 2.84E+04 1.88E+04 1.20E+04 7.37E+03 4.36E+03 2.49E+03 1.37E+03 7.31E+02 3.75E+02 1.86E+02 8.89E+01 4.11E+01 1.83E+01 7.90E+00 3.29E+00 1.32E+00 5.14E-01
   9.00  0.712  3.09E+06 2.94E+06 4.11E+07 9.32E+04 1.78E+05 2.46E+05 2.93E+05 3.17E+05 3.18E+05 3.01E+05 2.71E+05 2.32E+05 1.90E+05 1.49E+05 1.12E+05 8.12E+04 5.67E+04 3.81E+04 2.47E+04 1.54E+04 9.30E+03 5.41E+03 3.04E+03 1.65E+03 8.67E+02 4.39E+02 2.15E+02 1.02E+02 4.67E+01 2.07E+01 8.85E+00 3.67E+00 1.47E+00
   9.50  0.731  5.78E+06 5.38E+06 7.63E+07 1.66E+05 3.16E+05 4.38E+05 5.24E+05 5.69E+05 5.75E+05 5.48E+05 4.95E+05 4.27E+05 3.53E+05 2.79E+05 2.13E+05 1.56E+05 1.10E+05 7.51E+04 4.93E+04 3.13E+04 1.92E+04 1.14E+04 6.50E+03 3.60E+03 1.93E+03 9.97E+02 4.99E+02 2.42E+02 1.13E+02 5.15E+01 2.26E+01 9.61E+00 3.96E+00
  10.00  0.750  1.06E+07 9.67E+06 1.39E+08 2.90E+05 5.53E+05 7.69E+05 9.22E+05 1.01E+06 1.02E+06 9.78E+05 8.89E+05 7.73E+05 6.43E+05 5.14E+05 3.96E+05 2.93E+05 2.09E+05 1.44E+05 9.61E+04 6.19E+04 3.85E+04 2.31E+04 1.35E+04 7.58E+03 4.13E+03 2.18E+03 1.11E+03 5.51E+02 2.64E+02 1.23E+02 5.51E+01 2.40E+01 1.01E+01
  11.00  0.787  4.04E+07 2.98E+07 4.40E+08 8.50E+05 1.63E+06 2.27E+06 2.74E+06 3.00E+06 3.07E+06 2.97E+06 2.73E+06 2.41E+06 2.03E+06 1.65E+06 1.29E+06 9.75E+05 7.11E+05 5.01E+05 3.41E+05 2.25E+05 1.44E+05 8.89E+04 5.32E+04 3.09E+04 1.74E+04 9.49E+03 5.02E+03 2.58E+03 1.28E+03 6.19E+02 2.90E+02 1.32E+02 5.81E+01
  12.00  0.822  1.27E+08 8.70E+07 1.31E+09 2.37E+06 4.55E+06 6.37E+06 7.71E+06 8.51E+06 8.77E+06 8.55E+06 7.94E+06 7.07E+06 6.04E+06 4.97E+06 3.95E+06 3.03E+06 2.25E+06 1.61E+06 1.12E+06 7.55E+05 4.93E+05 3.12E+05 1.92E+05 1.14E+05 6.62E+04 3.72E+04 2.03E+04 1.07E+04 5.52E+03 2.76E+03 1.34E+03 6.31E+02 2.89E+02
  13.00  0.855  3.69E+08 2.42E+08 3.72E+09 6.33E+06 1.22E+07 1.71E+07 2.07E+07 2.30E+07 2.39E+07 2.34E+07 2.20E+07 1.97E+07 1.70E+07 1.42E+07 1.14E+07 8.88E+06 6.69E+06 4.88E+06 3.45E+06 2.37E+06 1.58E+06 1.02E+06 6.40E+05 3.90E+05 2.31E+05 1.33E+05 7.46E+04 4.06E+04 2.15E+04 1.11E+04 5.53E+03 2.69E+03 1.27E+03
  14.00  0.887  1.01E+09 6.45E+08 1.01E+10 1.62E+07 3.13E+07 4.40E+07 5.36E+07 5.98E+07 6.23E+07 6.16E+07 5.82E+07 5.27E+07 4.59E+07 3.86E+07 3.14E+07 2.48E+07 1.89E+07 1.40E+07 1.00E+07 7.01E+06 4.75E+06 3.13E+06 2.00E+06 1.24E+06 7.54E+05 4.44E+05 2.54E+05 1.42E+05 7.69E+04 4.06E+04 2.09E+04 1.05E+04 5.09E+03
  15.00  0.919  2.67E+09 1.65E+09 2.64E+10 4.03E+07 7.76E+07 1.09E+08 1.34E+08 1.50E+08 1.57E+08 1.56E+08 1.48E+08 1.35E+08 1.19E+08 1.01E+08 8.30E+07 6.61E+07 5.10E+07 3.83E+07 2.79E+07 1.97E+07 1.36E+07 9.08E+06 5.91E+06 3.74E+06 2.31E+06 1.39E+06 8.11E+05 4.62E+05 2.56E+05 1.39E+05 7.30E+04 3.75E+04 1.87E+04
  16.00  0.949  6.78E+09 4.11E+09 6.67E+10 9.68E+07 1.87E+08 2.64E+08 3.24E+08 3.64E+08 3.83E+08 3.82E+08 3.65E+08 3.36E+08 2.97E+08 2.55E+08 2.11E+08 1.70E+08 1.32E+08 1.00E+08 7.40E+07 5.31E+07 3.70E+07 2.51E+07 1.66E+07 1.07E+07 6.72E+06 4.11E+06 2.45E+06 1.42E+06 8.04E+05 4.44E+05 2.39E+05 1.25E+05 6.42E+04
  17.00  0.978  1.67E+10 9.89E+09 1.63E+11 2.26E+08 4.37E+08 6.19E+08 7.61E+08 8.57E+08 9.05E+08 9.09E+08 8.73E+08 8.07E+08 7.20E+08 6.21E+08 5.19E+08 4.21E+08 3.32E+08 2.54E+08 1.90E+08 1.37E+08 9.71E+07 6.68E+07 4.48E+07 2.93E+07 1.86E+07 1.16E+07 7.02E+06 4.15E+06 2.39E+06 1.35E+06 7.38E+05 3.95E+05 2.07E+05
  18.00  1.006  3.98E+10 2.32E+10 3.87E+11 5.15E+08 9.97E+08 1.41E+09 1.74E+09 1.97E+09 2.09E+09 2.10E+09 2.03E+09 1.89E+09 1.69E+09 1.47E+09 1.24E+09 1.01E+09 8.06E+08 6.23E+08 4.69E+08 3.44E+08 2.46E+08 1.71E+08 1.16E+08 7.69E+07 4.97E+07 3.13E+07 1.93E+07 1.16E+07 6.78E+06 3.88E+06 2.17E+06 1.18E+06 6.31E+05
  19.00  1.034  9.28E+10 5.30E+10 8.98E+11 1.15E+09 2.22E+09 3.15E+09 3.89E+09 4.41E+09 4.69E+09 4.75E+09 4.61E+09 4.30E+09 3.88E+09 3.39E+09 2.88E+09 2.37E+09 1.90E+09 1.48E+09 1.13E+09 8.34E+08 6.02E+08 4.24E+08 2.91E+08 1.95E+08 1.28E+08 8.16E+07 5.09E+07 3.10E+07 1.85E+07 1.07E+07 6.09E+06 3.38E+06 1.83E+06
  20.00  1.061  2.11E+11 1.18E+11 2.03E+12 2.50E+09 4.84E+09 6.88E+09 8.52E+09 9.67E+09 1.03E+10 1.05E+10 1.02E+10 9.58E+09 8.69E+09 7.64E+09 6.52E+09 5.41E+09 4.37E+09 3.43E+09 2.63E+09 1.97E+09 1.43E+09 1.02E+09 7.07E+08 4.80E+08 3.18E+08 2.05E+08 1.30E+08 8.01E+07 4.84E+07 2.85E+07 1.65E+07 9.27E+06 5.11E+06
  22.50  1.125  2.23E+12 8.09E+11 1.43E+13 1.61E+10 3.13E+10 4.46E+10 5.55E+10 6.33E+10 6.80E+10 6.96E+10 6.84E+10 6.48E+10 5.95E+10 5.30E+10 4.58E+10 3.86E+10 3.17E+10 2.53E+10 1.98E+10 1.51E+10 1.12E+10 8.16E+09 5.80E+09 4.03E+09 2.74E+09 1.82E+09 1.18E+09 7.52E+08 4.68E+08 2.85E+08 1.70E+08 9.90E+07 5.65E+07
  25.00  1.186  1.46E+13 4.96E+12 8.98E+13 9.40E+10 1.83E+11 2.61E+11 3.26E+11 3.73E+11 4.03E+11 4.16E+11 4.11E+11 3.93E+11 3.64E+11 3.28E+11 2.87E+11 2.45E+11 2.04E+11 1.65E+11 1.31E+11 1.02E+11 7.70E+10 5.70E+10 4.13E+10 2.93E+10 2.04E+10 1.38E+10 9.21E+09 6.00E+09 3.83E+09 2.40E+09 1.47E+09 8.82E+08 5.19E+08
  30.00  1.299  7.34E+14 1.44E+14 2.73E+15 2.50E+12 4.87E+12 6.99E+12 8.76E+12 1.01E+13 1.10E+13 1.15E+13 1.15E+13 1.12E+13 1.05E+13 9.61E+12 8.57E+12 7.46E+12 6.34E+12 5.27E+12 4.29E+12 3.41E+12 2.66E+12 2.03E+12 1.52E+12 1.11E+12 8.00E+11 5.64E+11 3.90E+11 2.65E+11 1.76E+11 1.15E+11 7.37E+10 4.63E+10 2.86E+10
  40.00  1.500  5.74E+17 5.73E+16 1.16E+18 8.67E+14 1.69E+15 2.45E+15 3.09E+15 3.61E+15 3.98E+15 4.21E+15 4.29E+15 4.24E+15 4.08E+15 3.82E+15 3.50E+15 3.13E+15 2.75E+15 2.36E+15 1.99E+15 1.64E+15 1.33E+15 1.06E+15 8.29E+14 6.37E+14 4.81E+14 3.57E+14 2.60E+14 1.87E+14 1.32E+14 9.13E+13 6.23E+13 4.18E+13 2.76E+13
  50.00  1.677  1.16E+20 1.15E+19 2.47E+20 1.56E+17 3.06E+17 4.44E+17 5.64E+17 6.63E+17 7.38E+17 7.88E+17 8.13E+17 8.14E+17 7.94E+17 7.57E+17 7.06E+17 6.44E+17 5.77E+17 5.07E+17 4.37E+17 3.71E+17 3.09E+17 2.53E+17 2.04E+17 1.62E+17 1.26E+17 9.72E+16 7.35E+16 5.48E+16 4.02E+16 2.90E+16 2.07E+16 1.45E+16 1.00E+16
  60.00  1.837  1.44E+22 1.43E+21 3.20E+22 1.78E+19 3.49E+19 5.08E+19 6.48E+19 7.66E+19 8.58E+19 9.23E+19 9.60E+19 9.71E+19 9.58E+19 9.24E+19 8.73E+19 8.08E+19 7.35E+19 6.57E+19 5.77E+19 4.99E+19 4.24E+19 3.55E+19 2.93E+19 2.38E+19 1.90E+19 1.50E+19 1.17E+19 8.95E+18 6.76E+18 5.04E+18 3.71E+18 2.69E+18 1.92E+18
  70.00  1.984  1.25E+24 1.24E+23 2.88E+24 1.43E+21 2.81E+21 4.09E+21 5.24E+21 6.22E+21 7.00E+21 7.57E+21 7.93E+21 8.08E+21 8.04E+21 7.83E+21 7.48E+21 7.01E+21 6.45E+21 5.84E+21 5.20E+21 4.56E+21 3.94E+21 3.36E+21 2.82E+21 2.33E+21 1.90E+21 1.53E+21 1.22E+21 9.53E+20 7.37E+20 5.63E+20 4.24E+20 3.15E+20 2.32E+20
  80.00  2.121  8.15E+25 8.03E+24 1.93E+26 8.69E+22 1.71E+23 2.50E+23 3.20E+23 3.81E+23 4.31E+23 4.68E+23 4.93E+23 5.06E+23 5.07E+23 4.98E+23 4.79E+23 4.53E+23 4.21E+23 3.85E+23 3.47E+23 3.08E+23 2.70E+23 2.33E+23 1.98E+23 1.67E+23 1.38E+23 1.13E+23 9.13E+22 7.28E+22 5.74E+22 4.47E+22 3.43E+22 2.61E+22 1.96E+22
  90.00  2.250  4.19E+27 4.11E+26 1.02E+28 4.20E+24 8.27E+24 1.21E+25 1.55E+25 1.86E+25 2.10E+25 2.30E+25 2.43E+25 2.50E+25 2.52E+25 2.49E+25 2.42E+25 2.30E+25 2.16E+25 1.99E+25 1.81E+25 1.63E+25 1.44E+25 1.26E+25 1.08E+25 9.20E+24 7.73E+24 6.41E+24 5.25E+24 4.26E+24 3.41E+24 2.69E+24 2.11E+24 1.63E+24 1.24E+24
 100.00  2.372  1.76E+29 1.72E+28 4.36E+29 1.67E+26 3.29E+26 4.82E+26 6.21E+26 7.42E+26 8.44E+26 9.25E+26 9.82E+26 1.02E+27 1.03E+27 1.02E+27 9.97E+26 9.56E+26 9.03E+26 8.40E+26 7.70E+26 6.97E+26 6.22E+26 5.48E+26 4.77E+26 4.10E+26 3.48E+26 2.92E+26 2.43E+26 1.99E+26 1.61E+26 1.29E+26 1.03E+26 8.05E+25 6.24E+25
 110.00  2.487  6.24E+30 6.06E+29 1.57E+31 5.62E+27 1.11E+28 1.62E+28 2.10E+28 2.51E+28 2.86E+28 3.15E+28 3.35E+28 3.48E+28 3.54E+28 3.54E+28 3.47E+28 3.34E+28 3.17E+28 2.97E+28 2.74E+28 2.50E+28 2.25E+28 2.00E+28 1.75E+28 1.52E+28 1.31E+28 1.11E+28 9.28E+27 7.70E+27 6.31E+27 5.12E+27 4.11E+27 3.27E+27 2.57E+27
 120.00  2.598  1.90E+32 1.84E+31 4.88E+32 1.63E+29 3.22E+29 4.73E+29 6.11E+29 7.34E+29 8.39E+29 9.23E+29 9.87E+29 1.03E+30 1.05E+30 1.05E+30 1.04E+30 1.00E+30 9.59E+29 9.03E+29 8.39E+29 7.69E+29 6.97E+29 6.23E+29 5.52E+29 4.82E+29 4.17E+29 3.57E+29 3.02E+29 2.53E+29 2.09E+29 1.72E+29 1.39E+29 1.12E+29 8.90E+28
 130.00  2.704  5.08E+33 4.89E+32 1.32E+34 4.18E+30 8.25E+30 1.21E+31 1.57E+31 1.88E+31 2.16E+31 2.38E+31 2.55E+31 2.67E+31 2.73E+31 2.75E+31 2.72E+31 2.64E+31 2.54E+31 2.40E+31 2.24E+31 2.07E+31 1.88E+31 1.70E+31 1.51E+31 1.33E+31 1.16E+31 9.99E+30 8.53E+30 7.20E+30 6.02E+30 4.98E+30 4.08E+30 3.31E+30 2.66E+30
 140.00  2.806  1.21E+35 1.16E+34 3.18E+35 9.52E+31 1.88E+32 2.76E+32 3.58E+32 4.31E+32 4.94E+32 5.47E+32 5.87E+32 6.16E+32 6.32E+32 6.38E+32 6.33E+32 6.18E+32 5.95E+32 5.66E+32 5.31E+32 4.92E+32 4.51E+32 4.09E+32 3.66E+32 3.25E+32 2.85E+32 2.47E+32 2.12E+32 1.81E+32 1.52E+32 1.27E+32 1.05E+32 8.58E+31 6.95E+31
 150.00  2.905  2.58E+36 2.46E+35 6.88E+36 1.96E+33 3.87E+33 5.69E+33 7.37E+33 8.89E+33 1.02E+34 1.13E+34 1.22E+34 1.28E+34 1.32E+34 1.33E+34 1.33E+34 1.30E+34 1.26E+34 1.20E+34 1.13E+34 1.05E+34 9.70E+33 8.83E+33 7.95E+33 7.09E+33 6.25E+33 5.46E+33 4.72E+33 4.05E+33 3.43E+33 2.88E+33 2.40E+33 1.98E+33 1.62E+33
 160.00  3.000  5.01E+37 4.75E+36 1.35E+38 3.66E+34 7.24E+34 1.07E+35 1.38E+35 1.67E+35 1.92E+35 2.13E+35 2.30E+35 2.42E+35 2.50E+35 2.53E+35 2.53E+35 2.49E+35 2.41E+35 2.31E+35 2.19E+35 2.04E+35 1.89E+35 1.73E+35 1.56E+35 1.40E+35 1.24E+35 1.09E+35 9.50E+34 8.19E+34 6.99E+34 5.92E+34 4.96E+34 4.12E+34 3.39E+34
