                    ************************************************************************************************
                    *  Z= 40 A= 92: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 92 and ldmodel= 1  *
   2.25  0.443  4.46E+00 4.82E+00 2.98E+01 3.88E-01 9.89E-01 1.19E+00 1.01E+00 6.75E-01 3.62E-01 1.59E-01 5.82E-02 1.77E-02 4.49E-03 9.58E-04 1.72E-04 2.59E-05 3.30E-06 3.54E-07 3.20E-08 2.45E-09 1.59E-10 8.68E-12 4.01E-13 1.57E-14 5.20E-16 1.46E-17 3.46E-19 6.96E-21 1.18E-22 1.71E-24 2.08E-26 2.16E-28 1.89E-30
   2.50  0.466  6.07E+00 6.43E+00 3.97E+01 5.18E-01 1.32E+00 1.58E+00 1.35E+00 8.99E-01 4.83E-01 2.13E-01 7.75E-02 2.36E-02 5.99E-03 1.28E-03 2.29E-04 3.46E-05 4.40E-06 4.72E-07 4.27E-08 3.27E-09 2.12E-10 1.16E-11 5.35E-13 2.09E-14 6.94E-16 1.94E-17 4.61E-19 9.27E-21 1.58E-22 2.27E-24 2.78E-26 2.87E-28 2.52E-30
   2.75  0.489  8.21E+00 8.57E+00 5.48E+01 6.46E-01 1.66E+00 2.04E+00 1.80E+00 1.25E+00 7.08E-01 3.33E-01 1.31E-01 4.33E-02 1.21E-02 2.88E-03 5.82E-04 9.99E-05 1.46E-05 1.82E-06 1.94E-07 1.77E-08 1.37E-09 9.11E-11 5.17E-12 2.51E-13 1.04E-14 3.70E-16 1.13E-17 2.93E-19 6.53E-21 1.25E-22 2.04E-24 2.85E-26 3.41E-28
   3.00  0.511  1.11E+01 1.14E+01 7.60E+01 7.96E-01 2.07E+00 2.60E+00 2.38E+00 1.73E+00 1.04E+00 5.25E-01 2.24E-01 8.17E-02 2.54E-02 6.80E-03 1.56E-03 3.09E-04 5.28E-05 7.77E-06 9.87E-07 1.08E-07 1.03E-08 8.46E-10 6.01E-11 3.69E-12 1.97E-13 9.06E-15 3.61E-16 1.25E-17 3.74E-19 9.69E-21 2.18E-22 4.24E-24 7.15E-26
   3.25  0.532  1.49E+01 1.52E+01 1.05E+02 9.87E-01 2.60E+00 3.32E+00 3.13E+00 2.38E+00 1.50E+00 8.06E-01 3.69E-01 1.46E-01 4.98E-02 1.47E-02 3.78E-03 8.45E-04 1.64E-04 2.79E-05 4.12E-06 5.33E-07 6.01E-08 5.92E-09 5.10E-10 3.84E-11 2.53E-12 1.45E-13 7.32E-15 3.23E-16 1.24E-17 4.20E-19 1.24E-20 3.20E-22 7.24E-24
   3.50  0.552  1.99E+01 2.03E+01 1.45E+02 1.23E+00 3.26E+00 4.25E+00 4.12E+00 3.23E+00 2.14E+00 1.21E+00 5.88E-01 2.49E-01 9.20E-02 2.97E-02 8.40E-03 2.09E-03 4.55E-04 8.73E-05 1.47E-05 2.19E-06 2.87E-07 3.31E-08 3.36E-09 3.02E-10 2.39E-11 1.67E-12 1.03E-13 5.59E-15 2.68E-16 1.14E-17 4.26E-19 1.41E-20 4.11E-22
   3.75  0.571  2.67E+01 2.71E+01 2.00E+02 1.54E+00 4.11E+00 5.44E+00 5.39E+00 4.37E+00 3.00E+00 1.77E+00 9.13E-01 4.11E-01 1.63E-01 5.67E-02 1.75E-02 4.75E-03 1.15E-03 2.45E-04 4.63E-05 7.78E-06 1.16E-06 1.54E-07 1.81E-08 1.89E-09 1.76E-10 1.46E-11 1.07E-12 7.00E-14 4.07E-15 2.11E-16 9.71E-18 3.98E-19 1.45E-20
   4.00  0.590  3.57E+01 3.61E+01 2.74E+02 1.93E+00 5.20E+00 6.98E+00 7.05E+00 5.87E+00 4.17E+00 2.57E+00 1.39E+00 6.59E-01 2.77E-01 1.03E-01 3.43E-02 1.01E-02 2.67E-03 6.26E-04 1.31E-04 2.46E-05 4.11E-06 6.16E-07 8.25E-08 9.88E-09 1.06E-09 1.02E-10 8.73E-12 6.72E-13 4.63E-14 2.86E-15 1.58E-16 7.83E-18 3.48E-19
   4.25  0.608  4.78E+01 4.81E+01 3.77E+02 2.44E+00 6.60E+00 8.95E+00 9.21E+00 7.86E+00 5.75E+00 3.67E+00 2.07E+00 1.03E+00 4.58E-01 1.81E-01 6.43E-02 2.04E-02 5.81E-03 1.48E-03 3.41E-04 7.03E-05 1.30E-05 2.17E-06 3.27E-07 4.41E-08 5.37E-09 5.88E-10 5.81E-11 5.16E-12 4.14E-13 2.99E-14 1.94E-15 1.14E-16 6.02E-18
   4.50  0.626  6.38E+01 6.41E+01 5.16E+02 3.08E+00 8.38E+00 1.15E+01 1.20E+01 1.05E+01 7.88E+00 5.20E+00 3.04E+00 1.58E+00 7.38E-01 3.09E-01 1.16E-01 3.93E-02 1.20E-02 3.31E-03 8.23E-04 1.85E-04 3.76E-05 6.91E-06 1.15E-06 1.73E-07 2.36E-08 2.91E-09 3.25E-10 3.29E-11 3.02E-12 2.51E-13 1.89E-14 1.29E-15 7.95E-17
   4.75  0.643  8.52E+01 8.55E+01 7.05E+02 3.90E+00 1.07E+01 1.48E+01 1.57E+01 1.40E+01 1.07E+01 7.30E+00 4.41E+00 2.39E+00 1.16E+00 5.11E-01 2.03E-01 7.27E-02 2.37E-02 6.98E-03 1.87E-03 4.54E-04 1.00E-04 2.01E-05 3.66E-06 6.08E-07 9.17E-08 1.26E-08 1.57E-09 1.79E-10 1.85E-11 1.74E-12 1.50E-13 1.17E-14 8.32E-16
   5.00  0.660  1.14E+02 1.14E+02 9.64E+02 4.96E+00 1.36E+01 1.90E+01 2.05E+01 1.85E+01 1.46E+01 1.02E+01 6.34E+00 3.56E+00 1.80E+00 8.26E-01 3.44E-01 1.30E-01 4.48E-02 1.41E-02 4.02E-03 1.05E-03 2.49E-04 5.41E-05 1.07E-05 1.94E-06 3.21E-07 4.86E-08 6.72E-09 8.49E-10 9.80E-11 1.04E-11 1.00E-12 8.84E-14 7.14E-15
   5.50  0.692  2.15E+02 2.03E+02 1.79E+03 8.05E+00 2.23E+01 3.17E+01 3.48E+01 3.25E+01 2.66E+01 1.94E+01 1.28E+01 7.60E+00 4.13E+00 2.04E+00 9.25E-01 3.84E-01 1.46E-01 5.09E-02 1.63E-02 4.81E-03 1.30E-03 3.24E-04 7.44E-05 1.57E-05 3.05E-06 5.45E-07 8.98E-08 1.36E-08 1.91E-09 2.46E-10 2.92E-11 3.19E-12 3.22E-13
   6.00  0.723  3.95E+02 3.60E+02 3.32E+03 1.32E+01 3.67E+01 5.28E+01 5.92E+01 5.67E+01 4.79E+01 3.63E+01 2.50E+01 1.57E+01 9.01E+00 4.76E+00 2.31E+00 1.04E+00 4.28E-01 1.63E-01 5.77E-02 1.88E-02 5.69E-03 1.59E-03 4.12E-04 9.89E-05 2.20E-05 4.53E-06 8.64E-07 1.53E-07 2.51E-08 3.82E-09 5.40E-10 7.07E-11 8.59E-12
   6.50  0.752  7.15E+02 6.40E+02 6.14E+03 2.17E+01 6.08E+01 8.84E+01 1.01E+02 9.86E+01 8.56E+01 6.71E+01 4.80E+01 3.14E+01 1.90E+01 1.06E+01 5.46E+00 2.61E+00 1.16E+00 4.78E-01 1.83E-01 6.53E-02 2.16E-02 6.68E-03 1.92E-03 5.13E-04 1.28E-04 2.97E-05 6.44E-06 1.30E-06 2.45E-07 4.29E-08 7.03E-09 1.07E-09 1.53E-10
   7.00  0.781  1.28E+03 1.14E+03 1.13E+04 3.60E+01 1.01E+02 1.49E+02 1.72E+02 1.71E+02 1.52E+02 1.23E+02 9.06E+01 6.17E+01 3.89E+01 2.27E+01 1.24E+01 6.25E+00 2.95E+00 1.30E+00 5.34E-01 2.05E-01 7.37E-02 2.48E-02 7.78E-03 2.29E-03 6.30E-04 1.62E-04 3.92E-05 8.85E-06 1.87E-06 3.72E-07 6.91E-08 1.20E-08 1.97E-09
   7.50  0.808  2.30E+03 2.02E+03 2.08E+04 5.98E+01 1.69E+02 2.50E+02 2.93E+02 2.97E+02 2.69E+02 2.22E+02 1.69E+02 1.19E+02 7.78E+01 4.74E+01 2.69E+01 1.43E+01 7.13E+00 3.33E+00 1.45E+00 5.97E-01 2.30E-01 8.31E-02 2.82E-02 9.02E-03 2.71E-03 7.63E-04 2.02E-04 5.05E-05 1.18E-05 2.62E-06 5.43E-07 1.06E-07 1.95E-08
   8.00  0.834  4.09E+03 3.60E+03 3.81E+04 9.99E+01 2.83E+02 4.22E+02 5.00E+02 5.14E+02 4.75E+02 4.01E+02 3.13E+02 2.26E+02 1.53E+02 9.66E+01 5.71E+01 3.17E+01 1.65E+01 8.12E+00 3.75E+00 1.63E+00 6.67E-01 2.57E-01 9.36E-02 3.21E-02 1.04E-02 3.18E-03 9.16E-04 2.49E-04 6.40E-05 1.55E-05 3.55E-06 7.67E-07 1.57E-07
   8.50  0.860  7.28E+03 6.38E+03 6.94E+04 1.68E+02 4.79E+02 7.18E+02 8.57E+02 8.91E+02 8.35E+02 7.17E+02 5.70E+02 4.23E+02 2.93E+02 1.90E+02 1.16E+02 6.67E+01 3.61E+01 1.84E+01 8.88E+00 4.04E+00 1.74E+00 7.05E-01 2.71E-01 9.84E-02 3.38E-02 1.10E-02 3.38E-03 9.86E-04 2.72E-04 7.09E-05 1.75E-05 4.10E-06 9.10E-07
   9.00  0.885  1.29E+04 1.11E+04 1.24E+05 2.83E+02 8.06E+02 1.21E+03 1.46E+03 1.53E+03 1.45E+03 1.26E+03 1.02E+03 7.65E+02 5.40E+02 3.58E+02 2.24E+02 1.32E+02 7.33E+01 3.85E+01 1.92E+01 9.01E+00 4.01E+00 1.69E+00 6.76E-01 2.56E-01 9.19E-02 3.13E-02 1.01E-02 3.09E-03 8.99E-04 2.48E-04 6.48E-05 1.61E-05 3.79E-06
   9.50  0.909  2.24E+04 1.92E+04 2.16E+05 4.68E+02 1.34E+03 2.02E+03 2.44E+03 2.58E+03 2.46E+03 2.17E+03 1.77E+03 1.35E+03 9.73E+02 6.57E+02 4.19E+02 2.52E+02 1.44E+02 7.76E+01 3.97E+01 1.92E+01 8.83E+00 3.85E+00 1.59E+00 6.27E-01 2.34E-01 8.29E-02 2.79E-02 8.95E-03 2.72E-03 7.87E-04 2.17E-04 5.66E-05 1.41E-05
  10.00  0.933  3.86E+04 3.24E+04 3.73E+05 7.66E+02 2.19E+03 3.32E+03 4.03E+03 4.29E+03 4.13E+03 3.67E+03 3.04E+03 2.35E+03 1.71E+03 1.18E+03 7.65E+02 4.70E+02 2.74E+02 1.51E+02 7.92E+01 3.94E+01 1.86E+01 8.38E+00 3.58E+00 1.45E+00 5.62E-01 2.07E-01 7.24E-02 2.41E-02 7.66E-03 2.31E-03 6.65E-04 1.82E-04 4.75E-05
  11.00  0.978  1.28E+05 8.91E+04 1.06E+06 1.98E+03 5.68E+03 8.65E+03 1.06E+04 1.14E+04 1.11E+04 1.01E+04 8.50E+03 6.74E+03 5.04E+03 3.57E+03 2.39E+03 1.52E+03 9.20E+02 5.29E+02 2.89E+02 1.51E+02 7.49E+01 3.54E+01 1.60E+01 6.89E+00 2.83E+00 1.11E+00 4.15E-01 1.48E-01 5.05E-02 1.64E-02 5.11E-03 1.52E-03 4.31E-04
  12.00  1.022  3.61E+05 2.34E+05 2.85E+06 4.91E+03 1.41E+04 2.16E+04 2.67E+04 2.90E+04 2.87E+04 2.63E+04 2.26E+04 1.82E+04 1.39E+04 1.01E+04 6.96E+03 4.56E+03 2.84E+03 1.69E+03 9.59E+02 5.19E+02 2.69E+02 1.33E+02 6.28E+01 2.84E+01 1.23E+01 5.07E+00 2.00E+00 7.58E-01 2.75E-01 9.52E-02 3.16E-02 1.00E-02 3.06E-03
  13.00  1.064  9.49E+05 5.88E+05 7.35E+06 1.17E+04 3.38E+04 5.21E+04 6.46E+04 7.07E+04 7.07E+04 6.57E+04 5.72E+04 4.70E+04 3.66E+04 2.71E+04 1.91E+04 1.28E+04 8.20E+03 5.02E+03 2.94E+03 1.65E+03 8.82E+02 4.52E+02 2.22E+02 1.05E+02 4.72E+01 2.04E+01 8.47E+00 3.37E+00 1.28E+00 4.70E-01 1.65E-01 5.55E-02 1.79E-02
  14.00  1.104  2.38E+06 1.43E+06 1.82E+07 2.72E+04 7.86E+04 1.21E+05 1.51E+05 1.67E+05 1.68E+05 1.58E+05 1.39E+05 1.16E+05 9.20E+04 6.93E+04 4.97E+04 3.41E+04 2.24E+04 1.40E+04 8.44E+03 4.86E+03 2.69E+03 1.42E+03 7.24E+02 3.53E+02 1.65E+02 7.44E+01 3.22E+01 1.33E+01 5.32E+00 2.04E+00 7.51E-01 2.66E-01 9.04E-02
  15.00  1.143  5.72E+06 3.35E+06 4.38E+07 6.13E+04 1.77E+05 2.75E+05 3.44E+05 3.82E+05 3.89E+05 3.68E+05 3.28E+05 2.77E+05 2.22E+05 1.70E+05 1.24E+05 8.69E+04 5.81E+04 3.73E+04 2.30E+04 1.36E+04 7.69E+03 4.19E+03 2.20E+03 1.11E+03 5.35E+02 2.49E+02 1.12E+02 4.81E+01 2.00E+01 7.97E+00 3.06E+00 1.13E+00 4.03E-01
  16.00  1.180  1.34E+07 7.64E+06 1.02E+08 1.35E+05 3.90E+05 6.06E+05 7.63E+05 8.51E+05 8.71E+05 8.33E+05 7.50E+05 6.40E+05 5.20E+05 4.03E+05 2.99E+05 2.13E+05 1.45E+05 9.48E+04 5.96E+04 3.60E+04 2.09E+04 1.17E+04 6.28E+03 3.25E+03 1.62E+03 7.78E+02 3.60E+02 1.60E+02 6.89E+01 2.85E+01 1.14E+01 4.37E+00 1.62E+00
  17.00  1.216  3.04E+07 1.70E+07 2.30E+08 2.89E+05 8.38E+05 1.30E+06 1.65E+06 1.85E+06 1.90E+06 1.83E+06 1.67E+06 1.44E+06 1.18E+06 9.27E+05 6.97E+05 5.03E+05 3.48E+05 2.32E+05 1.48E+05 9.14E+04 5.42E+04 3.10E+04 1.71E+04 9.06E+03 4.64E+03 2.29E+03 1.09E+03 5.00E+02 2.21E+02 9.46E+01 3.90E+01 1.55E+01 5.97E+00
  18.00  1.252  6.73E+07 3.69E+07 5.09E+08 6.07E+05 1.76E+06 2.75E+06 3.49E+06 3.93E+06 4.07E+06 3.94E+06 3.61E+06 3.14E+06 2.61E+06 2.07E+06 1.58E+06 1.15E+06 8.10E+05 5.48E+05 3.57E+05 2.24E+05 1.35E+05 7.89E+04 4.44E+04 2.41E+04 1.26E+04 6.38E+03 3.12E+03 1.47E+03 6.70E+02 2.95E+02 1.25E+02 5.14E+01 2.04E+01
  19.00  1.286  1.46E+08 7.84E+07 1.10E+09 1.25E+06 3.64E+06 5.68E+06 7.23E+06 8.17E+06 8.51E+06 8.30E+06 7.65E+06 6.71E+06 5.62E+06 4.51E+06 3.47E+06 2.57E+06 1.83E+06 1.26E+06 8.30E+05 5.29E+05 3.26E+05 1.93E+05 1.11E+05 6.14E+04 3.29E+04 1.70E+04 8.50E+03 4.11E+03 1.92E+03 8.68E+02 3.79E+02 1.60E+02 6.55E+01
  20.00  1.319  3.09E+08 1.63E+08 2.32E+09 2.53E+06 7.36E+06 1.15E+07 1.47E+07 1.67E+07 1.75E+07 1.71E+07 1.59E+07 1.40E+07 1.19E+07 9.61E+06 7.47E+06 5.59E+06 4.03E+06 2.80E+06 1.88E+06 1.22E+06 7.60E+05 4.59E+05 2.68E+05 1.51E+05 8.25E+04 4.35E+04 2.22E+04 1.10E+04 5.25E+03 2.43E+03 1.09E+03 4.73E+02 1.99E+02
  22.50  1.399  2.68E+09 9.48E+08 1.39E+10 1.37E+07 4.01E+07 6.30E+07 8.08E+07 9.25E+07 9.77E+07 9.70E+07 9.13E+07 8.20E+07 7.05E+07 5.83E+07 4.63E+07 3.55E+07 2.63E+07 1.88E+07 1.30E+07 8.67E+06 5.61E+06 3.51E+06 2.13E+06 1.25E+06 7.12E+05 3.93E+05 2.10E+05 1.09E+05 5.48E+04 2.67E+04 1.26E+04 5.80E+03 2.58E+03
  25.00  1.475  1.52E+10 5.00E+09 7.57E+10 6.84E+07 2.00E+08 3.15E+08 4.06E+08 4.68E+08 4.98E+08 5.00E+08 4.76E+08 4.33E+08 3.78E+08 3.18E+08 2.57E+08 2.01E+08 1.52E+08 1.11E+08 7.88E+07 5.41E+07 3.60E+07 2.32E+07 1.45E+07 8.83E+06 5.20E+06 2.98E+06 1.66E+06 8.93E+05 4.68E+05 2.39E+05 1.18E+05 5.67E+04 2.65E+04
  30.00  1.616  5.67E+11 1.10E+11 1.76E+12 1.36E+09 3.99E+09 6.33E+09 8.23E+09 9.58E+09 1.03E+10 1.05E+10 1.02E+10 9.50E+09 8.49E+09 7.32E+09 6.10E+09 4.93E+09 3.85E+09 2.92E+09 2.15E+09 1.54E+09 1.07E+09 7.25E+08 4.77E+08 3.05E+08 1.90E+08 1.15E+08 6.81E+07 3.91E+07 2.19E+07 1.19E+07 6.34E+06 3.28E+06 1.65E+06
  40.00  1.866  2.71E+14 2.70E+13 4.64E+14 2.86E+11 8.40E+11 1.34E+12 1.76E+12 2.08E+12 2.29E+12 2.38E+12 2.37E+12 2.26E+12 2.09E+12 1.87E+12 1.62E+12 1.36E+12 1.12E+12 8.91E+11 6.93E+11 5.25E+11 3.88E+11 2.80E+11 1.97E+11 1.35E+11 9.09E+10 5.96E+10 3.82E+10 2.39E+10 1.46E+10 8.75E+09 5.11E+09 2.92E+09 1.63E+09
  50.00  2.086  3.50E+16 3.47E+15 6.33E+16 3.27E+13 9.61E+13 1.54E+14 2.04E+14 2.43E+14 2.71E+14 2.86E+14 2.89E+14 2.81E+14 2.65E+14 2.43E+14 2.16E+14 1.87E+14 1.58E+14 1.30E+14 1.05E+14 8.27E+13 6.36E+13 4.79E+13 3.53E+13 2.54E+13 1.79E+13 1.24E+13 8.38E+12 5.55E+12 3.61E+12 2.29E+12 1.43E+12 8.73E+11 5.23E+11
  60.00  2.285  2.85E+18 2.82E+17 5.40E+18 2.41E+15 7.12E+15 1.15E+16 1.52E+16 1.83E+16 2.05E+16 2.19E+16 2.24E+16 2.21E+16 2.12E+16 1.97E+16 1.79E+16 1.58E+16 1.37E+16 1.16E+16 9.55E+15 7.72E+15 6.12E+15 4.75E+15 3.61E+15 2.70E+15 1.97E+15 1.41E+15 9.96E+14 6.88E+14 4.66E+14 3.10E+14 2.02E+14 1.30E+14 8.17E+13
  70.00  2.468  1.65E+20 1.62E+19 3.23E+20 1.28E+17 3.78E+17 6.11E+17 8.15E+17 9.84E+17 1.11E+18 1.19E+18 1.23E+18 1.23E+18 1.19E+18 1.13E+18 1.04E+18 9.31E+17 8.18E+17 7.04E+17 5.94E+17 4.91E+17 3.97E+17 3.16E+17 2.46E+17 1.89E+17 1.42E+17 1.05E+17 7.61E+16 5.43E+16 3.80E+16 2.62E+16 1.77E+16 1.18E+16 7.70E+15
  80.00  2.639  7.25E+21 7.08E+20 1.46E+22 5.22E+18 1.54E+19 2.50E+19 3.35E+19 4.05E+19 4.60E+19 4.98E+19 5.18E+19 5.22E+19 5.10E+19 4.87E+19 4.53E+19 4.12E+19 3.67E+19 3.21E+19 2.75E+19 2.31E+19 1.91E+19 1.54E+19 1.23E+19 9.61E+18 7.39E+18 5.59E+18 4.15E+18 3.04E+18 2.18E+18 1.55E+18 1.08E+18 7.38E+17 4.97E+17
  90.00  2.799  2.54E+23 2.47E+22 5.25E+23 1.72E+20 5.08E+20 8.23E+20 1.10E+21 1.34E+21 1.53E+21 1.67E+21 1.74E+21 1.77E+21 1.74E+21 1.68E+21 1.58E+21 1.45E+21 1.31E+21 1.15E+21 1.00E+21 8.54E+20 7.15E+20 5.88E+20 4.76E+20 3.79E+20 2.97E+20 2.29E+20 1.73E+20 1.30E+20 9.52E+19 6.89E+19 4.91E+19 3.45E+19 2.39E+19
 100.00  2.950  7.40E+24 7.14E+23 1.56E+25 4.70E+21 1.39E+22 2.26E+22 3.04E+22 3.71E+22 4.24E+22 4.63E+22 4.87E+22 4.97E+22 4.93E+22 4.78E+22 4.53E+22 4.20E+22 3.82E+22 3.42E+22 3.00E+22 2.58E+22 2.19E+22 1.83E+22 1.50E+22 1.21E+22 9.63E+21 7.54E+21 5.82E+21 4.42E+21 3.31E+21 2.44E+21 1.78E+21 1.27E+21 8.99E+20
 110.00  3.094  1.83E+26 1.76E+25 3.93E+26 1.10E+23 3.26E+23 5.30E+23 7.15E+23 8.74E+23 1.00E+24 1.10E+24 1.16E+24 1.19E+24 1.19E+24 1.16E+24 1.11E+24 1.03E+24 9.49E+23 8.55E+23 7.58E+23 6.60E+23 5.65E+23 4.77E+23 3.96E+23 3.24E+23 2.61E+23 2.07E+23 1.62E+23 1.25E+23 9.51E+22 7.14E+22 5.28E+22 3.85E+22 2.77E+22
 120.00  3.232  3.95E+27 3.76E+26 8.61E+27 2.26E+24 6.69E+24 1.09E+25 1.47E+25 1.80E+25 2.07E+25 2.28E+25 2.42E+25 2.49E+25 2.50E+25 2.45E+25 2.35E+25 2.21E+25 2.04E+25 1.86E+25 1.66E+25 1.46E+25 1.26E+25 1.07E+25 8.99E+24 7.44E+24 6.06E+24 4.87E+24 3.86E+24 3.02E+24 2.33E+24 1.77E+24 1.33E+24 9.84E+23 7.19E+23
 130.00  3.364  7.53E+28 7.13E+27 1.66E+29 4.10E+25 1.22E+26 1.98E+26 2.68E+26 3.29E+26 3.80E+26 4.19E+26 4.46E+26 4.61E+26 4.64E+26 4.57E+26 4.41E+26 4.18E+26 3.88E+26 3.55E+26 3.19E+26 2.82E+26 2.46E+26 2.12E+26 1.79E+26 1.50E+26 1.23E+26 1.00E+26 8.02E+25 6.34E+25 4.95E+25 3.81E+25 2.90E+25 2.17E+25 1.61E+25
 140.00  3.491  1.29E+30 1.21E+29 2.88E+30 6.71E+26 1.99E+27 3.25E+27 4.40E+27 5.41E+27 6.25E+27 6.91E+27 7.38E+27 7.65E+27 7.74E+27 7.66E+27 7.42E+27 7.06E+27 6.60E+27 6.07E+27 5.50E+27 4.90E+27 4.30E+27 3.72E+27 3.18E+27 2.68E+27 2.22E+27 1.82E+27 1.48E+27 1.18E+27 9.30E+26 7.24E+26 5.57E+26 4.23E+26 3.17E+26
 150.00  3.613  2.00E+31 1.87E+30 4.52E+31 9.99E+27 2.97E+28 4.84E+28 6.56E+28 8.08E+28 9.36E+28 1.04E+29 1.11E+29 1.15E+29 1.17E+29 1.16E+29 1.13E+29 1.08E+29 1.02E+29 9.41E+28 8.56E+28 7.68E+28 6.79E+28 5.92E+28 5.09E+28 4.32E+28 3.62E+28 2.99E+28 2.44E+28 1.97E+28 1.57E+28 1.23E+28 9.58E+27 7.35E+27 5.58E+27
 160.00  3.732  2.84E+32 2.64E+31 6.49E+32 1.36E+29 4.05E+29 6.62E+29 8.98E+29 1.11E+30 1.29E+30 1.43E+30 1.53E+30 1.60E+30 1.63E+30 1.62E+30 1.58E+30 1.52E+30 1.43E+30 1.33E+30 1.22E+30 1.10E+30 9.78E+29 8.58E+29 7.43E+29 6.34E+29 5.35E+29 4.46E+29 3.67E+29 2.98E+29 2.40E+29 1.90E+29 1.49E+29 1.16E+29 8.86E+28
 170.00  3.847  3.72E+33 3.44E+32 8.59E+33 1.73E+30 5.12E+30 8.37E+30 1.14E+31 1.40E+31 1.63E+31 1.82E+31 1.95E+31 2.04E+31 2.09E+31 2.08E+31 2.04E+31 1.97E+31 1.87E+31 1.74E+31 1.60E+31 1.45E+31 1.30E+31 1.14E+31 9.96E+30 8.57E+30 7.27E+30 6.10E+30 5.06E+30 4.14E+30 3.35E+30 2.68E+30 2.12E+30 1.66E+30 1.28E+30
