                    ************************************************************************************************
                    *  Z= 40 A= 93: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 93 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   8.00  0.812  2.62E+04 2.33E+04 2.64E+05 1.11E+03 2.06E+03 2.74E+03 3.08E+03 3.09E+03 2.83E+03 2.40E+03 1.91E+03 1.41E+03 9.88E+02 6.51E+02 4.05E+02 2.38E+02 1.33E+02 7.00E+01 3.50E+01 1.66E+01 7.48E+00 3.20E+00 1.30E+00 5.01E-01 1.84E-01 6.40E-02 2.12E-02 6.67E-03 2.00E-03 5.68E-04 1.54E-04 3.96E-05 9.68E-06
   8.50  0.837  4.63E+04 4.01E+04 4.63E+05 1.85E+03 3.44E+03 4.59E+03 5.19E+03 5.25E+03 4.86E+03 4.17E+03 3.35E+03 2.52E+03 1.79E+03 1.20E+03 7.62E+02 4.58E+02 2.61E+02 1.41E+02 7.24E+01 3.53E+01 1.64E+01 7.23E+00 3.04E+00 1.21E+00 4.61E-01 1.67E-01 5.75E-02 1.89E-02 5.89E-03 1.75E-03 4.97E-04 1.34E-04 3.46E-05
   9.00  0.861  8.03E+04 6.81E+04 7.99E+05 3.04E+03 5.67E+03 7.59E+03 8.63E+03 8.79E+03 8.20E+03 7.11E+03 5.77E+03 4.41E+03 3.18E+03 2.16E+03 1.40E+03 8.55E+02 4.98E+02 2.75E+02 1.45E+02 7.24E+01 3.45E+01 1.57E+01 6.77E+00 2.79E+00 1.10E+00 4.11E-01 1.47E-01 5.00E-02 1.62E-02 5.03E-03 1.49E-03 4.20E-04 1.13E-04
   9.50  0.884  1.37E+05 1.14E+05 1.36E+06 4.93E+03 9.23E+03 1.24E+04 1.42E+04 1.45E+04 1.37E+04 1.19E+04 9.80E+03 7.57E+03 5.52E+03 3.82E+03 2.51E+03 1.56E+03 9.25E+02 5.22E+02 2.81E+02 1.44E+02 7.01E+01 3.27E+01 1.45E+01 6.15E+00 2.49E+00 9.62E-01 3.55E-01 1.25E-01 4.21E-02 1.36E-02 4.16E-03 1.22E-03 3.43E-04
  10.00  0.907  2.32E+05 1.88E+05 2.28E+06 7.92E+03 1.49E+04 2.00E+04 2.30E+04 2.37E+04 2.24E+04 1.98E+04 1.64E+04 1.28E+04 9.45E+03 6.62E+03 4.40E+03 2.79E+03 1.68E+03 9.66E+02 5.30E+02 2.77E+02 1.38E+02 6.59E+01 3.00E+01 1.31E+01 5.43E+00 2.16E+00 8.21E-01 2.99E-01 1.04E-01 3.45E-02 1.10E-02 3.34E-03 9.74E-04
  11.00  0.952  7.28E+05 4.96E+05 6.17E+06 1.98E+04 3.73E+04 5.05E+04 5.84E+04 6.08E+04 5.83E+04 5.22E+04 4.39E+04 3.50E+04 2.64E+04 1.89E+04 1.29E+04 8.41E+03 5.23E+03 3.10E+03 1.76E+03 9.56E+02 4.96E+02 2.46E+02 1.17E+02 5.34E+01 2.33E+01 9.75E+00 3.91E+00 1.50E+00 5.52E-01 1.95E-01 6.59E-02 2.14E-02 6.66E-03
  12.00  0.994  1.98E+06 1.25E+06 1.60E+07 4.77E+04 9.01E+04 1.23E+05 1.43E+05 1.50E+05 1.45E+05 1.32E+05 1.12E+05 9.10E+04 6.99E+04 5.12E+04 3.57E+04 2.38E+04 1.52E+04 9.27E+03 5.42E+03 3.04E+03 1.63E+03 8.39E+02 4.14E+02 1.96E+02 8.93E+01 3.90E+01 1.63E+01 6.58E+00 2.54E+00 9.44E-01 3.37E-01 1.15E-01 3.80E-02
  13.00  1.035  5.04E+06 3.05E+06 3.97E+07 1.11E+05 2.11E+05 2.88E+05 3.37E+05 3.57E+05 3.49E+05 3.20E+05 2.76E+05 2.27E+05 1.77E+05 1.32E+05 9.39E+04 6.39E+04 4.17E+04 2.61E+04 1.56E+04 9.00E+03 4.97E+03 2.64E+03 1.35E+03 6.61E+02 3.11E+02 1.41E+02 6.15E+01 2.58E+01 1.04E+01 4.04E+00 1.51E+00 5.42E-01 1.87E-01
  14.00  1.074  1.22E+07 7.20E+06 9.55E+07 2.52E+05 4.78E+05 6.56E+05 7.72E+05 8.22E+05 8.11E+05 7.50E+05 6.56E+05 5.45E+05 4.31E+05 3.26E+05 2.36E+05 1.64E+05 1.09E+05 6.96E+04 4.27E+04 2.52E+04 1.43E+04 7.79E+03 4.09E+03 2.07E+03 1.01E+03 4.71E+02 2.13E+02 9.24E+01 3.87E+01 1.56E+01 6.07E+00 2.27E+00 8.21E-01
  15.00  1.111  2.87E+07 1.65E+07 2.23E+08 5.57E+05 1.06E+06 1.46E+06 1.72E+06 1.84E+06 1.83E+06 1.71E+06 1.51E+06 1.27E+06 1.02E+06 7.79E+05 5.72E+05 4.03E+05 2.73E+05 1.78E+05 1.11E+05 6.71E+04 3.89E+04 2.18E+04 1.17E+04 6.08E+03 3.04E+03 1.47E+03 6.83E+02 3.06E+02 1.33E+02 5.54E+01 2.23E+01 8.68E+00 3.26E+00
