                    ************************************************************************************************
                    *  Z= 41 A= 92: Positive-Parity Spin-dependent Level Density [MeV-1] for Nb 92 and ldmodel= 1  *
 180.00  4.046  7.45E+35 6.88E+34 1.72E+36 3.44E+32 1.02E+33 1.67E+33 2.27E+33 2.80E+33 3.26E+33 3.62E+33 3.90E+33 4.08E+33 4.17E+33 4.17E+33 4.09E+33 3.94E+33 3.74E+33 3.49E+33 3.21E+33 2.91E+33 2.60E+33 2.30E+33 2.00E+33 1.72E+33 1.47E+33 1.23E+33 1.02E+33 8.37E+32 6.78E+32 5.43E+32 4.30E+32 3.37E+32 2.61E+32
 190.00  4.157  9.06E+36 8.31E+35 2.11E+37 4.04E+33 1.20E+34 1.96E+34 2.67E+34 3.30E+34 3.84E+34 4.28E+34 4.62E+34 4.84E+34 4.95E+34 4.97E+34 4.89E+34 4.73E+34 4.50E+34 4.22E+34 3.89E+34 3.55E+34 3.19E+34 2.83E+34 2.48E+34 2.14E+34 1.83E+34 1.55E+34 1.29E+34 1.07E+34 8.70E+33 7.02E+33 5.60E+33 4.42E+33 3.45E+33
 200.00  4.265  1.03E+38 9.42E+36 2.42E+38 4.47E+34 1.33E+35 2.17E+35 2.95E+35 3.66E+35 4.26E+35 4.76E+35 5.14E+35 5.39E+35 5.54E+35 5.56E+35 5.49E+35 5.33E+35 5.08E+35 4.78E+35 4.43E+35 4.05E+35 3.66E+35 3.26E+35 2.87E+35 2.50E+35 2.14E+35 1.82E+35 1.53E+35 1.27E+35 1.04E+35 8.46E+34 6.79E+34 5.40E+34 4.24E+34

                    ************************************************************************************************
                    *  Z= 41 A= 92: Negative-Parity Spin-dependent Level Density [MeV-1] for Nb 92 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.151  5.17E-01 2.07E+00 1.51E+01 1.20E-01 3.19E-01 4.21E-01 4.14E-01 3.33E-01 2.26E-01 1.32E-01 6.69E-02 2.96E-02 1.15E-02 3.92E-03 1.18E-03 3.13E-04 7.34E-05 1.52E-05 2.79E-06 4.54E-07 6.53E-08 8.32E-09 9.41E-10 9.43E-11 8.39E-12 6.62E-13 4.63E-14 2.88E-15 1.59E-16 7.78E-18 3.38E-19 1.31E-20 4.48E-22
   0.50  0.213  1.25E+00 2.94E+00 2.15E+01 1.70E-01 4.54E-01 5.98E-01 5.89E-01 4.73E-01 3.21E-01 1.88E-01 9.52E-02 4.21E-02 1.64E-02 5.58E-03 1.68E-03 4.45E-04 1.04E-04 2.17E-05 3.97E-06 6.45E-07 9.28E-08 1.18E-08 1.34E-09 1.34E-10 1.19E-11 9.42E-13 6.59E-14 4.10E-15 2.26E-16 1.11E-17 4.81E-19 1.86E-20 6.37E-22
   0.75  0.261  2.30E+00 4.18E+00 3.06E+01 2.42E-01 6.46E-01 8.51E-01 8.38E-01 6.73E-01 4.57E-01 2.67E-01 1.35E-01 5.99E-02 2.33E-02 7.94E-03 2.39E-03 6.34E-04 1.49E-04 3.08E-05 5.65E-06 9.18E-07 1.32E-07 1.68E-08 1.90E-09 1.91E-10 1.70E-11 1.34E-12 9.38E-14 5.83E-15 3.22E-16 1.57E-17 6.85E-19 2.64E-20 9.06E-22
   1.00  0.302  3.79E+00 5.95E+00 4.38E+01 3.41E-01 9.10E-01 1.20E+00 1.19E+00 9.60E-01 6.56E-01 3.86E-01 1.98E-01 8.85E-02 3.48E-02 1.20E-02 3.67E-03 9.89E-04 2.36E-04 4.99E-05 9.33E-06 1.55E-06 2.28E-07 2.98E-08 3.45E-09 3.56E-10 3.25E-11 2.64E-12 1.91E-13 1.22E-14 6.98E-16 3.54E-17 1.60E-18 6.40E-20 2.28E-21
   1.25  0.337  5.90E+00 8.47E+00 6.39E+01 4.61E-01 1.24E+00 1.66E+00 1.66E+00 1.38E+00 9.68E-01 5.90E-01 3.14E-01 1.47E-01 6.09E-02 2.23E-02 7.25E-03 2.10E-03 5.39E-04 1.23E-04 2.51E-05 4.57E-06 7.42E-07 1.08E-07 1.39E-08 1.61E-09 1.66E-10 1.53E-11 1.26E-12 9.27E-14 6.11E-15 3.59E-16 1.89E-17 8.91E-19 3.75E-20
   1.50  0.369  8.91E+00 1.20E+01 9.31E+01 6.25E-01 1.69E+00 2.28E+00 2.33E+00 1.97E+00 1.42E+00 8.92E-01 4.93E-01 2.41E-01 1.04E-01 4.03E-02 1.39E-02 4.26E-03 1.17E-03 2.89E-04 6.37E-05 1.26E-05 2.23E-06 3.55E-07 5.07E-08 6.49E-09 7.48E-10 7.73E-11 7.18E-12 5.99E-13 4.49E-14 3.03E-15 1.83E-16 9.98E-18 4.88E-19
   1.75  0.399  1.32E+01 1.71E+01 1.35E+02 8.50E-01 2.31E+00 3.14E+00 3.26E+00 2.80E+00 2.07E+00 1.34E+00 7.65E-01 3.88E-01 1.76E-01 7.10E-02 2.58E-02 8.38E-03 2.45E-03 6.45E-04 1.53E-04 3.26E-05 6.26E-06 1.08E-06 1.69E-07 2.39E-08 3.03E-09 3.48E-10 3.60E-11 3.37E-12 2.84E-13 2.17E-14 1.49E-15 9.26E-17 5.20E-18
   2.00  0.426  1.93E+01 2.44E+01 1.97E+02 1.16E+00 3.16E+00 4.34E+00 4.55E+00 3.98E+00 3.01E+00 2.00E+00 1.18E+00 6.18E-01 2.90E-01 1.23E-01 4.67E-02 1.60E-02 4.95E-03 1.38E-03 3.50E-04 7.99E-05 1.65E-05 3.09E-06 5.24E-07 8.06E-08 1.12E-08 1.42E-09 1.62E-10 1.68E-11 1.58E-12 1.35E-13 1.04E-14 7.31E-16 4.65E-17
   2.25  0.452  2.80E+01 3.47E+01 2.86E+02 1.58E+00 4.32E+00 5.99E+00 6.36E+00 5.66E+00 4.36E+00 2.96E+00 1.79E+00 9.72E-01 4.74E-01 2.08E-01 8.28E-02 2.98E-02 9.69E-03 2.86E-03 7.68E-04 1.87E-04 4.14E-05 8.32E-06 1.52E-06 2.53E-07 3.83E-08 5.27E-09 6.60E-10 7.53E-11 7.82E-12 7.39E-13 6.37E-14 4.99E-15 3.57E-16
   2.50  0.477  4.03E+01 4.93E+01 4.16E+02 2.16E+00 5.93E+00 8.28E+00 8.89E+00 8.02E+00 6.30E+00 4.37E+00 2.72E+00 1.52E+00 7.63E-01 3.48E-01 1.44E-01 5.41E-02 1.85E-02 5.74E-03 1.63E-03 4.20E-04 9.89E-05 2.12E-05 4.16E-06 7.45E-07 1.22E-07 1.82E-08 2.47E-09 3.08E-10 3.50E-11 3.64E-12 3.46E-13 3.01E-14 2.39E-15
   2.75  0.500  5.78E+01 7.02E+01 6.03E+02 2.96E+00 8.15E+00 1.14E+01 1.24E+01 1.14E+01 9.06E+00 6.43E+00 4.09E+00 2.34E+00 1.22E+00 5.74E-01 2.46E-01 9.63E-02 3.44E-02 1.12E-02 3.34E-03 9.10E-04 2.27E-04 5.18E-05 1.08E-05 2.07E-06 3.63E-07 5.84E-08 8.60E-09 1.16E-09 1.44E-10 1.63E-11 1.70E-12 1.62E-13 1.42E-14
   3.00  0.522  8.28E+01 9.98E+01 8.74E+02 4.05E+00 1.12E+01 1.58E+01 1.73E+01 1.61E+01 1.30E+01 9.41E+00 6.11E+00 3.59E+00 1.92E+00 9.34E-01 4.15E-01 1.69E-01 6.26E-02 2.13E-02 6.66E-03 1.91E-03 5.02E-04 1.21E-04 2.69E-05 5.48E-06 1.03E-06 1.77E-07 2.79E-08 4.07E-09 5.44E-10 6.70E-11 7.59E-12 7.91E-13 7.58E-14
   3.25  0.544  1.18E+02 1.42E+02 1.27E+03 5.54E+00 1.54E+01 2.19E+01 2.41E+01 2.26E+01 1.87E+01 1.37E+01 9.12E+00 5.50E+00 3.02E+00 1.52E+00 6.97E-01 2.94E-01 1.14E-01 4.05E-02 1.33E-02 3.99E-03 1.11E-03 2.83E-04 6.65E-05 1.44E-05 2.89E-06 5.32E-07 9.05E-08 1.42E-08 2.06E-09 2.75E-10 3.38E-11 3.85E-12 4.04E-13
   3.50  0.564  1.68E+02 2.00E+02 1.82E+03 7.52E+00 2.09E+01 2.99E+01 3.34E+01 3.17E+01 2.65E+01 1.98E+01 1.34E+01 8.29E+00 4.68E+00 2.42E+00 1.15E+00 5.01E-01 2.02E-01 7.48E-02 2.56E-02 8.07E-03 2.35E-03 6.33E-04 1.58E-04 3.62E-05 7.71E-06 1.52E-06 2.76E-07 4.64E-08 7.23E-09 1.04E-09 1.39E-10 1.72E-11 1.96E-12
   3.75  0.584  2.38E+02 2.80E+02 2.59E+03 1.02E+01 2.83E+01 4.08E+01 4.58E+01 4.39E+01 3.72E+01 2.83E+01 1.95E+01 1.23E+01 7.11E+00 3.77E+00 1.84E+00 8.32E-01 3.46E-01 1.33E-01 4.73E-02 1.56E-02 4.75E-03 1.34E-03 3.51E-04 8.50E-05 1.91E-05 3.98E-06 7.70E-07 1.38E-07 2.29E-08 3.54E-09 5.07E-10 6.74E-11 8.31E-12
   4.00  0.603  3.35E+02 3.88E+02 3.65E+03 1.37E+01 3.82E+01 5.52E+01 6.25E+01 6.05E+01 5.18E+01 4.00E+01 2.81E+01 1.80E+01 1.06E+01 5.79E+00 2.90E+00 1.35E+00 5.78E-01 2.30E-01 8.47E-02 2.90E-02 9.19E-03 2.71E-03 7.41E-04 1.88E-04 4.45E-05 9.78E-06 2.00E-06 3.79E-07 6.69E-08 1.10E-08 1.68E-09 2.38E-10 3.15E-11
   4.25  0.622  4.69E+02 5.36E+02 5.12E+03 1.83E+01 5.12E+01 7.44E+01 8.47E+01 8.27E+01 7.16E+01 5.60E+01 3.99E+01 2.61E+01 1.57E+01 8.72E+00 4.48E+00 2.13E+00 9.42E-01 3.86E-01 1.47E-01 5.21E-02 1.71E-02 5.25E-03 1.50E-03 3.98E-04 9.83E-05 2.26E-05 4.86E-06 9.71E-07 1.81E-07 3.14E-08 5.09E-09 7.68E-10 1.08E-10
   4.50  0.640  6.53E+02 7.35E+02 7.13E+03 2.44E+01 6.83E+01 9.97E+01 1.14E+02 1.12E+02 9.83E+01 7.78E+01 5.63E+01 3.74E+01 2.29E+01 1.30E+01 6.81E+00 3.32E+00 1.50E+00 6.34E-01 2.49E-01 9.09E-02 3.09E-02 9.83E-03 2.91E-03 8.04E-04 2.07E-04 4.99E-05 1.12E-05 2.35E-06 4.60E-07 8.41E-08 1.44E-08 2.29E-09 3.42E-10
   4.75  0.657  9.04E+02 1.00E+03 9.86E+03 3.23E+01 9.09E+01 1.33E+02 1.53E+02 1.52E+02 1.34E+02 1.07E+02 7.86E+01 5.29E+01 3.30E+01 1.90E+01 1.02E+01 5.08E+00 2.36E+00 1.02E+00 4.11E-01 1.55E-01 5.43E-02 1.78E-02 5.46E-03 1.57E-03 4.19E-04 1.05E-04 2.46E-05 5.39E-06 1.10E-06 2.12E-07 3.80E-08 6.38E-09 1.00E-09
   5.00  0.674  1.24E+03 1.36E+03 1.35E+04 4.27E+01 1.20E+02 1.77E+02 2.04E+02 2.04E+02 1.82E+02 1.47E+02 1.09E+02 7.43E+01 4.70E+01 2.76E+01 1.51E+01 7.65E+00 3.63E+00 1.61E+00 6.65E-01 2.57E-01 9.29E-02 3.14E-02 9.95E-03 2.95E-03 8.18E-04 2.13E-04 5.18E-05 1.18E-05 2.53E-06 5.06E-07 9.51E-08 1.67E-08 2.76E-09
   5.50  0.707  2.48E+03 2.47E+03 2.52E+04 7.37E+01 2.08E+02 3.08E+02 3.60E+02 3.63E+02 3.28E+02 2.70E+02 2.05E+02 1.43E+02 9.30E+01 5.62E+01 3.17E+01 1.67E+01 8.25E+00 3.81E+00 1.65E+00 6.69E-01 2.55E-01 9.10E-02 3.05E-02 9.61E-03 2.84E-03 7.89E-04 2.06E-04 5.06E-05 1.17E-05 2.53E-06 5.15E-07 9.87E-08 1.78E-08
   6.00  0.739  4.67E+03 4.39E+03 4.58E+04 1.26E+02 3.55E+02 5.28E+02 6.22E+02 6.35E+02 5.82E+02 4.86E+02 3.75E+02 2.68E+02 1.78E+02 1.11E+02 6.43E+01 3.50E+01 1.79E+01 8.56E+00 3.85E+00 1.63E+00 6.49E-01 2.43E-01 8.58E-02 2.85E-02 8.90E-03 2.62E-03 7.27E-04 1.90E-04 4.68E-05 1.09E-05 2.38E-06 4.91E-07 9.54E-08
   6.50  0.769  8.51E+03 7.68E+03 8.18E+04 2.11E+02 5.99E+02 8.93E+02 1.06E+03 1.09E+03 1.01E+03 8.58E+02 6.72E+02 4.89E+02 3.32E+02 2.11E+02 1.26E+02 7.05E+01 3.71E+01 1.84E+01 8.56E+00 3.76E+00 1.56E+00 6.09E-01 2.24E-01 7.80E-02 2.56E-02 7.93E-03 2.32E-03 6.42E-04 1.68E-04 4.13E-05 9.63E-06 2.12E-06 4.42E-07
   7.00  0.798  1.51E+04 1.32E+04 1.44E+05 3.50E+02 9.96E+02 1.49E+03 1.78E+03 1.85E+03 1.73E+03 1.49E+03 1.18E+03 8.75E+02 6.06E+02 3.93E+02 2.40E+02 1.38E+02 7.44E+01 3.79E+01 1.82E+01 8.28E+00 3.55E+00 1.44E+00 5.52E-01 2.00E-01 6.86E-02 2.23E-02 6.83E-03 1.99E-03 5.46E-04 1.42E-04 3.50E-05 8.18E-06 1.81E-06
   7.50  0.826  2.64E+04 2.25E+04 2.49E+05 5.74E+02 1.64E+03 2.46E+03 2.95E+03 3.09E+03 2.92E+03 2.54E+03 2.04E+03 1.54E+03 1.08E+03 7.15E+02 4.45E+02 2.61E+02 1.45E+02 7.57E+01 3.74E+01 1.75E+01 7.75E+00 3.25E+00 1.29E+00 4.86E-01 1.73E-01 5.85E-02 1.88E-02 5.70E-03 1.64E-03 4.49E-04 1.16E-04 2.86E-05 6.67E-06
   8.00  0.853  4.53E+04 3.78E+04 4.25E+05 9.33E+02 2.66E+03 4.02E+03 4.85E+03 5.11E+03 4.87E+03 4.27E+03 3.48E+03 2.65E+03 1.89E+03 1.27E+03 8.08E+02 4.84E+02 2.74E+02 1.47E+02 7.44E+01 3.58E+01 1.63E+01 7.05E+00 2.89E+00 1.12E+00 4.15E-01 1.46E-01 4.85E-02 1.54E-02 4.61E-03 1.32E-03 3.57E-04 9.21E-05 2.26E-05
   8.50  0.879  7.66E+04 6.27E+04 7.16E+05 1.50E+03 4.29E+03 6.49E+03 7.87E+03 8.34E+03 8.01E+03 7.09E+03 5.84E+03 4.50E+03 3.26E+03 2.23E+03 1.44E+03 8.77E+02 5.06E+02 2.77E+02 1.44E+02 7.09E+01 3.32E+01 1.47E+01 6.22E+00 2.50E+00 9.52E-01 3.45E-01 1.19E-01 3.91E-02 1.22E-02 3.63E-03 1.03E-03 2.76E-04 7.08E-05
   9.00  0.905  1.28E+05 1.03E+05 1.19E+06 2.39E+03 6.84E+03 1.04E+04 1.26E+04 1.35E+04 1.30E+04 1.16E+04 9.68E+03 7.55E+03 5.54E+03 3.84E+03 2.51E+03 1.56E+03 9.17E+02 5.12E+02 2.71E+02 1.37E+02 6.55E+01 2.98E+01 1.29E+01 5.34E+00 2.10E+00 7.85E-01 2.80E-01 9.50E-02 3.07E-02 9.47E-03 2.78E-03 7.79E-04 2.08E-04
   9.50  0.929  2.12E+05 1.67E+05 1.96E+06 3.78E+03 1.08E+04 1.65E+04 2.01E+04 2.16E+04 2.10E+04 1.89E+04 1.59E+04 1.25E+04 9.28E+03 6.51E+03 4.32E+03 2.72E+03 1.63E+03 9.26E+02 5.00E+02 2.57E+02 1.26E+02 5.88E+01 2.61E+01 1.11E+01 4.47E+00 1.72E+00 6.32E-01 2.21E-01 7.39E-02 2.36E-02 7.16E-03 2.08E-03 5.76E-04
  10.00  0.954  3.46E+05 2.69E+05 3.20E+06 5.92E+03 1.70E+04 2.59E+04 3.17E+04 3.42E+04 3.35E+04 3.04E+04 2.57E+04 2.04E+04 1.53E+04 1.09E+04 7.33E+03 4.68E+03 2.84E+03 1.64E+03 9.05E+02 4.74E+02 2.37E+02 1.13E+02 5.14E+01 2.23E+01 9.23E+00 3.65E+00 1.38E+00 4.96E-01 1.71E-01 5.61E-02 1.76E-02 5.29E-03 1.52E-03
  11.00  1.000  1.02E+06 6.77E+05 8.27E+06 1.42E+04 4.08E+04 6.25E+04 7.72E+04 8.38E+04 8.30E+04 7.62E+04 6.55E+04 5.30E+04 4.05E+04 2.94E+04 2.03E+04 1.33E+04 8.29E+03 4.94E+03 2.81E+03 1.52E+03 7.89E+02 3.91E+02 1.85E+02 8.38E+01 3.63E+01 1.50E+01 5.96E+00 2.26E+00 8.21E-01 2.85E-01 9.49E-02 3.02E-02 9.23E-03
  12.00  1.045  2.68E+06 1.65E+06 2.07E+07 3.31E+04 9.54E+04 1.47E+05 1.82E+05 1.99E+05 1.99E+05 1.85E+05 1.61E+05 1.32E+05 1.03E+05 7.60E+04 5.34E+04 3.58E+04 2.29E+04 1.40E+04 8.19E+03 4.58E+03 2.45E+03 1.25E+03 6.15E+02 2.89E+02 1.30E+02 5.62E+01 2.33E+01 9.23E+00 3.51E+00 1.28E+00 4.48E-01 1.50E-01 4.85E-02
  13.00  1.087  6.60E+06 3.92E+06 5.00E+07 7.54E+04 2.18E+05 3.36E+05 4.19E+05 4.61E+05 4.65E+05 4.35E+05 3.83E+05 3.19E+05 2.52E+05 1.89E+05 1.36E+05 9.27E+04 6.06E+04 3.79E+04 2.27E+04 1.30E+04 7.17E+03 3.78E+03 1.91E+03 9.29E+02 4.33E+02 1.94E+02 8.33E+01 3.44E+01 1.36E+01 5.19E+00 1.90E+00 6.67E-01 2.25E-01
  14.00  1.128  1.57E+07 9.07E+06 1.18E+08 1.68E+05 4.85E+05 7.50E+05 9.39E+05 1.04E+06 1.06E+06 9.99E+05 8.88E+05 7.48E+05 5.98E+05 4.56E+05 3.32E+05 2.31E+05 1.54E+05 9.83E+04 6.02E+04 3.54E+04 1.99E+04 1.08E+04 5.62E+03 2.81E+03 1.35E+03 6.24E+02 2.77E+02 1.19E+02 4.87E+01 1.93E+01 7.34E+00 2.69E+00 9.47E-01
  15.00  1.168  3.61E+07 2.05E+07 2.71E+08 3.65E+05 1.06E+06 1.64E+06 2.06E+06 2.30E+06 2.34E+06 2.24E+06 2.01E+06 1.71E+06 1.38E+06 1.07E+06 7.88E+05 5.57E+05 3.78E+05 2.46E+05 1.53E+05 9.20E+04 5.31E+04 2.94E+04 1.57E+04 8.06E+03 3.98E+03 1.89E+03 8.67E+02 3.83E+02 1.63E+02 6.65E+01 2.62E+01 9.96E+00 3.65E+00
  16.00  1.206  8.13E+07 4.52E+07 6.08E+08 7.79E+05 2.26E+06 3.51E+06 4.43E+06 4.96E+06 5.10E+06 4.89E+06 4.43E+06 3.80E+06 3.11E+06 2.43E+06 1.82E+06 1.31E+06 8.98E+05 5.94E+05 3.78E+05 2.31E+05 1.36E+05 7.70E+04 4.20E+04 2.21E+04 1.12E+04 5.46E+03 2.57E+03 1.17E+03 5.10E+02 2.15E+02 8.77E+01 3.44E+01 1.30E+01
  17.00  1.243  1.79E+08 9.77E+07 1.34E+09 1.63E+06 4.74E+06 7.39E+06 9.35E+06 1.05E+07 1.09E+07 1.05E+07 9.57E+06 8.29E+06 6.85E+06 5.41E+06 4.10E+06 2.98E+06 2.08E+06 1.39E+06 9.01E+05 5.60E+05 3.36E+05 1.94E+05 1.08E+05 5.80E+04 3.01E+04 1.50E+04 7.25E+03 3.38E+03 1.52E+03 6.59E+02 2.76E+02 1.12E+02 4.37E+01
  18.00  1.279  3.87E+08 2.08E+08 2.88E+09 3.37E+06 9.78E+06 1.53E+07 1.94E+07 2.19E+07 2.27E+07 2.21E+07 2.03E+07 1.77E+07 1.48E+07 1.18E+07 9.02E+06 6.63E+06 4.69E+06 3.19E+06 2.09E+06 1.32E+06 8.05E+05 4.74E+05 2.69E+05 1.47E+05 7.79E+04 3.98E+04 1.96E+04 9.36E+03 4.32E+03 1.92E+03 8.27E+02 3.44E+02 1.38E+02
  19.00  1.314  8.20E+08 4.33E+08 6.10E+09 6.84E+06 1.99E+07 3.11E+07 3.96E+07 4.48E+07 4.68E+07 4.57E+07 4.22E+07 3.71E+07 3.12E+07 2.51E+07 1.94E+07 1.44E+07 1.03E+07 7.12E+06 4.73E+06 3.03E+06 1.88E+06 1.12E+06 6.48E+05 3.61E+05 1.95E+05 1.02E+05 5.12E+04 2.49E+04 1.18E+04 5.36E+03 2.36E+03 1.01E+03 4.17E+02
  20.00  1.349  1.71E+09 8.90E+08 1.27E+10 1.37E+07 3.98E+07 6.23E+07 7.95E+07 9.04E+07 9.47E+07 9.30E+07 8.65E+07 7.66E+07 6.48E+07 5.26E+07 4.11E+07 3.08E+07 2.23E+07 1.55E+07 1.05E+07 6.80E+06 4.27E+06 2.59E+06 1.52E+06 8.61E+05 4.73E+05 2.51E+05 1.29E+05 6.41E+04 3.09E+04 1.44E+04 6.49E+03 2.83E+03 1.20E+03
  22.50  1.430  1.43E+10 5.04E+09 7.42E+10 7.29E+07 2.12E+08 3.34E+08 4.29E+08 4.91E+08 5.19E+08 5.15E+08 4.85E+08 4.36E+08 3.75E+08 3.10E+08 2.47E+08 1.90E+08 1.40E+08 1.00E+08 6.95E+07 4.65E+07 3.01E+07 1.89E+07 1.15E+07 6.75E+06 3.85E+06 2.13E+06 1.14E+06 5.93E+05 2.99E+05 1.46E+05 6.92E+04 3.18E+04 1.42E+04
  25.00  1.508  8.01E+10 2.63E+10 3.98E+11 3.60E+08 1.05E+09 1.66E+09 2.14E+09 2.46E+09 2.62E+09 2.63E+09 2.50E+09 2.28E+09 1.99E+09 1.67E+09 1.35E+09 1.06E+09 7.99E+08 5.84E+08 4.14E+08 2.84E+08 1.89E+08 1.22E+08 7.61E+07 4.62E+07 2.72E+07 1.56E+07 8.64E+06 4.66E+06 2.44E+06 1.24E+06 6.14E+05 2.95E+05 1.38E+05
  30.00  1.652  3.00E+12 5.83E+11 9.25E+12 7.26E+09 2.12E+10 3.37E+10 4.38E+10 5.09E+10 5.49E+10 5.59E+10 5.41E+10 5.02E+10 4.48E+10 3.86E+10 3.21E+10 2.59E+10 2.02E+10 1.53E+10 1.12E+10 8.02E+09 5.56E+09 3.75E+09 2.46E+09 1.57E+09 9.74E+08 5.88E+08 3.46E+08 1.98E+08 1.10E+08 5.99E+07 3.17E+07 1.63E+07 8.18E+06
  40.00  1.907  1.52E+15 1.51E+14 2.59E+15 1.63E+12 4.77E+12 7.62E+12 1.00E+13 1.18E+13 1.29E+13 1.34E+13 1.33E+13 1.27E+13 1.17E+13 1.04E+13 9.03E+12 7.58E+12 6.19E+12 4.92E+12 3.81E+12 2.87E+12 2.11E+12 1.52E+12 1.06E+12 7.26E+11 4.84E+11 3.16E+11 2.01E+11 1.25E+11 7.60E+10 4.51E+10 2.62E+10 1.49E+10 8.24E+09
  50.00  2.132  2.13E+17 2.11E+16 3.82E+17 2.02E+14 5.95E+14 9.54E+14 1.26E+15 1.50E+15 1.67E+15 1.76E+15 1.77E+15 1.72E+15 1.62E+15 1.48E+15 1.31E+15 1.13E+15 9.53E+14 7.82E+14 6.27E+14 4.91E+14 3.76E+14 2.81E+14 2.06E+14 1.48E+14 1.03E+14 7.10E+13 4.77E+13 3.14E+13 2.02E+13 1.28E+13 7.88E+12 4.77E+12 2.83E+12
  60.00  2.336  1.90E+19 1.88E+18 3.56E+19 1.64E+16 4.82E+16 7.76E+16 1.03E+17 1.24E+17 1.38E+17 1.47E+17 1.50E+17 1.48E+17 1.42E+17 1.31E+17 1.19E+17 1.05E+17 9.01E+16 7.58E+16 6.23E+16 5.02E+16 3.95E+16 3.05E+16 2.31E+16 1.71E+16 1.24E+16 8.86E+15 6.19E+15 4.24E+15 2.85E+15 1.88E+15 1.22E+15 7.74E+14 4.83E+14
  70.00  2.523  1.20E+21 1.18E+20 2.32E+21 9.50E+17 2.80E+18 4.52E+18 6.03E+18 7.27E+18 8.20E+18 8.80E+18 9.06E+18 9.03E+18 8.72E+18 8.21E+18 7.52E+18 6.74E+18 5.90E+18 5.05E+18 4.24E+18 3.49E+18 2.81E+18 2.22E+18 1.72E+18 1.31E+18 9.79E+17 7.18E+17 5.18E+17 3.66E+17 2.55E+17 1.74E+17 1.17E+17 7.69E+16 4.98E+16
  80.00  2.697  5.73E+22 5.61E+21 1.15E+23 4.23E+19 1.25E+20 2.02E+20 2.70E+20 3.27E+20 3.71E+20 4.00E+20 4.15E+20 4.17E+20 4.07E+20 3.87E+20 3.59E+20 3.26E+20 2.89E+20 2.51E+20 2.14E+20 1.79E+20 1.47E+20 1.18E+20 9.38E+19 7.29E+19 5.57E+19 4.18E+19 3.09E+19 2.24E+19 1.60E+19 1.12E+19 7.75E+18 5.27E+18 3.52E+18
  90.00  2.861  2.19E+24 2.13E+23 4.48E+24 1.51E+21 4.47E+21 7.24E+21 9.71E+21 1.18E+22 1.34E+22 1.46E+22 1.52E+22 1.54E+22 1.51E+22 1.45E+22 1.36E+22 1.25E+22 1.12E+22 9.85E+21 8.51E+21 7.22E+21 6.01E+21 4.92E+21 3.96E+21 3.13E+21 2.44E+21 1.87E+21 1.41E+21 1.04E+21 7.60E+20 5.46E+20 3.86E+20 2.69E+20 1.84E+20
 100.00  3.015  6.89E+25 6.68E+24 1.44E+26 4.49E+22 1.33E+23 2.16E+23 2.90E+23 3.53E+23 4.03E+23 4.40E+23 4.62E+23 4.70E+23 4.65E+23 4.49E+23 4.24E+23 3.92E+23 3.56E+23 3.16E+23 2.76E+23 2.37E+23 2.00E+23 1.66E+23 1.35E+23 1.09E+23 8.59E+22 6.69E+22 5.12E+22 3.87E+22 2.87E+22 2.10E+22 1.52E+22 1.08E+22 7.55E+21
 110.00  3.163  1.85E+27 1.78E+26 3.93E+27 1.14E+24 3.37E+24 5.48E+24 7.38E+24 9.01E+24 1.03E+25 1.13E+25 1.19E+25 1.22E+25 1.21E+25 1.18E+25 1.12E+25 1.05E+25 9.56E+24 8.58E+24 7.57E+24 6.56E+24 5.59E+24 4.69E+24 3.88E+24 3.15E+24 2.52E+24 1.99E+24 1.55E+24 1.19E+24 8.96E+23 6.67E+23 4.89E+23 3.54E+23 2.53E+23
 120.00  3.303  4.29E+28 4.11E+27 9.29E+28 2.52E+25 7.46E+25 1.21E+26 1.64E+26 2.00E+26 2.30E+26 2.53E+26 2.68E+26 2.75E+26 2.75E+26 2.69E+26 2.57E+26 2.41E+26 2.22E+26 2.01E+26 1.79E+26 1.56E+26 1.35E+26 1.14E+26 9.52E+25 7.83E+25 6.34E+25 5.07E+25 3.99E+25 3.10E+25 2.37E+25 1.79E+25 1.33E+25 9.80E+24 7.10E+24
 130.00  3.438  8.80E+29 8.37E+28 1.93E+30 4.93E+26 1.46E+27 2.38E+27 3.22E+27 3.94E+27 4.54E+27 5.00E+27 5.32E+27 5.48E+27 5.51E+27 5.41E+27 5.21E+27 4.91E+27 4.55E+27 4.14E+27 3.71E+27 3.27E+27 2.84E+27 2.43E+27 2.05E+27 1.70E+27 1.39E+27 1.12E+27 8.94E+26 7.02E+26 5.44E+26 4.16E+26 3.14E+26 2.34E+26 1.72E+26
 140.00  3.568  1.62E+31 1.53E+30 3.59E+31 8.67E+27 2.57E+28 4.19E+28 5.67E+28 6.97E+28 8.04E+28 8.88E+28 9.46E+28 9.79E+28 9.88E+28 9.75E+28 9.42E+28 8.94E+28 8.33E+28 7.63E+28 6.88E+28 6.10E+28 5.34E+28 4.60E+28 3.91E+28 3.27E+28 2.70E+28 2.20E+28 1.77E+28 1.41E+28 1.10E+28 8.52E+27 6.51E+27 4.91E+27 3.65E+27
