                    ************************************************************************************************
                    *  Z= 50 A=121: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn121 and ldmodel= 1  *
   4.25  0.523  9.30E+02 1.17E+03 1.31E+04 5.69E+01 1.06E+02 1.40E+02 1.57E+02 1.56E+02 1.42E+02 1.20E+02 9.42E+01 6.93E+01 4.79E+01 3.11E+01 1.91E+01 1.11E+01 6.07E+00 3.15E+00 1.55E+00 7.20E-01 3.18E-01 1.33E-01 5.28E-02 1.99E-02 7.10E-03 2.41E-03 7.76E-04 2.37E-04 6.89E-05 1.90E-05 4.98E-06 1.24E-06 2.93E-07
   4.50  0.538  1.36E+03 1.70E+03 1.94E+04 8.02E+01 1.49E+02 1.98E+02 2.23E+02 2.25E+02 2.07E+02 1.76E+02 1.40E+02 1.04E+02 7.32E+01 4.85E+01 3.03E+01 1.79E+01 1.01E+01 5.34E+00 2.69E+00 1.29E+00 5.85E-01 2.52E-01 1.03E-01 4.03E-02 1.49E-02 5.26E-03 1.76E-03 5.60E-04 1.70E-04 4.89E-05 1.34E-05 3.50E-06 8.70E-07
   4.75  0.552  1.97E+03 2.47E+03 2.87E+04 1.13E+02 2.11E+02 2.82E+02 3.19E+02 3.23E+02 2.99E+02 2.58E+02 2.07E+02 1.57E+02 1.11E+02 7.50E+01 4.78E+01 2.88E+01 1.65E+01 8.97E+00 4.63E+00 2.27E+00 1.06E+00 4.71E-01 1.99E-01 7.99E-02 3.06E-02 1.12E-02 3.88E-03 1.28E-03 4.04E-04 1.21E-04 3.47E-05 9.47E-06 2.46E-06
   5.00  0.567  2.87E+03 3.60E+03 4.24E+04 1.60E+02 2.99E+02 4.00E+02 4.55E+02 4.64E+02 4.33E+02 3.77E+02 3.06E+02 2.34E+02 1.69E+02 1.16E+02 7.48E+01 4.60E+01 2.68E+01 1.49E+01 7.86E+00 3.95E+00 1.89E+00 8.63E-01 3.75E-01 1.55E-01 6.14E-02 2.31E-02 8.31E-03 2.85E-03 9.32E-04 2.91E-04 8.66E-05 2.46E-05 6.68E-06
   5.50  0.594  6.69E+03 7.64E+03 9.26E+04 3.19E+02 5.99E+02 8.08E+02 9.27E+02 9.56E+02 9.07E+02 8.02E+02 6.65E+02 5.21E+02 3.86E+02 2.71E+02 1.81E+02 1.15E+02 6.95E+01 4.01E+01 2.20E+01 1.16E+01 5.80E+00 2.78E+00 1.27E+00 5.56E-01 2.33E-01 9.31E-02 3.56E-02 1.30E-02 4.56E-03 1.53E-03 4.89E-04 1.50E-04 4.40E-05
   6.00  0.621  1.47E+04 1.60E+04 2.00E+05 6.36E+02 1.20E+03 1.62E+03 1.88E+03 1.96E+03 1.88E+03 1.69E+03 1.42E+03 1.13E+03 8.58E+02 6.17E+02 4.23E+02 2.76E+02 1.72E+02 1.03E+02 5.84E+01 3.18E+01 1.66E+01 8.28E+00 3.96E+00 1.81E+00 7.95E-01 3.34E-01 1.35E-01 5.21E-02 1.93E-02 6.85E-03 2.33E-03 7.63E-04 2.39E-04
   6.50  0.646  3.11E+04 3.27E+04 4.17E+05 1.24E+03 2.34E+03 3.18E+03 3.71E+03 3.89E+03 3.78E+03 3.43E+03 2.94E+03 2.38E+03 1.83E+03 1.34E+03 9.41E+02 6.29E+02 4.02E+02 2.46E+02 1.45E+02 8.12E+01 4.38E+01 2.26E+01 1.12E+01 5.34E+00 2.44E+00 1.07E+00 4.51E-01 1.83E-01 7.10E-02 2.65E-02 9.52E-03 3.28E-03 1.09E-03
   7.00  0.671  6.35E+04 6.49E+04 8.46E+05 2.35E+03 4.45E+03 6.09E+03 7.13E+03 7.55E+03 7.39E+03 6.78E+03 5.88E+03 4.83E+03 3.78E+03 2.82E+03 2.01E+03 1.37E+03 8.98E+02 5.63E+02 3.39E+02 1.96E+02 1.09E+02 5.78E+01 2.96E+01 1.46E+01 6.91E+00 3.14E+00 1.38E+00 5.80E-01 2.35E-01 9.18E-02 3.45E-02 1.25E-02 4.33E-03
   7.50  0.694  1.26E+05 1.26E+05 1.67E+06 4.38E+03 8.30E+03 1.14E+04 1.34E+04 1.43E+04 1.41E+04 1.31E+04 1.15E+04 9.53E+03 7.56E+03 5.73E+03 4.15E+03 2.89E+03 1.93E+03 1.23E+03 7.59E+02 4.49E+02 2.55E+02 1.40E+02 7.36E+01 3.73E+01 1.82E+01 8.58E+00 3.89E+00 1.70E+00 7.14E-01 2.89E-01 1.13E-01 4.26E-02 1.55E-02
   8.00  0.717  2.45E+05 2.38E+05 3.22E+06 8.00E+03 1.52E+04 2.09E+04 2.48E+04 2.65E+04 2.64E+04 2.46E+04 2.18E+04 1.83E+04 1.47E+04 1.13E+04 8.32E+03 5.88E+03 3.99E+03 2.60E+03 1.63E+03 9.87E+02 5.74E+02 3.22E+02 1.74E+02 9.05E+01 4.55E+01 2.20E+01 1.03E+01 4.63E+00 2.01E+00 8.45E-01 3.42E-01 1.34E-01 5.04E-02
   8.50  0.739  4.66E+05 4.42E+05 6.09E+06 1.44E+04 2.73E+04 3.77E+04 4.48E+04 4.83E+04 4.83E+04 4.55E+04 4.06E+04 3.44E+04 2.80E+04 2.17E+04 1.62E+04 1.16E+04 8.01E+03 5.31E+03 3.40E+03 2.09E+03 1.24E+03 7.11E+02 3.93E+02 2.10E+02 1.08E+02 5.36E+01 2.57E+01 1.19E+01 5.34E+00 2.31E+00 9.65E-01 3.90E-01 1.52E-01
   9.00  0.760  8.69E+05 8.05E+05 1.13E+07 2.54E+04 4.84E+04 6.70E+04 7.98E+04 8.64E+04 8.69E+04 8.24E+04 7.41E+04 6.35E+04 5.20E+04 4.09E+04 3.09E+04 2.24E+04 1.57E+04 1.06E+04 6.86E+03 4.30E+03 2.60E+03 1.52E+03 8.55E+02 4.66E+02 2.45E+02 1.25E+02 6.14E+01 2.92E+01 1.34E+01 5.97E+00 2.57E+00 1.07E+00 4.29E-01
   9.50  0.781  1.59E+06 1.44E+06 2.05E+07 4.42E+04 8.43E+04 1.17E+05 1.40E+05 1.52E+05 1.54E+05 1.47E+05 1.33E+05 1.15E+05 9.49E+04 7.54E+04 5.75E+04 4.23E+04 2.99E+04 2.04E+04 1.35E+04 8.57E+03 5.27E+03 3.13E+03 1.80E+03 1.00E+03 5.37E+02 2.79E+02 1.40E+02 6.83E+01 3.22E+01 1.47E+01 6.48E+00 2.77E+00 1.15E+00
  10.00  0.802  2.87E+06 2.55E+06 3.68E+07 7.59E+04 1.45E+05 2.02E+05 2.42E+05 2.64E+05 2.68E+05 2.57E+05 2.35E+05 2.04E+05 1.70E+05 1.36E+05 1.05E+05 7.81E+04 5.60E+04 3.87E+04 2.59E+04 1.67E+04 1.04E+04 6.29E+03 3.68E+03 2.08E+03 1.14E+03 6.03E+02 3.10E+02 1.54E+02 7.41E+01 3.46E+01 1.56E+01 6.85E+00 2.91E+00
  11.00  0.841  1.05E+07 7.64E+06 1.13E+08 2.16E+05 4.13E+05 5.77E+05 6.96E+05 7.65E+05 7.84E+05 7.59E+05 7.00E+05 6.17E+05 5.22E+05 4.25E+05 3.34E+05 2.53E+05 1.85E+05 1.31E+05 8.94E+04 5.92E+04 3.80E+04 2.36E+04 1.42E+04 8.28E+03 4.69E+03 2.57E+03 1.37E+03 7.06E+02 3.54E+02 1.72E+02 8.10E+01 3.71E+01 1.65E+01
  12.00  0.878  3.23E+07 2.18E+07 3.30E+08 5.87E+05 1.13E+06 1.58E+06 1.91E+06 2.12E+06 2.18E+06 2.13E+06 1.99E+06 1.77E+06 1.52E+06 1.25E+06 9.98E+05 7.68E+05 5.72E+05 4.12E+05 2.88E+05 1.95E+05 1.28E+05 8.14E+04 5.03E+04 3.01E+04 1.75E+04 9.91E+03 5.44E+03 2.90E+03 1.50E+03 7.56E+02 3.70E+02 1.76E+02 8.11E+01
  13.00  0.914  9.18E+07 5.95E+07 9.21E+08 1.54E+06 2.96E+06 4.15E+06 5.05E+06 5.61E+06 5.83E+06 5.74E+06 5.39E+06 4.85E+06 4.21E+06 3.51E+06 2.84E+06 2.21E+06 1.67E+06 1.23E+06 8.72E+05 6.02E+05 4.03E+05 2.62E+05 1.65E+05 1.02E+05 6.06E+04 3.51E+04 1.98E+04 1.09E+04 5.79E+03 3.00E+03 1.52E+03 7.45E+02 3.56E+02
  14.00  0.948  2.48E+08 1.56E+08 2.47E+09 3.89E+06 7.49E+06 1.05E+07 1.29E+07 1.44E+07 1.50E+07 1.49E+07 1.41E+07 1.28E+07 1.12E+07 9.44E+06 7.71E+06 6.10E+06 4.67E+06 3.48E+06 2.51E+06 1.76E+06 1.20E+06 7.95E+05 5.12E+05 3.21E+05 1.96E+05 1.16E+05 6.70E+04 3.77E+04 2.06E+04 1.10E+04 5.70E+03 2.88E+03 1.42E+03
  15.00  0.982  6.46E+08 3.97E+08 6.39E+09 9.53E+06 1.84E+07 2.60E+07 3.18E+07 3.56E+07 3.74E+07 3.73E+07 3.55E+07 3.25E+07 2.87E+07 2.44E+07 2.02E+07 1.61E+07 1.25E+07 9.43E+06 6.90E+06 4.91E+06 3.40E+06 2.29E+06 1.50E+06 9.59E+05 5.96E+05 3.61E+05 2.13E+05 1.22E+05 6.85E+04 3.74E+04 1.99E+04 1.03E+04 5.21E+03
  16.00  1.014  1.63E+09 9.80E+08 1.60E+10 2.27E+07 4.39E+07 6.21E+07 7.62E+07 8.57E+07 9.04E+07 9.06E+07 8.68E+07 8.00E+07 7.11E+07 6.12E+07 5.09E+07 4.11E+07 3.23E+07 2.46E+07 1.82E+07 1.32E+07 9.24E+06 6.32E+06 4.21E+06 2.73E+06 1.73E+06 1.07E+06 6.41E+05 3.75E+05 2.15E+05 1.20E+05 6.51E+04 3.45E+04 1.79E+04
  17.00  1.045  3.98E+09 2.35E+09 3.91E+10 5.28E+07 1.02E+08 1.45E+08 1.78E+08 2.01E+08 2.13E+08 2.14E+08 2.06E+08 1.91E+08 1.71E+08 1.49E+08 1.25E+08 1.02E+08 8.06E+07 6.21E+07 4.66E+07 3.40E+07 2.42E+07 1.68E+07 1.13E+07 7.46E+06 4.79E+06 3.00E+06 1.84E+06 1.10E+06 6.39E+05 3.63E+05 2.02E+05 1.09E+05 5.78E+04
  18.00  1.075  9.47E+09 5.49E+09 9.27E+10 1.20E+08 2.32E+08 3.29E+08 4.07E+08 4.60E+08 4.89E+08 4.94E+08 4.79E+08 4.46E+08 4.02E+08 3.51E+08 2.97E+08 2.44E+08 1.95E+08 1.52E+08 1.15E+08 8.50E+07 6.11E+07 4.29E+07 2.94E+07 1.96E+07 1.28E+07 8.13E+06 5.05E+06 3.07E+06 1.82E+06 1.05E+06 5.94E+05 3.28E+05 1.77E+05
  19.00  1.105  2.20E+10 1.26E+10 2.15E+11 2.67E+08 5.16E+08 7.34E+08 9.08E+08 1.03E+09 1.10E+09 1.11E+09 1.08E+09 1.02E+09 9.21E+08 8.09E+08 6.90E+08 5.71E+08 4.61E+08 3.61E+08 2.76E+08 2.06E+08 1.50E+08 1.06E+08 7.37E+07 4.99E+07 3.29E+07 2.12E+07 1.34E+07 8.24E+06 4.96E+06 2.92E+06 1.68E+06 9.42E+05 5.17E+05
  20.00  1.134  5.01E+10 2.81E+10 4.87E+11 5.81E+08 1.13E+09 1.60E+09 1.99E+09 2.26E+09 2.42E+09 2.46E+09 2.41E+09 2.27E+09 2.06E+09 1.82E+09 1.56E+09 1.31E+09 1.06E+09 8.39E+08 6.47E+08 4.87E+08 3.58E+08 2.57E+08 1.80E+08 1.23E+08 8.22E+07 5.37E+07 3.43E+07 2.14E+07 1.31E+07 7.80E+06 4.55E+06 2.60E+06 1.45E+06
  22.50  1.202  5.34E+11 1.94E+11 3.46E+12 3.77E+09 7.32E+09 1.05E+10 1.30E+10 1.49E+10 1.60E+10 1.65E+10 1.62E+10 1.54E+10 1.42E+10 1.27E+10 1.11E+10 9.39E+09 7.75E+09 6.25E+09 4.91E+09 3.77E+09 2.83E+09 2.08E+09 1.49E+09 1.05E+09 7.17E+08 4.82E+08 3.17E+08 2.04E+08 1.28E+08 7.91E+07 4.78E+07 2.82E+07 1.64E+07
  25.00  1.267  3.54E+12 1.20E+12 2.21E+13 2.22E+10 4.32E+10 6.19E+10 7.73E+10 8.88E+10 9.62E+10 9.95E+10 9.88E+10 9.49E+10 8.83E+10 7.99E+10 7.03E+10 6.04E+10 5.05E+10 4.13E+10 3.30E+10 2.58E+10 1.97E+10 1.47E+10 1.08E+10 7.73E+09 5.43E+09 3.73E+09 2.51E+09 1.66E+09 1.07E+09 6.79E+08 4.22E+08 2.57E+08 1.53E+08
  30.00  1.388  1.85E+14 3.62E+13 6.97E+14 6.11E+11 1.19E+12 1.71E+12 2.15E+12 2.49E+12 2.72E+12 2.84E+12 2.86E+12 2.79E+12 2.63E+12 2.42E+12 2.17E+12 1.91E+12 1.63E+12 1.37E+12 1.12E+12 8.99E+11 7.07E+11 5.45E+11 4.12E+11 3.05E+11 2.22E+11 1.58E+11 1.11E+11 7.62E+10 5.14E+10 3.40E+10 2.21E+10 1.41E+10 8.84E+09
  40.00  1.603  1.57E+17 1.57E+16 3.24E+17 2.29E+14 4.47E+14 6.47E+14 8.19E+14 9.59E+14 1.06E+15 1.13E+15 1.15E+15 1.14E+15 1.11E+15 1.04E+15 9.60E+14 8.65E+14 7.64E+14 6.62E+14 5.62E+14 4.69E+14 3.84E+14 3.09E+14 2.44E+14 1.90E+14 1.45E+14 1.09E+14 8.03E+13 5.84E+13 4.18E+13 2.94E+13 2.03E+13 1.39E+13 9.29E+12
  50.00  1.792  3.40E+19 3.39E+18 7.41E+19 4.42E+16 8.67E+16 1.26E+17 1.60E+17 1.89E+17 2.11E+17 2.26E+17 2.34E+17 2.35E+17 2.31E+17 2.21E+17 2.07E+17 1.91E+17 1.72E+17 1.52E+17 1.33E+17 1.13E+17 9.54E+16 7.90E+16 6.44E+16 5.16E+16 4.08E+16 3.17E+16 2.43E+16 1.84E+16 1.37E+16 1.00E+16 7.24E+15 5.16E+15 3.62E+15
  60.00  1.963  4.51E+21 4.48E+20 1.02E+22 5.33E+18 1.05E+19 1.52E+19 1.95E+19 2.31E+19 2.59E+19 2.80E+19 2.92E+19 2.97E+19 2.95E+19 2.86E+19 2.72E+19 2.53E+19 2.32E+19 2.09E+19 1.85E+19 1.61E+19 1.39E+19 1.17E+19 9.76E+18 8.02E+18 6.49E+18 5.18E+18 4.08E+18 3.17E+18 2.43E+18 1.83E+18 1.37E+18 1.01E+18 7.31E+17
  70.00  2.121  4.11E+23 4.06E+22 9.67E+23 4.48E+20 8.82E+20 1.29E+21 1.65E+21 1.96E+21 2.21E+21 2.40E+21 2.53E+21 2.59E+21 2.59E+21 2.53E+21 2.43E+21 2.29E+21 2.13E+21 1.94E+21 1.74E+21 1.54E+21 1.34E+21 1.16E+21 9.80E+20 8.20E+20 6.77E+20 5.51E+20 4.43E+20 3.52E+20 2.76E+20 2.13E+20 1.63E+20 1.23E+20 9.18E+19
  80.00  2.267  2.78E+25 2.74E+24 6.73E+25 2.83E+22 5.56E+22 8.13E+22 1.05E+23 1.25E+23 1.41E+23 1.54E+23 1.63E+23 1.68E+23 1.69E+23 1.67E+23 1.61E+23 1.54E+23 1.44E+23 1.33E+23 1.20E+23 1.08E+23 9.52E+22 8.29E+22 7.13E+22 6.05E+22 5.07E+22 4.20E+22 3.43E+22 2.77E+22 2.21E+22 1.75E+22 1.36E+22 1.05E+22 7.99E+21
  90.00  2.405  1.47E+27 1.44E+26 3.66E+27 1.41E+24 2.77E+24 4.06E+24 5.22E+24 6.25E+24 7.11E+24 7.78E+24 8.26E+24 8.55E+24 8.66E+24 8.60E+24 8.38E+24 8.03E+24 7.58E+24 7.05E+24 6.46E+24 5.84E+24 5.21E+24 4.59E+24 3.99E+24 3.43E+24 2.91E+24 2.44E+24 2.03E+24 1.66E+24 1.35E+24 1.08E+24 8.54E+23 6.70E+23 5.19E+23
 100.00  2.535  6.35E+28 6.20E+27 1.61E+29 5.73E+25 1.13E+26 1.66E+26 2.14E+26 2.56E+26 2.92E+26 3.21E+26 3.42E+26 3.56E+26 3.62E+26 3.61E+26 3.54E+26 3.41E+26 3.24E+26 3.04E+26 2.81E+26 2.56E+26 2.30E+26 2.05E+26 1.80E+26 1.56E+26 1.34E+26 1.14E+26 9.53E+25 7.91E+25 6.49E+25 5.27E+25 4.24E+25 3.37E+25 2.65E+25
 110.00  2.658  2.29E+30 2.23E+29 5.93E+30 1.96E+27 3.88E+27 5.69E+27 7.35E+27 8.83E+27 1.01E+28 1.11E+28 1.19E+28 1.24E+28 1.27E+28 1.27E+28 1.25E+28 1.21E+28 1.16E+28 1.09E+28 1.02E+28 9.34E+27 8.47E+27 7.59E+27 6.73E+27 5.89E+27 5.10E+27 4.37E+27 3.70E+27 3.11E+27 2.58E+27 2.12E+27 1.72E+27 1.39E+27 1.10E+27
 120.00  2.777  7.11E+31 6.88E+30 1.87E+32 5.81E+28 1.15E+29 1.68E+29 2.18E+29 2.62E+29 3.00E+29 3.32E+29 3.56E+29 3.72E+29 3.82E+29 3.84E+29 3.80E+29 3.71E+29 3.56E+29 3.37E+29 3.15E+29 2.91E+29 2.66E+29 2.40E+29 2.14E+29 1.89E+29 1.65E+29 1.43E+29 1.22E+29 1.03E+29 8.65E+28 7.18E+28 5.90E+28 4.80E+28 3.87E+28
 130.00  2.890  1.93E+33 1.86E+32 5.14E+33 1.50E+30 2.97E+30 4.37E+30 5.66E+30 6.82E+30 7.83E+30 8.66E+30 9.31E+30 9.78E+30 1.01E+31 1.02E+31 1.01E+31 9.87E+30 9.53E+30 9.07E+30 8.53E+30 7.92E+30 7.27E+30 6.61E+30 5.93E+30 5.27E+30 4.64E+30 4.04E+30 3.48E+30 2.97E+30 2.51E+30 2.10E+30 1.74E+30 1.43E+30 1.16E+30
 140.00  2.999  4.63E+34 4.44E+33 1.25E+35 3.47E+31 6.85E+31 1.01E+32 1.31E+32 1.58E+32 1.81E+32 2.01E+32 2.17E+32 2.28E+32 2.35E+32 2.38E+32 2.37E+32 2.33E+32 2.26E+32 2.16E+32 2.04E+32 1.91E+32 1.76E+32 1.61E+32 1.45E+32 1.30E+32 1.15E+32 1.01E+32 8.73E+31 7.50E+31 6.39E+31 5.39E+31 4.51E+31 3.73E+31 3.06E+31
 150.00  3.104  9.99E+35 9.53E+34 2.73E+36 7.19E+32 1.42E+33 2.09E+33 2.72E+33 3.28E+33 3.78E+33 4.20E+33 4.53E+33 4.78E+33 4.94E+33 5.02E+33 5.02E+33 4.95E+33 4.81E+33 4.62E+33 4.38E+33 4.11E+33 3.81E+33 3.49E+33 3.17E+33 2.85E+33 2.54E+33 2.24E+33 1.95E+33 1.69E+33 1.45E+33 1.23E+33 1.04E+33 8.66E+32 7.16E+32
 160.00  3.206  1.96E+37 1.86E+36 5.40E+37 1.36E+34 2.68E+34 3.95E+34 5.13E+34 6.21E+34 7.16E+34 7.96E+34 8.61E+34 9.10E+34 9.43E+34 9.61E+34 9.63E+34 9.52E+34 9.29E+34 8.95E+34 8.52E+34 8.02E+34 7.47E+34 6.88E+34 6.28E+34 5.67E+34 5.08E+34 4.50E+34 3.95E+34 3.44E+34 2.97E+34 2.54E+34 2.15E+34 1.81E+34 1.51E+34
