                    ************************************************************************************************
                    *  Z= 50 A=119: Positive-Parity Spin-dependent Level Density [MeV-1] for Sn119 and ldmodel= 1  *
   4.25  0.518  1.08E+03 1.35E+03 1.49E+04 6.79E+01 1.26E+02 1.66E+02 1.85E+02 1.83E+02 1.65E+02 1.38E+02 1.07E+02 7.79E+01 5.31E+01 3.40E+01 2.05E+01 1.17E+01 6.28E+00 3.19E+00 1.53E+00 6.95E-01 2.99E-01 1.22E-01 4.70E-02 1.72E-02 5.94E-03 1.95E-03 6.07E-04 1.79E-04 5.01E-05 1.33E-05 3.35E-06 7.99E-07 1.81E-07
   4.50  0.533  1.57E+03 1.97E+03 2.22E+04 9.53E+01 1.77E+02 2.34E+02 2.63E+02 2.63E+02 2.40E+02 2.03E+02 1.60E+02 1.18E+02 8.20E+01 5.36E+01 3.31E+01 1.93E+01 1.06E+01 5.56E+00 2.75E+00 1.29E+00 5.74E-01 2.42E-01 9.71E-02 3.69E-02 1.33E-02 4.57E-03 1.49E-03 4.61E-04 1.35E-04 3.78E-05 1.00E-05 2.53E-06 6.08E-07
   4.75  0.547  2.29E+03 2.87E+03 3.30E+04 1.34E+02 2.49E+02 3.32E+02 3.75E+02 3.78E+02 3.49E+02 2.98E+02 2.38E+02 1.79E+02 1.26E+02 8.40E+01 5.29E+01 3.16E+01 1.78E+01 9.56E+00 4.87E+00 2.35E+00 1.08E+00 4.71E-01 1.95E-01 7.71E-02 2.89E-02 1.03E-02 3.51E-03 1.14E-03 3.49E-04 1.02E-04 2.86E-05 7.59E-06 1.92E-06
   5.00  0.562  3.33E+03 4.19E+03 4.89E+04 1.89E+02 3.52E+02 4.70E+02 5.34E+02 5.42E+02 5.05E+02 4.37E+02 3.53E+02 2.69E+02 1.93E+02 1.31E+02 8.39E+01 5.11E+01 2.96E+01 1.62E+01 8.48E+00 4.21E+00 1.99E+00 8.96E-01 3.84E-01 1.57E-01 6.10E-02 2.26E-02 8.00E-03 2.69E-03 8.65E-04 2.65E-04 7.74E-05 2.16E-05 5.73E-06
   5.50  0.589  7.78E+03 8.89E+03 1.07E+05 3.75E+02 7.03E+02 9.47E+02 1.09E+03 1.12E+03 1.06E+03 9.34E+02 7.72E+02 6.03E+02 4.45E+02 3.11E+02 2.07E+02 1.31E+02 7.89E+01 4.53E+01 2.48E+01 1.29E+01 6.45E+00 3.07E+00 1.39E+00 6.06E-01 2.51E-01 9.98E-02 3.79E-02 1.37E-02 4.76E-03 1.58E-03 5.02E-04 1.52E-04 4.43E-05
   6.00  0.615  1.72E+04 1.88E+04 2.33E+05 7.48E+02 1.41E+03 1.91E+03 2.20E+03 2.29E+03 2.20E+03 1.97E+03 1.66E+03 1.32E+03 9.97E+02 7.15E+02 4.89E+02 3.18E+02 1.98E+02 1.17E+02 6.67E+01 3.62E+01 1.88E+01 9.34E+00 4.44E+00 2.03E+00 8.84E-01 3.70E-01 1.48E-01 5.70E-02 2.10E-02 7.41E-03 2.51E-03 8.14E-04 2.54E-04
   6.50  0.640  3.63E+04 3.84E+04 4.88E+05 1.46E+03 2.76E+03 3.75E+03 4.37E+03 4.58E+03 4.44E+03 4.03E+03 3.44E+03 2.78E+03 2.14E+03 1.56E+03 1.09E+03 7.28E+02 4.64E+02 2.83E+02 1.66E+02 9.28E+01 4.98E+01 2.56E+01 1.27E+01 6.00E+00 2.73E+00 1.19E+00 4.99E-01 2.01E-01 7.76E-02 2.88E-02 1.03E-02 3.52E-03 1.16E-03
   7.00  0.665  7.45E+04 7.63E+04 9.92E+05 2.78E+03 5.27E+03 7.20E+03 8.43E+03 8.91E+03 8.72E+03 7.99E+03 6.91E+03 5.66E+03 4.42E+03 3.29E+03 2.34E+03 1.59E+03 1.04E+03 6.50E+02 3.90E+02 2.24E+02 1.24E+02 6.57E+01 3.35E+01 1.64E+01 7.74E+00 3.51E+00 1.53E+00 6.40E-01 2.58E-01 1.00E-01 3.73E-02 1.34E-02 4.63E-03
   7.50  0.688  1.48E+05 1.48E+05 1.96E+06 5.19E+03 9.85E+03 1.35E+04 1.59E+04 1.69E+04 1.67E+04 1.54E+04 1.35E+04 1.12E+04 8.86E+03 6.70E+03 4.85E+03 3.36E+03 2.23E+03 1.43E+03 8.74E+02 5.15E+02 2.92E+02 1.59E+02 8.35E+01 4.22E+01 2.05E+01 9.59E+00 4.32E+00 1.88E+00 7.85E-01 3.16E-01 1.23E-01 4.60E-02 1.66E-02
   8.00  0.710  2.89E+05 2.81E+05 3.79E+06 9.50E+03 1.80E+04 2.48E+04 2.94E+04 3.14E+04 3.12E+04 2.91E+04 2.57E+04 2.16E+04 1.73E+04 1.32E+04 9.72E+03 6.85E+03 4.63E+03 3.01E+03 1.89E+03 1.13E+03 6.58E+02 3.67E+02 1.98E+02 1.02E+02 5.12E+01 2.46E+01 1.15E+01 5.13E+00 2.22E+00 9.25E-01 3.72E-01 1.44E-01 5.41E-02
   8.50  0.732  5.50E+05 5.22E+05 7.17E+06 1.71E+04 3.25E+04 4.48E+04 5.32E+04 5.73E+04 5.72E+04 5.38E+04 4.79E+04 4.06E+04 3.29E+04 2.55E+04 1.90E+04 1.36E+04 9.32E+03 6.16E+03 3.93E+03 2.41E+03 1.42E+03 8.12E+02 4.47E+02 2.37E+02 1.22E+02 6.01E+01 2.87E+01 1.32E+01 5.89E+00 2.53E+00 1.05E+00 4.22E-01 1.63E-01
   9.00  0.754  1.03E+06 9.52E+05 1.33E+07 3.02E+04 5.75E+04 7.96E+04 9.48E+04 1.03E+05 1.03E+05 9.75E+04 8.75E+04 7.48E+04 6.12E+04 4.80E+04 3.62E+04 2.62E+04 1.82E+04 1.22E+04 7.93E+03 4.95E+03 2.98E+03 1.73E+03 9.73E+02 5.28E+02 2.76E+02 1.40E+02 6.85E+01 3.24E+01 1.48E+01 6.54E+00 2.80E+00 1.16E+00 4.62E-01
   9.50  0.774  1.88E+06 1.71E+06 2.42E+07 5.26E+04 1.00E+05 1.39E+05 1.66E+05 1.81E+05 1.82E+05 1.74E+05 1.57E+05 1.35E+05 1.12E+05 8.85E+04 6.74E+04 4.94E+04 3.49E+04 2.37E+04 1.56E+04 9.88E+03 6.05E+03 3.58E+03 2.05E+03 1.13E+03 6.05E+02 3.13E+02 1.57E+02 7.58E+01 3.55E+01 1.61E+01 7.06E+00 3.00E+00 1.23E+00
  10.00  0.794  3.39E+06 3.01E+06 4.33E+07 9.03E+04 1.73E+05 2.40E+05 2.88E+05 3.13E+05 3.18E+05 3.05E+05 2.77E+05 2.41E+05 2.00E+05 1.60E+05 1.23E+05 9.12E+04 6.51E+04 4.49E+04 2.99E+04 1.92E+04 1.20E+04 7.19E+03 4.18E+03 2.35E+03 1.28E+03 6.76E+02 3.45E+02 1.71E+02 8.17E+01 3.79E+01 1.70E+01 7.41E+00 3.12E+00
  11.00  0.833  1.24E+07 9.01E+06 1.33E+08 2.56E+05 4.91E+05 6.85E+05 8.26E+05 9.07E+05 9.28E+05 8.98E+05 8.26E+05 7.27E+05 6.14E+05 4.99E+05 3.90E+05 2.95E+05 2.15E+05 1.51E+05 1.03E+05 6.81E+04 4.35E+04 2.69E+04 1.61E+04 9.36E+03 5.27E+03 2.88E+03 1.52E+03 7.82E+02 3.89E+02 1.88E+02 8.81E+01 4.00E+01 1.77E+01
  12.00  0.870  3.80E+07 2.56E+07 3.86E+08 6.96E+05 1.34E+06 1.87E+06 2.26E+06 2.50E+06 2.58E+06 2.51E+06 2.34E+06 2.08E+06 1.78E+06 1.46E+06 1.16E+06 8.93E+05 6.63E+05 4.76E+05 3.31E+05 2.23E+05 1.46E+05 9.25E+04 5.69E+04 3.39E+04 1.97E+04 1.11E+04 6.03E+03 3.20E+03 1.65E+03 8.24E+02 4.00E+02 1.89E+02 8.67E+01
  13.00  0.906  1.08E+08 6.96E+07 1.07E+09 1.82E+06 3.49E+06 4.90E+06 5.96E+06 6.61E+06 6.86E+06 6.74E+06 6.32E+06 5.68E+06 4.91E+06 4.09E+06 3.29E+06 2.57E+06 1.93E+06 1.41E+06 1.00E+06 6.87E+05 4.58E+05 2.97E+05 1.87E+05 1.14E+05 6.77E+04 3.90E+04 2.19E+04 1.19E+04 6.33E+03 3.26E+03 1.64E+03 7.98E+02 3.79E+02
  14.00  0.940  2.90E+08 1.82E+08 2.87E+09 4.57E+06 8.80E+06 1.24E+07 1.51E+07 1.69E+07 1.76E+07 1.74E+07 1.64E+07 1.49E+07 1.30E+07 1.09E+07 8.92E+06 7.03E+06 5.37E+06 3.98E+06 2.87E+06 2.00E+06 1.36E+06 8.96E+05 5.75E+05 3.58E+05 2.17E+05 1.28E+05 7.37E+04 4.12E+04 2.24E+04 1.19E+04 6.12E+03 3.07E+03 1.50E+03
  15.00  0.973  7.51E+08 4.61E+08 7.38E+09 1.12E+07 2.15E+07 3.03E+07 3.71E+07 4.16E+07 4.36E+07 4.34E+07 4.12E+07 3.77E+07 3.32E+07 2.82E+07 2.32E+07 1.85E+07 1.43E+07 1.07E+07 7.84E+06 5.56E+06 3.83E+06 2.57E+06 1.68E+06 1.07E+06 6.59E+05 3.97E+05 2.33E+05 1.33E+05 7.41E+04 4.02E+04 2.12E+04 1.09E+04 5.49E+03
  16.00  1.005  1.88E+09 1.13E+09 1.84E+10 2.64E+07 5.10E+07 7.22E+07 8.86E+07 9.95E+07 1.05E+08 1.05E+08 1.00E+08 9.22E+07 8.18E+07 7.02E+07 5.83E+07 4.70E+07 3.67E+07 2.79E+07 2.06E+07 1.48E+07 1.04E+07 7.05E+06 4.68E+06 3.02E+06 1.90E+06 1.17E+06 6.97E+05 4.06E+05 2.31E+05 1.28E+05 6.91E+04 3.64E+04 1.87E+04
  17.00  1.036  4.57E+09 2.69E+09 4.45E+10 6.11E+07 1.18E+08 1.67E+08 2.06E+08 2.32E+08 2.45E+08 2.46E+08 2.37E+08 2.19E+08 1.96E+08 1.69E+08 1.42E+08 1.15E+08 9.11E+07 7.00E+07 5.23E+07 3.80E+07 2.69E+07 1.86E+07 1.25E+07 8.20E+06 5.24E+06 3.27E+06 1.99E+06 1.18E+06 6.83E+05 3.86E+05 2.13E+05 1.14E+05 6.01E+04
  18.00  1.066  1.08E+10 6.25E+09 1.05E+11 1.38E+08 2.67E+08 3.78E+08 4.67E+08 5.28E+08 5.60E+08 5.65E+08 5.46E+08 5.08E+08 4.57E+08 3.98E+08 3.36E+08 2.75E+08 2.19E+08 1.70E+08 1.28E+08 9.44E+07 6.77E+07 4.73E+07 3.22E+07 2.14E+07 1.39E+07 8.79E+06 5.43E+06 3.27E+06 1.93E+06 1.11E+06 6.23E+05 3.42E+05 1.83E+05
  19.00  1.095  2.50E+10 1.42E+10 2.41E+11 3.04E+08 5.89E+08 8.38E+08 1.04E+09 1.17E+09 1.25E+09 1.27E+09 1.23E+09 1.15E+09 1.04E+09 9.11E+08 7.75E+08 6.40E+08 5.14E+08 4.02E+08 3.06E+08 2.28E+08 1.65E+08 1.17E+08 8.03E+07 5.41E+07 3.55E+07 2.28E+07 1.43E+07 8.75E+06 5.23E+06 3.06E+06 1.75E+06 9.74E+05 5.31E+05
  20.00  1.123  5.65E+10 3.15E+10 5.43E+11 6.59E+08 1.28E+09 1.82E+09 2.25E+09 2.56E+09 2.73E+09 2.78E+09 2.71E+09 2.55E+09 2.32E+09 2.04E+09 1.75E+09 1.45E+09 1.18E+09 9.27E+08 7.13E+08 5.34E+08 3.91E+08 2.79E+08 1.94E+08 1.32E+08 8.81E+07 5.72E+07 3.63E+07 2.26E+07 1.37E+07 8.12E+06 4.71E+06 2.67E+06 1.48E+06
  22.50  1.191  5.90E+11 2.13E+11 3.79E+12 4.20E+09 8.16E+09 1.16E+10 1.45E+10 1.66E+10 1.78E+10 1.82E+10 1.80E+10 1.71E+10 1.57E+10 1.40E+10 1.22E+10 1.03E+10 8.45E+09 6.78E+09 5.31E+09 4.07E+09 3.04E+09 2.22E+09 1.58E+09 1.11E+09 7.55E+08 5.05E+08 3.30E+08 2.11E+08 1.32E+08 8.09E+07 4.85E+07 2.85E+07 1.64E+07
  25.00  1.256  3.84E+12 1.30E+12 2.37E+13 2.43E+10 4.73E+10 6.77E+10 8.45E+10 9.70E+10 1.05E+11 1.08E+11 1.07E+11 1.03E+11 9.56E+10 8.63E+10 7.57E+10 6.48E+10 5.41E+10 4.41E+10 3.51E+10 2.73E+10 2.08E+10 1.55E+10 1.13E+10 8.04E+09 5.61E+09 3.84E+09 2.57E+09 1.69E+09 1.08E+09 6.82E+08 4.21E+08 2.55E+08 1.51E+08
  30.00  1.376  1.93E+14 3.78E+13 7.21E+14 6.45E+11 1.26E+12 1.81E+12 2.27E+12 2.62E+12 2.86E+12 2.99E+12 3.00E+12 2.91E+12 2.75E+12 2.52E+12 2.26E+12 1.97E+12 1.68E+12 1.41E+12 1.15E+12 9.18E+11 7.19E+11 5.52E+11 4.15E+11 3.06E+11 2.22E+11 1.57E+11 1.09E+11 7.48E+10 5.01E+10 3.30E+10 2.13E+10 1.35E+10 8.40E+09
  40.00  1.589  1.53E+17 1.52E+16 3.13E+17 2.26E+14 4.41E+14 6.38E+14 8.07E+14 9.43E+14 1.04E+15 1.10E+15 1.13E+15 1.12E+15 1.08E+15 1.01E+15 9.32E+14 8.38E+14 7.38E+14 6.37E+14 5.39E+14 4.48E+14 3.65E+14 2.92E+14 2.30E+14 1.78E+14 1.35E+14 1.01E+14 7.43E+13 5.37E+13 3.82E+13 2.67E+13 1.84E+13 1.24E+13 8.28E+12
  50.00  1.776  3.11E+19 3.10E+18 6.72E+19 4.11E+16 8.05E+16 1.17E+17 1.49E+17 1.75E+17 1.95E+17 2.09E+17 2.16E+17 2.17E+17 2.12E+17 2.03E+17 1.90E+17 1.74E+17 1.56E+17 1.38E+17 1.20E+17 1.02E+17 8.56E+16 7.06E+16 5.73E+16 4.57E+16 3.60E+16 2.78E+16 2.12E+16 1.59E+16 1.18E+16 8.60E+15 6.18E+15 4.37E+15 3.05E+15
  60.00  1.946  3.91E+21 3.87E+20 8.79E+21 4.70E+18 9.22E+18 1.34E+19 1.71E+19 2.03E+19 2.28E+19 2.45E+19 2.56E+19 2.59E+19 2.57E+19 2.49E+19 2.36E+19 2.19E+19 2.00E+19 1.80E+19 1.59E+19 1.38E+19 1.18E+19 9.94E+18 8.25E+18 6.74E+18 5.44E+18 4.32E+18 3.38E+18 2.62E+18 1.99E+18 1.50E+18 1.11E+18 8.13E+17 5.87E+17
  70.00  2.101  3.39E+23 3.35E+22 7.91E+23 3.77E+20 7.41E+20 1.08E+21 1.38E+21 1.64E+21 1.85E+21 2.01E+21 2.11E+21 2.16E+21 2.15E+21 2.10E+21 2.02E+21 1.90E+21 1.75E+21 1.59E+21 1.43E+21 1.26E+21 1.09E+21 9.37E+20 7.92E+20 6.59E+20 5.42E+20 4.39E+20 3.52E+20 2.78E+20 2.17E+20 1.67E+20 1.27E+20 9.52E+19 7.05E+19
  80.00  2.247  2.20E+25 2.17E+24 5.28E+25 2.28E+22 4.48E+22 6.55E+22 8.41E+22 1.00E+23 1.14E+23 1.24E+23 1.31E+23 1.34E+23 1.35E+23 1.33E+23 1.28E+23 1.22E+23 1.14E+23 1.05E+23 9.47E+22 8.45E+22 7.44E+22 6.46E+22 5.53E+22 4.68E+22 3.90E+22 3.22E+22 2.62E+22 2.11E+22 1.67E+22 1.31E+22 1.02E+22 7.80E+21 5.91E+21
  90.00  2.383  1.12E+27 1.10E+26 2.76E+27 1.09E+24 2.15E+24 3.14E+24 4.04E+24 4.83E+24 5.49E+24 6.00E+24 6.37E+24 6.58E+24 6.65E+24 6.59E+24 6.41E+24 6.13E+24 5.77E+24 5.35E+24 4.89E+24 4.41E+24 3.92E+24 3.44E+24 2.98E+24 2.55E+24 2.16E+24 1.80E+24 1.49E+24 1.22E+24 9.81E+23 7.82E+23 6.17E+23 4.81E+23 3.71E+23
 100.00  2.512  4.66E+28 4.55E+27 1.17E+29 4.28E+25 8.45E+25 1.24E+26 1.60E+26 1.91E+26 2.18E+26 2.39E+26 2.54E+26 2.64E+26 2.68E+26 2.67E+26 2.61E+26 2.52E+26 2.39E+26 2.23E+26 2.05E+26 1.87E+26 1.67E+26 1.48E+26 1.30E+26 1.12E+26 9.61E+25 8.12E+25 6.78E+25 5.61E+25 4.58E+25 3.70E+25 2.96E+25 2.34E+25 1.83E+25
 110.00  2.634  1.63E+30 1.58E+29 4.18E+30 1.42E+27 2.81E+27 4.12E+27 5.32E+27 6.38E+27 7.29E+27 8.02E+27 8.57E+27 8.93E+27 9.11E+27 9.11E+27 8.96E+27 8.67E+27 8.27E+27 7.77E+27 7.21E+27 6.60E+27 5.97E+27 5.33E+27 4.71E+27 4.11E+27 3.55E+27 3.03E+27 2.56E+27 2.13E+27 1.76E+27 1.44E+27 1.17E+27 9.35E+26 7.41E+26
 120.00  2.752  4.91E+31 4.74E+30 1.28E+32 4.08E+28 8.05E+28 1.18E+29 1.53E+29 1.84E+29 2.10E+29 2.32E+29 2.49E+29 2.60E+29 2.66E+29 2.67E+29 2.64E+29 2.57E+29 2.46E+29 2.33E+29 2.17E+29 2.00E+29 1.82E+29 1.64E+29 1.46E+29 1.28E+29 1.11E+29 9.60E+28 8.18E+28 6.89E+28 5.75E+28 4.75E+28 3.89E+28 3.15E+28 2.52E+28
 130.00  2.864  1.29E+33 1.24E+32 3.41E+33 1.03E+30 2.03E+30 2.98E+30 3.86E+30 4.65E+30 5.33E+30 5.89E+30 6.32E+30 6.63E+30 6.81E+30 6.86E+30 6.81E+30 6.65E+30 6.40E+30 6.08E+30 5.70E+30 5.28E+30 4.84E+30 4.38E+30 3.92E+30 3.47E+30 3.05E+30 2.64E+30 2.27E+30 1.93E+30 1.62E+30 1.35E+30 1.12E+30 9.13E+29 7.39E+29
 140.00  2.972  3.02E+34 2.89E+33 8.08E+34 2.30E+31 4.55E+31 6.69E+31 8.67E+31 1.05E+32 1.20E+32 1.33E+32 1.43E+32 1.50E+32 1.55E+32 1.57E+32 1.56E+32 1.53E+32 1.48E+32 1.41E+32 1.33E+32 1.24E+32 1.14E+32 1.04E+32 9.34E+31 8.32E+31 7.34E+31 6.41E+31 5.55E+31 4.75E+31 4.03E+31 3.38E+31 2.82E+31 2.32E+31 1.90E+31
 150.00  3.076  6.35E+35 6.05E+34 1.72E+36 4.65E+32 9.20E+32 1.35E+33 1.76E+33 2.12E+33 2.44E+33 2.71E+33 2.92E+33 3.07E+33 3.17E+33 3.22E+33 3.21E+33 3.16E+33 3.07E+33 2.94E+33 2.78E+33 2.60E+33 2.40E+33 2.20E+33 1.99E+33 1.79E+33 1.58E+33 1.39E+33 1.21E+33 1.04E+33 8.92E+32 7.55E+32 6.33E+32 5.26E+32 4.33E+32
 160.00  3.177  1.21E+37 1.15E+36 3.31E+37 8.56E+33 1.69E+34 2.49E+34 3.24E+34 3.91E+34 4.51E+34 5.01E+34 5.41E+34 5.71E+34 5.91E+34 6.01E+34 6.02E+34 5.94E+34 5.78E+34 5.55E+34 5.28E+34 4.96E+34 4.60E+34 4.23E+34 3.85E+34 3.47E+34 3.09E+34 2.73E+34 2.39E+34 2.07E+34 1.78E+34 1.52E+34 1.28E+34 1.07E+34 8.90E+33
