                    ************************************************************************************************
                    *  Z= 48 A=116: Positive-Parity Spin-dependent Level Density [MeV-1] for Cd116 and ldmodel= 1  *
   2.25  0.359  1.50E+01 2.03E+01 1.31E+02 1.51E+00 3.88E+00 4.78E+00 4.26E+00 2.99E+00 1.72E+00 8.18E-01 3.28E-01 1.11E-01 3.18E-02 7.74E-03 1.61E-03 2.85E-04 4.31E-05 5.57E-06 6.16E-07 5.84E-08 4.74E-09 3.30E-10 1.97E-11 1.00E-12 4.40E-14 1.66E-15 5.34E-17 1.48E-18 3.51E-20 7.17E-22 1.25E-23 1.89E-25 2.43E-27
   2.50  0.378  2.26E+01 3.02E+01 2.06E+02 2.01E+00 5.28E+00 6.71E+00 6.25E+00 4.68E+00 2.90E+00 1.52E+00 6.81E-01 2.61E-01 8.62E-02 2.46E-02 6.07E-03 1.30E-03 2.41E-04 3.88E-05 5.44E-06 6.63E-07 7.03E-08 6.49E-09 5.22E-10 3.65E-11 2.23E-12 1.18E-13 5.49E-15 2.22E-16 7.80E-18 2.40E-19 6.41E-21 1.50E-22 3.05E-24
   2.75  0.397  3.38E+01 4.50E+01 3.26E+02 2.67E+00 7.09E+00 9.30E+00 9.07E+00 7.21E+00 4.83E+00 2.78E+00 1.38E+00 5.98E-01 2.27E-01 7.53E-02 2.20E-02 5.64E-03 1.28E-03 2.55E-04 4.49E-05 6.98E-06 9.59E-07 1.16E-07 1.25E-08 1.19E-09 9.97E-11 7.41E-12 4.87E-13 2.84E-14 1.46E-15 6.67E-17 2.70E-18 9.64E-20 3.06E-21
   3.00  0.415  5.06E+01 6.71E+01 5.11E+02 3.58E+00 9.63E+00 1.29E+01 1.31E+01 1.09E+01 7.78E+00 4.81E+00 2.60E+00 1.24E+00 5.25E-01 1.97E-01 6.57E-02 1.95E-02 5.18E-03 1.22E-03 2.59E-04 4.89E-05 8.26E-06 1.25E-06 1.69E-07 2.04E-08 2.22E-09 2.15E-10 1.87E-11 1.46E-12 1.02E-13 6.38E-15 3.58E-16 1.80E-17 8.11E-19
   3.25  0.431  7.56E+01 9.99E+01 7.99E+02 4.84E+00 1.32E+01 1.80E+01 1.88E+01 1.63E+01 1.22E+01 8.02E+00 4.65E+00 2.41E+00 1.11E+00 4.60E-01 1.71E-01 5.73E-02 1.73E-02 4.70E-03 1.15E-03 2.55E-04 5.11E-05 9.23E-06 1.51E-06 2.23E-07 2.97E-08 3.59E-09 3.92E-10 3.88E-11 3.47E-12 2.81E-13 2.06E-14 1.37E-15 8.23E-17
   3.50  0.448  1.13E+02 1.49E+02 1.24E+03 6.61E+00 1.81E+01 2.52E+01 2.70E+01 2.42E+01 1.89E+01 1.30E+01 8.01E+00 4.42E+00 2.20E+00 9.90E-01 4.03E-01 1.49E-01 5.00E-02 1.53E-02 4.24E-03 1.07E-03 2.46E-04 5.17E-05 9.87E-06 1.72E-06 2.73E-07 3.96E-08 5.23E-09 6.30E-10 6.93E-11 6.96E-12 6.38E-13 5.34E-14 4.08E-15
   3.75  0.463  1.68E+02 2.22E+02 1.93E+03 9.09E+00 2.51E+01 3.54E+01 3.87E+01 3.57E+01 2.88E+01 2.07E+01 1.34E+01 7.81E+00 4.14E+00 2.00E+00 8.79E-01 3.53E-01 1.30E-01 4.37E-02 1.35E-02 3.80E-03 9.85E-04 2.34E-04 5.11E-05 1.02E-05 1.88E-06 3.18E-07 4.93E-08 7.02E-09 9.20E-10 1.11E-10 1.22E-11 1.25E-12 1.16E-13
   4.00  0.479  2.51E+02 3.30E+02 2.98E+03 1.26E+01 3.49E+01 4.99E+01 5.55E+01 5.24E+01 4.36E+01 3.25E+01 2.19E+01 1.34E+01 7.49E+00 3.84E+00 1.80E+00 7.78E-01 3.09E-01 1.13E-01 3.81E-02 1.18E-02 3.40E-03 8.99E-04 2.20E-04 4.96E-05 1.03E-05 1.99E-06 3.54E-07 5.82E-08 8.85E-09 1.24E-09 1.62E-10 1.94E-11 2.16E-12
   4.25  0.493  3.74E+02 4.92E+02 4.60E+03 1.75E+01 4.88E+01 7.05E+01 7.96E+01 7.68E+01 6.55E+01 5.03E+01 3.51E+01 2.24E+01 1.31E+01 7.09E+00 3.52E+00 1.62E+00 6.88E-01 2.70E-01 9.85E-02 3.33E-02 1.04E-02 3.02E-03 8.15E-04 2.04E-04 4.74E-05 1.02E-05 2.05E-06 3.81E-07 6.60E-08 1.06E-08 1.59E-09 2.20E-10 2.84E-11
   4.50  0.508  5.57E+02 7.32E+02 7.08E+03 2.44E+01 6.85E+01 9.98E+01 1.14E+02 1.12E+02 9.79E+01 7.73E+01 5.57E+01 3.69E+01 2.25E+01 1.27E+01 6.63E+00 3.22E+00 1.45E+00 6.07E-01 2.37E-01 8.58E-02 2.90E-02 9.14E-03 2.68E-03 7.35E-04 1.88E-04 4.48E-05 9.95E-06 2.07E-06 4.00E-07 7.23E-08 1.22E-08 1.93E-09 2.83E-10
   4.75  0.522  8.29E+02 1.09E+03 1.09E+04 3.42E+01 9.64E+01 1.42E+02 1.64E+02 1.64E+02 1.46E+02 1.18E+02 8.73E+01 5.96E+01 3.77E+01 2.21E+01 1.21E+01 6.15E+00 2.92E+00 1.29E+00 5.35E-01 2.07E-01 7.48E-02 2.53E-02 8.02E-03 2.38E-03 6.61E-04 1.72E-04 4.19E-05 9.56E-06 2.05E-06 4.10E-07 7.71E-08 1.36E-08 2.25E-09
   5.00  0.535  1.24E+03 1.62E+03 1.67E+04 4.81E+01 1.36E+02 2.01E+02 2.36E+02 2.38E+02 2.16E+02 1.79E+02 1.36E+02 9.53E+01 6.22E+01 3.78E+01 2.15E+01 1.14E+01 5.66E+00 2.64E+00 1.15E+00 4.71E-01 1.81E-01 6.52E-02 2.21E-02 7.03E-03 2.10E-03 5.92E-04 1.56E-04 3.89E-05 9.09E-06 2.00E-06 4.13E-07 8.04E-08 1.47E-08
   5.50  0.561  3.04E+03 3.60E+03 3.90E+04 9.61E+01 2.73E+02 4.09E+02 4.87E+02 5.06E+02 4.72E+02 4.04E+02 3.20E+02 2.36E+02 1.63E+02 1.05E+02 6.37E+01 3.64E+01 1.95E+01 9.89E+00 4.72E+00 2.13E+00 9.05E-01 3.64E-01 1.38E-01 4.96E-02 1.68E-02 5.40E-03 1.64E-03 4.70E-04 1.28E-04 3.28E-05 7.99E-06 1.84E-06 4.01E-07
   6.00  0.586  7.03E+03 7.99E+03 9.07E+04 1.94E+02 5.54E+02 8.37E+02 1.01E+03 1.07E+03 1.03E+03 9.04E+02 7.41E+02 5.68E+02 4.09E+02 2.78E+02 1.78E+02 1.08E+02 6.16E+01 3.34E+01 1.72E+01 8.36E+00 3.87E+00 1.70E+00 7.08E-01 2.80E-01 1.05E-01 3.77E-02 1.28E-02 4.14E-03 1.27E-03 3.71E-04 1.03E-04 2.72E-05 6.84E-06
   6.50  0.610  1.59E+04 1.77E+04 2.10E+05 3.94E+02 1.13E+03 1.72E+03 2.11E+03 2.27E+03 2.22E+03 2.00E+03 1.69E+03 1.34E+03 1.00E+03 7.07E+02 4.73E+02 3.01E+02 1.82E+02 1.04E+02 5.70E+01 2.97E+01 1.47E+01 6.95E+00 3.13E+00 1.34E+00 5.51E-01 2.16E-01 8.05E-02 2.87E-02 9.76E-03 3.17E-03 9.83E-04 2.91E-04 8.23E-05
   7.00  0.633  3.54E+04 3.91E+04 4.78E+05 8.15E+02 2.34E+03 3.59E+03 4.43E+03 4.82E+03 4.78E+03 4.39E+03 3.78E+03 3.06E+03 2.35E+03 1.71E+03 1.18E+03 7.75E+02 4.85E+02 2.90E+02 1.65E+02 8.99E+01 4.68E+01 2.33E+01 1.11E+01 5.03E+00 2.19E+00 9.10E-01 3.62E-01 1.38E-01 5.04E-02 1.76E-02 5.90E-03 1.89E-03 5.80E-04
   7.50  0.655  7.71E+04 8.34E+04 1.05E+06 1.66E+03 4.77E+03 7.35E+03 9.12E+03 1.00E+04 1.00E+04 9.31E+03 8.12E+03 6.69E+03 5.22E+03 3.87E+03 2.73E+03 1.84E+03 1.18E+03 7.25E+02 4.26E+02 2.39E+02 1.29E+02 6.62E+01 3.27E+01 1.55E+01 7.01E+00 3.05E+00 1.27E+00 5.07E-01 1.95E-01 7.16E-02 2.53E-02 8.56E-03 2.78E-03
   8.00  0.677  1.63E+05 1.72E+05 2.21E+06 3.28E+03 9.46E+03 1.46E+04 1.82E+04 2.01E+04 2.03E+04 1.91E+04 1.68E+04 1.41E+04 1.11E+04 8.40E+03 6.04E+03 4.15E+03 2.73E+03 1.71E+03 1.03E+03 5.96E+02 3.30E+02 1.75E+02 8.94E+01 4.38E+01 2.06E+01 9.28E+00 4.02E+00 1.67E+00 6.70E-01 2.58E-01 9.53E-02 3.38E-02 1.16E-02
   8.50  0.698  3.36E+05 3.46E+05 4.52E+06 6.32E+03 1.83E+04 2.83E+04 3.55E+04 3.94E+04 4.01E+04 3.80E+04 3.39E+04 2.86E+04 2.30E+04 1.76E+04 1.29E+04 9.00E+03 6.03E+03 3.87E+03 2.39E+03 1.41E+03 8.01E+02 4.37E+02 2.29E+02 1.16E+02 5.61E+01 2.61E+01 1.17E+01 5.06E+00 2.10E+00 8.41E-01 3.24E-01 1.20E-01 4.28E-02
   9.00  0.718  6.74E+05 6.77E+05 9.01E+06 1.19E+04 3.45E+04 5.36E+04 6.75E+04 7.53E+04 7.71E+04 7.37E+04 6.64E+04 5.67E+04 4.61E+04 3.57E+04 2.65E+04 1.88E+04 1.28E+04 8.40E+03 5.28E+03 3.19E+03 1.85E+03 1.04E+03 5.57E+02 2.88E+02 1.44E+02 6.90E+01 3.19E+01 1.42E+01 6.11E+00 2.53E+00 1.01E+00 3.88E-01 1.44E-01
   9.50  0.738  1.32E+06 1.29E+06 1.75E+07 2.20E+04 6.39E+04 9.95E+04 1.26E+05 1.41E+05 1.45E+05 1.40E+05 1.27E+05 1.09E+05 8.98E+04 7.05E+04 5.30E+04 3.82E+04 2.64E+04 1.76E+04 1.13E+04 6.93E+03 4.11E+03 2.34E+03 1.29E+03 6.84E+02 3.50E+02 1.72E+02 8.19E+01 3.76E+01 1.66E+01 7.09E+00 2.92E+00 1.16E+00 4.45E-01
  10.00  0.757  2.53E+06 2.42E+06 3.34E+07 4.00E+04 1.16E+05 1.81E+05 2.30E+05 2.58E+05 2.68E+05 2.59E+05 2.37E+05 2.06E+05 1.71E+05 1.36E+05 1.03E+05 7.53E+04 5.29E+04 3.57E+04 2.32E+04 1.45E+04 8.77E+03 5.11E+03 2.87E+03 1.55E+03 8.12E+02 4.10E+02 2.00E+02 9.39E+01 4.27E+01 1.87E+01 7.94E+00 3.25E+00 1.29E+00
  11.00  0.794  1.06E+07 8.04E+06 1.14E+08 1.25E+05 3.64E+05 5.70E+05 7.27E+05 8.24E+05 8.62E+05 8.44E+05 7.82E+05 6.90E+05 5.82E+05 4.70E+05 3.65E+05 2.73E+05 1.96E+05 1.36E+05 9.08E+04 5.86E+04 3.65E+04 2.20E+04 1.28E+04 7.19E+03 3.91E+03 2.05E+03 1.04E+03 5.14E+02 2.44E+02 1.13E+02 5.02E+01 2.17E+01 9.05E+00
  12.00  0.829  3.56E+07 2.50E+07 3.63E+08 3.70E+05 1.08E+06 1.69E+06 2.17E+06 2.47E+06 2.61E+06 2.58E+06 2.41E+06 2.16E+06 1.84E+06 1.51E+06 1.20E+06 9.10E+05 6.68E+05 4.73E+05 3.24E+05 2.14E+05 1.37E+05 8.48E+04 5.08E+04 2.95E+04 1.66E+04 9.01E+03 4.75E+03 2.42E+03 1.20E+03 5.76E+02 2.68E+02 1.21E+02 5.28E+01
  13.00  0.863  1.09E+08 7.34E+07 1.09E+09 1.04E+06 3.03E+06 4.77E+06 6.13E+06 7.04E+06 7.46E+06 7.44E+06 7.04E+06 6.35E+06 5.50E+06 4.58E+06 3.67E+06 2.84E+06 2.12E+06 1.53E+06 1.07E+06 7.21E+05 4.72E+05 2.99E+05 1.84E+05 1.10E+05 6.33E+04 3.55E+04 1.93E+04 1.02E+04 5.21E+03 2.59E+03 1.25E+03 5.84E+02 2.65E+02
  14.00  0.896  3.15E+08 2.06E+08 3.12E+09 2.79E+06 8.14E+06 1.29E+07 1.66E+07 1.91E+07 2.04E+07 2.05E+07 1.95E+07 1.78E+07 1.56E+07 1.31E+07 1.06E+07 8.34E+06 6.32E+06 4.64E+06 3.30E+06 2.27E+06 1.52E+06 9.82E+05 6.17E+05 3.76E+05 2.23E+05 1.28E+05 7.15E+04 3.88E+04 2.04E+04 1.05E+04 5.21E+03 2.52E+03 1.18E+03
  15.00  0.927  8.66E+08 5.52E+08 8.55E+09 7.20E+06 2.11E+07 3.33E+07 4.31E+07 4.99E+07 5.35E+07 5.40E+07 5.19E+07 4.77E+07 4.21E+07 3.58E+07 2.94E+07 2.33E+07 1.79E+07 1.33E+07 9.63E+06 6.74E+06 4.58E+06 3.02E+06 1.94E+06 1.21E+06 7.29E+05 4.29E+05 2.45E+05 1.36E+05 7.37E+04 3.87E+04 1.98E+04 9.86E+03 4.78E+03
  16.00  0.957  2.29E+09 1.43E+09 2.25E+10 1.80E+07 5.26E+07 8.33E+07 1.08E+08 1.26E+08 1.35E+08 1.37E+08 1.33E+08 1.23E+08 1.09E+08 9.39E+07 7.79E+07 6.25E+07 4.86E+07 3.66E+07 2.68E+07 1.90E+07 1.31E+07 8.81E+06 5.74E+06 3.64E+06 2.25E+06 1.35E+06 7.87E+05 4.47E+05 2.47E+05 1.33E+05 6.98E+04 3.56E+04 1.77E+04
  17.00  0.987  5.85E+09 3.56E+09 5.71E+10 4.34E+07 1.27E+08 2.02E+08 2.63E+08 3.06E+08 3.31E+08 3.38E+08 3.28E+08 3.06E+08 2.74E+08 2.37E+08 1.99E+08 1.61E+08 1.27E+08 9.65E+07 7.15E+07 5.14E+07 3.60E+07 2.45E+07 1.62E+07 1.05E+07 6.56E+06 4.01E+06 2.38E+06 1.38E+06 7.80E+05 4.29E+05 2.30E+05 1.20E+05 6.12E+04
  18.00  1.015  1.45E+10 8.63E+09 1.40E+11 1.02E+08 2.99E+08 4.75E+08 6.20E+08 7.25E+08 7.87E+08 8.06E+08 7.88E+08 7.39E+08 6.67E+08 5.81E+08 4.90E+08 4.01E+08 3.18E+08 2.45E+08 1.84E+08 1.34E+08 9.47E+07 6.53E+07 4.39E+07 2.87E+07 1.83E+07 1.14E+07 6.87E+06 4.05E+06 2.33E+06 1.31E+06 7.15E+05 3.81E+05 1.98E+05
  19.00  1.043  3.48E+10 2.03E+10 3.36E+11 2.34E+08 6.85E+08 1.09E+09 1.43E+09 1.67E+09 1.82E+09 1.87E+09 1.84E+09 1.73E+09 1.57E+09 1.38E+09 1.17E+09 9.68E+08 7.75E+08 6.03E+08 4.56E+08 3.36E+08 2.40E+08 1.68E+08 1.14E+08 7.57E+07 4.89E+07 3.08E+07 1.90E+07 1.14E+07 6.65E+06 3.79E+06 2.11E+06 1.15E+06 6.09E+05
  20.00  1.070  8.16E+10 4.68E+10 7.83E+11 5.23E+08 1.53E+09 2.45E+09 3.20E+09 3.76E+09 4.11E+09 4.25E+09 4.19E+09 3.96E+09 3.62E+09 3.20E+09 2.74E+09 2.27E+09 1.83E+09 1.44E+09 1.10E+09 8.16E+08 5.91E+08 4.17E+08 2.87E+08 1.93E+08 1.26E+08 8.07E+07 5.03E+07 3.06E+07 1.82E+07 1.05E+07 5.97E+06 3.30E+06 1.78E+06
  22.50  1.135  9.32E+11 3.40E+11 5.87E+12 3.58E+09 1.05E+10 1.68E+10 2.21E+10 2.61E+10 2.87E+10 2.99E+10 2.97E+10 2.85E+10 2.63E+10 2.36E+10 2.05E+10 1.73E+10 1.42E+10 1.13E+10 8.83E+09 6.70E+09 4.97E+09 3.59E+09 2.54E+09 1.75E+09 1.18E+09 7.75E+08 4.98E+08 3.13E+08 1.92E+08 1.15E+08 6.78E+07 3.89E+07 2.18E+07
  25.00  1.197  6.43E+12 2.20E+12 3.90E+13 2.19E+10 6.45E+10 1.03E+11 1.36E+11 1.62E+11 1.79E+11 1.87E+11 1.88E+11 1.82E+11 1.70E+11 1.53E+11 1.35E+11 1.15E+11 9.61E+10 7.81E+10 6.18E+10 4.78E+10 3.61E+10 2.66E+10 1.92E+10 1.35E+10 9.34E+09 6.30E+09 4.15E+09 2.68E+09 1.69E+09 1.05E+09 6.33E+08 3.75E+08 2.18E+08
  30.00  1.311  3.55E+14 6.97E+13 1.30E+15 6.34E+11 1.87E+12 3.00E+12 3.98E+12 4.75E+12 5.30E+12 5.62E+12 5.71E+12 5.59E+12 5.30E+12 4.89E+12 4.38E+12 3.83E+12 3.26E+12 2.72E+12 2.21E+12 1.76E+12 1.37E+12 1.04E+12 7.77E+11 5.68E+11 4.06E+11 2.85E+11 1.96E+11 1.32E+11 8.70E+10 5.63E+10 3.57E+10 2.22E+10 1.36E+10
  40.00  1.514  3.16E+17 3.16E+16 6.30E+17 2.48E+14 7.33E+14 1.18E+15 1.58E+15 1.91E+15 2.16E+15 2.32E+15 2.39E+15 2.39E+15 2.32E+15 2.19E+15 2.02E+15 1.81E+15 1.60E+15 1.38E+15 1.16E+15 9.60E+14 7.79E+14 6.20E+14 4.85E+14 3.72E+14 2.80E+14 2.07E+14 1.51E+14 1.08E+14 7.55E+13 5.21E+13 3.53E+13 2.36E+13 1.54E+13
  50.00  1.692  6.97E+19 6.94E+18 1.47E+20 4.88E+16 1.44E+17 2.34E+17 3.14E+17 3.82E+17 4.35E+17 4.72E+17 4.94E+17 5.00E+17 4.92E+17 4.72E+17 4.43E+17 4.07E+17 3.66E+17 3.22E+17 2.79E+17 2.37E+17 1.98E+17 1.62E+17 1.31E+17 1.04E+17 8.09E+16 6.20E+16 4.69E+16 3.48E+16 2.55E+16 1.84E+16 1.30E+16 9.09E+15 6.25E+15
  60.00  1.854  9.33E+21 9.26E+20 2.05E+22 5.95E+18 1.76E+19 2.86E+19 3.86E+19 4.71E+19 5.40E+19 5.91E+19 6.23E+19 6.37E+19 6.34E+19 6.16E+19 5.85E+19 5.45E+19 4.98E+19 4.47E+19 3.94E+19 3.41E+19 2.90E+19 2.44E+19 2.01E+19 1.63E+19 1.31E+19 1.03E+19 8.00E+18 6.12E+18 4.62E+18 3.43E+18 2.52E+18 1.82E+18 1.30E+18
  70.00  2.002  8.58E+23 8.49E+22 1.95E+24 5.06E+20 1.50E+21 2.44E+21 3.29E+21 4.04E+21 4.65E+21 5.12E+21 5.43E+21 5.59E+21 5.62E+21 5.51E+21 5.29E+21 4.98E+21 4.61E+21 4.19E+21 3.75E+21 3.29E+21 2.85E+21 2.43E+21 2.04E+21 1.69E+21 1.38E+21 1.11E+21 8.83E+20 6.91E+20 5.34E+20 4.07E+20 3.06E+20 2.27E+20 1.66E+20
  80.00  2.141  5.87E+25 5.78E+24 1.37E+26 3.22E+22 9.56E+22 1.56E+23 2.11E+23 2.59E+23 3.00E+23 3.31E+23 3.54E+23 3.66E+23 3.70E+23 3.66E+23 3.55E+23 3.37E+23 3.15E+23 2.89E+23 2.62E+23 2.33E+23 2.04E+23 1.77E+23 1.51E+23 1.27E+23 1.05E+23 8.60E+22 6.95E+22 5.54E+22 4.36E+22 3.39E+22 2.60E+22 1.97E+22 1.48E+22
  90.00  2.271  3.14E+27 3.08E+26 7.53E+27 1.62E+24 4.81E+24 7.85E+24 1.07E+25 1.31E+25 1.52E+25 1.69E+25 1.81E+25 1.89E+25 1.92E+25 1.91E+25 1.86E+25 1.78E+25 1.68E+25 1.56E+25 1.42E+25 1.28E+25 1.13E+25 9.91E+24 8.55E+24 7.28E+24 6.12E+24 5.08E+24 4.17E+24 3.37E+24 2.70E+24 2.13E+24 1.67E+24 1.29E+24 9.81E+23
 100.00  2.393  1.37E+29 1.34E+28 3.36E+29 6.69E+25 1.99E+26 3.24E+26 4.41E+26 5.44E+26 6.33E+26 7.05E+26 7.58E+26 7.93E+26 8.10E+26 8.10E+26 7.95E+26 7.67E+26 7.27E+26 6.79E+26 6.25E+26 5.67E+26 5.07E+26 4.48E+26 3.91E+26 3.36E+26 2.86E+26 2.40E+26 1.99E+26 1.64E+26 1.33E+26 1.06E+26 8.42E+25 6.60E+25 5.11E+25
 110.00  2.510  5.02E+30 4.88E+29 1.25E+31 2.32E+27 6.90E+27 1.13E+28 1.54E+28 1.90E+28 2.22E+28 2.47E+28 2.67E+28 2.80E+28 2.88E+28 2.89E+28 2.85E+28 2.76E+28 2.64E+28 2.48E+28 2.30E+28 2.10E+28 1.89E+28 1.69E+28 1.48E+28 1.29E+28 1.11E+28 9.39E+27 7.87E+27 6.53E+27 5.36E+27 4.34E+27 3.49E+27 2.77E+27 2.17E+27
 120.00  2.622  1.58E+32 1.53E+31 4.00E+32 6.96E+28 2.07E+29 3.39E+29 4.61E+29 5.72E+29 6.68E+29 7.47E+29 8.08E+29 8.52E+29 8.77E+29 8.85E+29 8.76E+29 8.54E+29 8.19E+29 7.74E+29 7.22E+29 6.64E+29 6.03E+29 5.41E+29 4.79E+29 4.20E+29 3.64E+29 3.11E+29 2.64E+29 2.21E+29 1.83E+29 1.50E+29 1.22E+29 9.76E+28 7.76E+28
 130.00  2.729  4.33E+33 4.17E+32 1.11E+34 1.83E+30 5.43E+30 8.90E+30 1.21E+31 1.51E+31 1.76E+31 1.98E+31 2.14E+31 2.27E+31 2.34E+31 2.37E+31 2.36E+31 2.31E+31 2.22E+31 2.11E+31 1.98E+31 1.83E+31 1.67E+31 1.51E+31 1.35E+31 1.19E+31 1.04E+31 8.95E+30 7.64E+30 6.45E+30 5.39E+30 4.46E+30 3.65E+30 2.96E+30 2.38E+30
 140.00  2.832  1.05E+35 1.01E+34 2.75E+35 4.27E+31 1.27E+32 2.08E+32 2.84E+32 3.53E+32 4.14E+32 4.65E+32 5.05E+32 5.35E+32 5.54E+32 5.63E+32 5.62E+32 5.52E+32 5.34E+32 5.10E+32 4.80E+32 4.46E+32 4.10E+32 3.72E+32 3.34E+32 2.97E+32 2.61E+32 2.26E+32 1.95E+32 1.66E+32 1.40E+32 1.17E+32 9.63E+31 7.87E+31 6.38E+31
 150.00  2.931  2.31E+36 2.20E+35 6.09E+36 8.97E+32 2.67E+33 4.38E+33 5.98E+33 7.44E+33 8.73E+33 9.83E+33 1.07E+34 1.14E+34 1.18E+34 1.20E+34 1.20E+34 1.19E+34 1.15E+34 1.10E+34 1.04E+34 9.76E+33 9.01E+33 8.22E+33 7.42E+33 6.63E+33 5.85E+33 5.12E+33 4.43E+33 3.80E+33 3.22E+33 2.71E+33 2.25E+33 1.86E+33 1.52E+33
 160.00  3.027  4.58E+37 4.35E+36 1.22E+38 1.72E+34 5.11E+34 8.38E+34 1.15E+35 1.43E+35 1.68E+35 1.89E+35 2.06E+35 2.19E+35 2.28E+35 2.33E+35 2.34E+35 2.32E+35 2.26E+35 2.17E+35 2.06E+35 1.93E+35 1.79E+35 1.64E+35 1.49E+35 1.34E+35 1.19E+35 1.04E+35 9.10E+34 7.85E+34 6.70E+34 5.67E+34 4.75E+34 3.95E+34 3.25E+34
 170.00  3.121  8.31E+38 7.85E+37 2.24E+39 3.01E+35 8.96E+35 1.47E+36 2.01E+36 2.51E+36 2.95E+36 3.33E+36 3.64E+36 3.88E+36 4.05E+36 4.14E+36 4.17E+36 4.13E+36 4.04E+36 3.90E+36 3.71E+36 3.50E+36 3.26E+36 3.00E+36 2.73E+36 2.46E+36 2.20E+36 1.94E+36 1.70E+36 1.48E+36 1.27E+36 1.08E+36 9.11E+35 7.62E+35 6.31E+35
